dailyViewcount,numShare,numSubscriber,watchTime,date
377098,4944,283,859658.866667,2016-11-23
364020,3572,239,811674.166667,2016-11-24
197271,1650,120,436689.533333,2016-11-25
200000,1384,86,425668.483333,2016-11-26
159212,1106,70,339914.966667,2016-11-27
152401,888,56,342412.066667,2016-11-28
146540,782,63,332239.566667,2016-11-29
118791,616,41,278476.95,2016-11-30
108492,527,33,256098.15,2016-12-01
113193,533,31,266286.55,2016-12-02
111368,475,42,262175.683333,2016-12-03
106974,561,50,243407.366667,2016-12-04
117504,802,40,277697.116667,2016-12-05
124787,808,52,306074.75,2016-12-06
105317,654,34,252915.9,2016-12-07
97123,604,34,245533.833333,2016-12-08
104435,535,33,263951.566667,2016-12-09
100908,544,27,253309.083333,2016-12-10
81401,487,22,201338.466667,2016-12-11
83749,484,28,208365.533333,2016-12-12
86709,469,28,217046.2,2016-12-13
85315,416,34,212921.05,2016-12-14
81485,423,35,200475.683333,2016-12-15
90258,399,34,228607.3,2016-12-16
87008,403,31,216996.466667,2016-12-17
72044,363,26,177040.233333,2016-12-18
72270,355,20,176499.2,2016-12-19
73156,327,26,179754.233333,2016-12-20
73672,353,21,181669.183333,2016-12-21
68875,326,18,172867.716667,2016-12-22
67334,287,23,173172.016667,2016-12-23
64500,252,11,165134.166667,2016-12-24
51932,246,11,130569.25,2016-12-25
48607,264,13,120468.433333,2016-12-26
50312,282,5,127115.733333,2016-12-27
47788,254,11,121468.433333,2016-12-28
48330,237,14,123213.066667,2016-12-29
51449,240,11,131498.733333,2016-12-30
62280,212,3,159543.016667,2016-12-31
39827,202,8,97818.5666667,2017-01-01
40429,217,9,98718.2,2017-01-02
40207,218,13,99381.3,2017-01-03
