dailyViewcount,numShare,numSubscriber,watchTime,date
221485,7061,410,589728.733333,2016-11-18
478226,9760,550,1256194.41667,2016-11-19
373458,9065,297,1005748.55,2016-11-20
271078,5955,209,749519.166667,2016-11-21
292027,5744,222,800852.183333,2016-11-22
344205,6199,264,941762.983333,2016-11-23
321515,5391,197,873338.75,2016-11-24
351067,5369,251,925986.65,2016-11-25
471769,6803,282,1270387.36667,2016-11-26
470551,7595,264,1270898.65,2016-11-27
341947,5288,197,930447.433333,2016-11-28
342878,4941,186,930824.633333,2016-11-29
404934,5905,214,1103682.7,2016-11-30
356715,4933,176,964579.433333,2016-12-01
386364,5306,208,1026085.53333,2016-12-02
529950,6709,246,1420824.26667,2016-12-03
507362,6957,246,1369158.23333,2016-12-04
384180,4974,185,1025563.51667,2016-12-05
377636,4655,181,1009108.45,2016-12-06
425309,6041,209,1139698.7,2016-12-07
407964,4934,211,1088861.05,2016-12-08
487949,5534,253,1277073.06667,2016-12-09
652318,7380,337,1721812.45,2016-12-10
589280,7820,268,1559380.03333,2016-12-11
425088,5399,172,1130037.68333,2016-12-12
429418,5125,192,1146724.85,2016-12-13
515770,6154,240,1376830.21667,2016-12-14
444991,5396,189,1182065.75,2016-12-15
543261,6128,260,1401547.96667,2016-12-16
704372,7026,300,1838846.08333,2016-12-17
610413,6927,273,1582669.95,2016-12-18
575223,6158,262,1509118.65,2016-12-19
582868,5942,255,1521312.6,2016-12-20
599637,6282,265,1568038.03333,2016-12-21
620701,6263,242,1612791.66667,2016-12-22
641358,6381,256,1659846.15,2016-12-23
792233,6832,206,2032418.55,2016-12-24
611867,8822,203,1510567.06667,2016-12-25
647566,7985,214,1647666.25,2016-12-26
644325,7031,230,1652118.26667,2016-12-27
594073,6534,237,1526897.53333,2016-12-28
586595,6333,206,1505180.8,2016-12-29
677845,6884,232,1727522.53333,2016-12-30
1024454,6585,214,2600584.55,2016-12-31
544794,6164,222,1367708.61667,2017-01-01
624425,8448,246,1624199.33333,2017-01-02
470968,5544,159,1223425.8,2017-01-03
542513,6415,222,1407646.1,2017-01-04
486839,5624,129,1262009.66667,2017-01-05
577951,6216,160,1476506.15,2017-01-06
852866,8472,242,2170431.65,2017-01-07
744155,9023,189,1903079.16667,2017-01-08
533380,6125,148,1391005.75,2017-01-09
537991,6229,153,1399591.56667,2017-01-10
636856,7867,224,1654376.41667,2017-01-11
569671,6849,159,1480213.68333,2017-01-12
715775,8000,205,1823178.88333,2017-01-13
1003194,10719,271,2548854.73333,2017-01-14
769038,9793,187,1984109.56667,2017-01-15
543989,6376,125,1413212.28333,2017-01-16
575664,6370,0,1495758.18333,2017-01-17
720196,8011,0,1878827.78333,2017-01-18
653417,6926,0,1699174.78333,2017-01-19
719256,7919,0,1845389.91667,2017-01-20
1017365,10411,0,2616136.2,2017-01-21
839889,10137,0,2153295.18333,2017-01-22
608125,6600,0,1577247.7,2017-01-23
612816,6525,0,1591220.48333,2017-01-24
751773,8088,0,1948210.16667,2017-01-25
676680,7004,0,1750621.23333,2017-01-26
797985,8012,0,2027319.03333,2017-01-27
975467,9952,284,2516464.56667,2017-01-28
805494,9416,239,2072349.0,2017-01-29
612209,6733,167,1588505.83333,2017-01-30
684986,7246,202,1751056.23333,2017-01-31
828819,8240,329,2117852.21667,2017-02-01
717814,7218,268,1847459.38333,2017-02-02
859780,7943,337,2166013.55,2017-02-03
1188102,11313,458,2982207.68333,2017-02-04
975722,10509,384,2439263.31667,2017-02-05
765667,7594,261,1935899.45,2017-02-06
785488,7865,287,1983483.23333,2017-02-07
892845,8941,338,2260102.31667,2017-02-08
809702,7733,277,2049467.51667,2017-02-09
926631,8955,341,2305221.28333,2017-02-10
1233661,11043,426,3072793.35,2017-02-11
988553,9669,294,2438111.4,2017-02-12
898690,7803,320,2233357.8,2017-02-13
891942,7154,300,2223673.5,2017-02-14
946261,8718,314,2344087.16667,2017-02-15
930987,7989,321,2302501.45,2017-02-16
1036488,8795,327,2537114.21667,2017-02-17
1225772,10143,405,2996438.26667,2017-02-18
1009527,9183,293,2449644.2,2017-02-19
873378,7361,317,2138116.93333,2017-02-20
847707,7305,280,2059470.78333,2017-02-21
1047749,7974,405,2465503.35,2017-02-22
834703,6649,296,2051590.4,2017-02-23
961079,7460,322,2326995.95,2017-02-24
1122428,8357,330,2729152.51667,2017-02-25
937268,7893,257,2264154.86667,2017-02-26
706620,5884,230,1713507.1,2017-02-27
718600,5930,246,1744202.26667,2017-02-28
808743,6454,297,1963076.65,2017-03-01
774751,5922,236,1898984.45,2017-03-02
907935,6410,286,2192521.46667,2017-03-03
1221925,8442,352,2921781.0,2017-03-04
973571,7854,286,2326807.0,2017-03-05
647498,4813,189,1580301.83333,2017-03-06
654852,4832,212,1595628.96667,2017-03-07
796363,5772,280,1934670.83333,2017-03-08
716264,5299,198,1737355.51667,2017-03-09
827561,5709,257,1997454.08333,2017-03-10
1153083,7748,333,2786056.23333,2017-03-11
893920,7186,234,2138697.26667,2017-03-12
590618,4531,145,1425053.75,2017-03-13
609243,4414,168,1479021.13333,2017-03-14
737969,5357,210,1772433.11667,2017-03-15
664791,4605,204,1604963.01667,2017-03-16
751816,4869,215,1778537.48333,2017-03-17
1131197,8006,390,2658566.46667,2017-03-18
955277,7649,322,2243703.6,2017-03-19
603015,4544,181,1442675.33333,2017-03-20
622882,4604,168,1492509.75,2017-03-21
725575,5189,244,1748554.86667,2017-03-22
615129,4563,195,1483050.18333,2017-03-23
708102,4559,224,1691530.4,2017-03-24
1073114,6700,275,2522214.55,2017-03-25
841283,5771,209,1969158.58333,2017-03-26
567988,3796,127,1336551.98333,2017-03-27
527395,3668,138,1280626.4,2017-03-28
625154,4464,172,1509429.73333,2017-03-29
551250,3809,144,1352691.46667,2017-03-30
644156,4397,184,1536550.81667,2017-03-31
915420,5847,225,2167450.78333,2017-04-01
731932,5222,209,1733623.78333,2017-04-02
523132,3680,117,1261500.7,2017-04-03
508713,3375,151,1219072.9,2017-04-04
567057,3816,151,1357418.93333,2017-04-05
