dailyViewcount,numShare,numSubscriber,watchTime,date
3470276,71519,7536,7120404.98333,2016-11-29
4559164,76925,7299,9363687.88333,2016-11-30
2567091,48762,2115,5600063.93333,2016-12-01
2510270,42848,1765,5564664.55,2016-12-02
2683931,42571,2108,6035480.93333,2016-12-03
2396934,38455,1528,5488463.68333,2016-12-04
2102751,30583,1047,5015859.68333,2016-12-05
2155022,29801,981,5140949.18333,2016-12-06
2400667,30120,1173,5746508.13333,2016-12-07
2535612,29822,1042,6123455.7,2016-12-08
2675522,28973,988,6494798.01667,2016-12-09
2914819,32538,1002,6965042.4,2016-12-10
2609702,31343,965,6213982.96667,2016-12-11
2472497,27884,852,6055107.35,2016-12-12
2579545,27446,853,6327556.28333,2016-12-13
2863460,29712,1002,6945766.06667,2016-12-14
2924743,29023,943,7160449.85,2016-12-15
3089953,30458,1026,7508319.26667,2016-12-16
3241048,31644,983,7833058.31667,2016-12-17
2775222,30711,908,6714652.4,2016-12-18
2789890,28836,898,6889008.7,2016-12-19
2814807,27815,904,6947268.58333,2016-12-20
2871338,28129,927,7109083.31667,2016-12-21
2956324,29023,897,7297398.66667,2016-12-22
3114406,29890,939,7697855.86667,2016-12-23
3275683,28792,854,8090504.65,2016-12-24
2634551,31584,733,6230897.33333,2016-12-25
2972133,32609,915,7169102.16667,2016-12-26
2986027,31222,907,7272470.53333,2016-12-27
2907122,30759,903,7109570.98333,2016-12-28
2907108,30990,916,7072106.46667,2016-12-29
2942910,30536,782,7217701.5,2016-12-30
3553527,26124,754,8846221.63333,2016-12-31
2221287,24456,614,5290494.56667,2017-01-01
2617983,27732,745,6405860.3,2017-01-02
2636729,26643,771,6495274.86667,2017-01-03
2696428,26568,836,6683348.7,2017-01-04
2720009,26433,592,6730744.23333,2017-01-05
2810188,28292,614,6865653.21667,2017-01-06
2879541,28820,618,6959906.6,2017-01-07
2575039,27868,585,6217982.21667,2017-01-08
2496579,25027,579,6164377.03333,2017-01-09
2479006,23985,575,6134467.55,2017-01-10
2473538,25281,538,6086173.41667,2017-01-11
2480862,25186,556,6081638.95,2017-01-12
2773144,26531,666,6730237.21667,2017-01-13
3174586,29456,715,7656782.25,2017-01-14
2621438,27654,612,6272314.21667,2017-01-15
2459238,24196,571,6002697.41667,2017-01-16
2417711,23736,0,5885810.15,2017-01-17
2415903,23502,0,5872787.23333,2017-01-18
2435313,23534,0,5904709.4,2017-01-19
2467926,24026,0,5888811.55,2017-01-20
2592471,24910,0,6138061.11667,2017-01-21
2205426,24119,0,5197630.86667,2017-01-22
2183789,21508,0,5286814.68333,2017-01-23
2174364,21240,0,5295226.7,2017-01-24
2183355,20855,0,5304812.48333,2017-01-25
2170249,21247,0,5246541.93333,2017-01-26
2334262,22195,0,5606794.86667,2017-01-27
2422930,23366,779,5775816.5,2017-01-28
2106386,22421,722,4984488.01667,2017-01-29
2171578,19750,653,5307826.68333,2017-01-30
2221575,20842,649,5430918.38333,2017-01-31
2288071,21272,696,5575445.5,2017-02-01
2287130,20495,715,5540585.21667,2017-02-02
2413266,21137,641,5809637.66667,2017-02-03
2569241,22595,715,6136142.55,2017-02-04
2175745,21827,637,5150394.41667,2017-02-05
2078930,19465,596,5044826.31667,2017-02-06
2090291,19569,642,5095777.31667,2017-02-07
2176751,19381,645,5297042.38333,2017-02-08
2169101,19798,701,5257174.76667,2017-02-09
2198552,20303,647,5245273.01667,2017-02-10
2264071,21575,690,5344784.66667,2017-02-11
1938721,21295,627,4543729.81667,2017-02-12
1871990,17618,607,4549000.35,2017-02-13
1887203,17460,553,4602778.13333,2017-02-14
1953626,18154,594,4766230.13333,2017-02-15
2032677,18730,636,4961442.1,2017-02-16
2140072,19522,706,5154913.21667,2017-02-17
2417377,21249,745,5799783.7,2017-02-18
2142582,20458,682,5146161.55,2017-02-19
1964251,17546,561,4788760.91667,2017-02-20
