dailyViewcount,numShare,numSubscriber,watchTime,date
5321,98,7,26109.9166667,2016-07-04
6741,76,4,32720.5666667,2016-07-05
5081,59,2,25439.4,2016-07-06
4835,74,2,24724.6666667,2016-07-07
4478,55,6,22175.2166667,2016-07-08
6765,57,3,35776.75,2016-07-09
4732,63,3,24898.85,2016-07-10
5298,58,4,28726.0666667,2016-07-11
4881,69,5,26952.1333333,2016-07-12
5816,70,2,33672.0,2016-07-13
7459,88,9,42896.5,2016-07-14
19946,267,22,116799.116667,2016-07-15
6296,78,11,34823.1666667,2016-07-16
7700,100,8,42415.7,2016-07-17
16324,255,13,91901.45,2016-07-18
15854,201,13,85352.3333333,2016-07-19
17709,232,10,94522.9833333,2016-07-20
10537,110,5,55172.35,2016-07-21
16650,197,13,86320.7166667,2016-07-22
9811,89,7,47305.4666667,2016-07-23
7607,74,6,38318.2666667,2016-07-24
8136,73,9,40630.5833333,2016-07-25
12346,172,6,64513.6,2016-07-26
13542,165,4,68813.2666667,2016-07-27
10476,123,4,53675.2333333,2016-07-28
12309,117,2,60965.45,2016-07-29
7808,79,2,38321.5166667,2016-07-30
10655,113,3,50744.3,2016-07-31
7024,69,6,31910.9,2016-08-01
6378,65,1,31635.1666667,2016-08-02
6085,72,7,31210.5833333,2016-08-03
5468,56,1,27003.6833333,2016-08-04
5875,71,7,30403.2166667,2016-08-05
5821,65,2,29597.0833333,2016-08-06
5804,46,6,28837.5166667,2016-08-07
6160,73,1,30118.4666667,2016-08-08
5811,44,5,29613.2333333,2016-08-09
4334,28,2,21452.7666667,2016-08-10
4462,39,4,21781.3833333,2016-08-11
4511,32,1,22759.2166667,2016-08-12
4358,36,2,21474.6333333,2016-08-13
5797,40,9,28282.4166667,2016-08-14
6167,59,4,28034.8166667,2016-08-15
4161,36,1,20112.4333333,2016-08-16
4057,39,3,20144.4833333,2016-08-17
4284,31,2,21780.9333333,2016-08-18
4064,33,1,19877.0333333,2016-08-19
3507,28,2,16931.0,2016-08-20
3413,25,3,16241.15,2016-08-21
3313,26,1,16054.2333333,2016-08-22
3043,31,0,14453.9666667,2016-08-23
3289,19,2,16034.9333333,2016-08-24
3314,32,1,15793.45,2016-08-25
