dailyViewcount,numShare,numSubscriber,watchTime,date
4442505,97583,4569,14372362.0667,2015-10-22
7328146,69106,6325,23038405.5,2015-10-23
8034042,43936,6193,22694940.8333,2015-10-24
5935055,34464,3955,17619940.0833,2015-10-25
5578671,30730,3564,16880135.85,2015-10-26
5077746,28913,2937,15969428.1667,2015-10-27
4769825,26386,2506,15020275.35,2015-10-28
4244388,22005,1903,13413154.4167,2015-10-29
4516582,18071,2170,13306289.2833,2015-10-30
4798944,16510,2227,13737589.6833,2015-10-31
4712528,19055,2226,13379623.6,2015-11-01
4800053,19501,2120,13749458.15,2015-11-02
4537329,17548,1919,13130143.3,2015-11-03
4781059,16574,1922,13585961.65,2015-11-04
4965343,17100,1954,13970622.5833,2015-11-05
4555222,17835,1576,12856946.7,2015-11-06
4788386,17020,1538,13476078.75,2015-11-07
4318971,17111,1387,12286621.0833,2015-11-08
4210784,15709,1393,12188925.95,2015-11-09
4473284,16082,1448,12933335.5,2015-11-10
4756875,16512,1504,13786140.9833,2015-11-11
4811381,17087,1509,13894464.1167,2015-11-12
5018854,17178,1408,14190305.0333,2015-11-13
5427031,17901,1495,15143196.5833,2015-11-14
4689879,18206,1345,13342135.65,2015-11-15
4936653,18102,1408,14142336.8667,2015-11-16
5062178,18091,1535,14538482.6,2015-11-17
5382698,18816,1669,15352556.0167,2015-11-18
5685081,19474,1552,16057432.2833,2015-11-19
6106763,19949,1505,16902792.0333,2015-11-20
6770012,21573,1739,18271574.65,2015-11-21
6219874,22715,1594,16795999.55,2015-11-22
6225808,22857,1716,17243521.1167,2015-11-23
6460098,22745,1734,17754997.5167,2015-11-24
6834904,22756,1759,18644151.0833,2015-11-25
6984096,22549,1678,18879469.05,2015-11-26
7533664,23646,1892,19974362.5,2015-11-27
7787478,23921,1978,20615170.2667,2015-11-28
6318298,23444,1542,17022413.5333,2015-11-29
6462500,21738,1577,17547679.3333,2015-11-30
7275777,22525,1735,19729483.5,2015-12-01
7358358,21539,1694,19994956.5333,2015-12-02
7543323,22081,1814,20421013.8333,2015-12-03
7941684,22956,1818,21170890.1333,2015-12-04
8834148,24297,1894,23287287.3333,2015-12-05
7463097,23654,1731,19931838.0333,2015-12-06
7091674,21148,1567,19525982.7833,2015-12-07
6845505,21137,1436,18968092.9333,2015-12-08
6973492,21051,1548,19445521.8667,2015-12-09
7427086,21440,1601,20290198.5333,2015-12-10
8417076,22726,1837,22507235.6333,2015-12-11
8589856,23768,1784,22690624.6,2015-12-12
7616567,23555,1600,20398202.7333,2015-12-13
7697868,21957,1593,20974133.3667,2015-12-14
7724927,21795,1612,20970589.95,2015-12-15
8148927,22222,1644,22051582.4833,2015-12-16
9062133,23681,1896,24133716.0833,2015-12-17
9609140,25193,1965,25275035.5667,2015-12-18
