dailyViewcount,numShare,numSubscriber,watchTime,date
4815,145,55,11265.1166667,2016-10-14
4348,95,45,9303.58333333,2016-10-15
4396,86,65,10067.4666667,2016-10-16
5808,125,39,13212.1833333,2016-10-17
28116,348,62,31646.95,2016-10-18
6159,129,42,14734.9833333,2016-10-19
4929,102,25,11877.2333333,2016-10-20
4062,59,13,12069.0333333,2016-10-21
3865,66,14,12407.1166667,2016-10-22
4268,92,11,13222.4666667,2016-10-23
5758,94,25,17688.6166667,2016-10-24
6444,109,33,20404.1833333,2016-10-25
7302,160,39,23277.9,2016-10-26
9406,173,49,28862.4166667,2016-10-27
7690,157,34,25455.3,2016-10-28
6614,138,26,21162.2,2016-10-29
11547,203,49,38367.55,2016-10-30
8827,160,38,30173.9166667,2016-10-31
16413,294,112,53547.2166667,2016-11-01
15687,292,80,51849.4333333,2016-11-02
7190,140,14,26026.5333333,2016-11-03
6950,148,10,23978.9666667,2016-11-04
6909,107,15,24255.9166667,2016-11-05
6050,116,10,20967.25,2016-11-06
6053,127,11,20790.9666667,2016-11-07
5560,115,9,19105.3,2016-11-08
5626,105,15,19557.1833333,2016-11-09
5607,121,13,19305.0,2016-11-10
6461,123,14,22635.8333333,2016-11-11
6563,150,10,22354.9333333,2016-11-12
5865,139,13,20074.2666667,2016-11-13
6038,147,13,21528.5666667,2016-11-14
7848,156,25,25370.8333333,2016-11-15
7124,189,16,23630.5166667,2016-11-16
8653,173,35,26146.2166667,2016-11-17
11851,312,44,35442.5333333,2016-11-18
12140,279,56,38410.2666667,2016-11-19
12090,283,42,38637.3,2016-11-20
13014,324,42,43505.7666667,2016-11-21
13424,315,39,46804.2833333,2016-11-22
13564,312,60,45730.9666667,2016-11-23
12844,240,27,44432.0166667,2016-11-24
12582,255,35,42311.8833333,2016-11-25
12769,251,12,43639.2,2016-11-26
12514,298,27,41811.2,2016-11-27
14484,363,21,50345.9666667,2016-11-28
14004,363,28,47979.9,2016-11-29
14489,368,34,47536.3333333,2016-11-30
