dailyViewcount,numShare,numSubscriber,watchTime,date
865372,11037,596,3573861.88333,2015-12-16
632270,4220,383,2355337.96667,2015-12-17
535187,3338,281,1961984.98333,2015-12-18
616290,2794,270,2161522.33333,2015-12-19
557363,2497,248,1925522.16667,2015-12-20
527088,2399,210,1871822.53333,2015-12-21
439851,1753,157,1605983.15,2015-12-22
395822,1500,129,1451885.71667,2015-12-23
367787,1093,101,1354920.2,2015-12-24
297360,1114,70,1057599.91667,2015-12-25
299060,1112,75,1060710.73333,2015-12-26
296287,1202,75,1033340.31667,2015-12-27
307842,1154,92,1083189.58333,2015-12-28
291455,1183,69,1037308.38333,2015-12-29
283268,955,77,1003086.6,2015-12-30
301292,818,69,1043357.26667,2015-12-31
252533,833,58,840867.35,2016-01-01
266287,1056,65,907413.066667,2016-01-02
241484,1020,59,818360.233333,2016-01-03
224237,874,62,790668.016667,2016-01-04
226003,900,64,803259.366667,2016-01-05
222950,957,66,796704.833333,2016-01-06
217955,904,69,779833.783333,2016-01-07
214992,846,63,771804.833333,2016-01-08
221764,803,52,787133.766667,2016-01-09
197914,803,48,696996.083333,2016-01-10
187398,758,42,661712.816667,2016-01-11
187244,739,45,666510.333333,2016-01-12
186572,726,55,666189.783333,2016-01-13
185407,794,47,662270.433333,2016-01-14
191383,754,42,686591.333333,2016-01-15
196071,648,35,690518.666667,2016-01-16
171901,708,40,602254.75,2016-01-17
173432,614,39,618187.35,2016-01-18
172844,623,43,616260.066667,2016-01-19
171883,635,33,615444.4,2016-01-20
174803,641,35,623942.6,2016-01-21
182304,603,32,645520.316667,2016-01-22
184507,639,44,654094.833333,2016-01-23
160927,646,35,565108.35,2016-01-24
154402,535,33,553636.733333,2016-01-25
158849,548,37,566109.616667,2016-01-26
162700,598,57,578677.033333,2016-01-27
167729,603,43,591399.916667,2016-01-28
174767,549,48,619413.933333,2016-01-29
171836,541,43,615625.116667,2016-01-30
139680,501,28,496352.55,2016-01-31
136938,545,43,481082.033333,2016-02-01
134749,452,32,480580.616667,2016-02-02
136974,480,35,488643.35,2016-02-03
136947,467,28,490535.666667,2016-02-04
141952,585,35,505245.15,2016-02-05
144466,579,33,510568.966667,2016-02-06
122131,464,25,431220.833333,2016-02-07
119752,451,24,430016.333333,2016-02-08
124075,504,37,446075.033333,2016-02-09
125892,478,38,448388.083333,2016-02-10
126734,481,36,453716.016667,2016-02-11
134409,443,26,482140.583333,2016-02-12
142953,429,40,506248.35,2016-02-13
124238,425,29,438878.383333,2016-02-14
118586,398,39,420339.116667,2016-02-15
108992,395,25,389963.75,2016-02-16
109163,420,29,390301.916667,2016-02-17
112927,411,37,400582.283333,2016-02-18
117753,400,28,417742.9,2016-02-19
122252,384,34,425213.483333,2016-02-20
107193,398,26,373412.266667,2016-02-21
103758,378,30,365866.283333,2016-02-22
104420,407,14,368546.433333,2016-02-23
106951,380,28,382773.683333,2016-02-24
106500,383,28,378912.166667,2016-02-25
109357,404,25,390221.716667,2016-02-26
118208,395,20,419589.7,2016-02-27
101438,341,18,355535.566667,2016-02-28
95316,325,22,339120.666667,2016-02-29
95457,362,19,339908.266667,2016-03-01
97278,378,23,347412.083333,2016-03-02
98649,368,22,351051.083333,2016-03-03
100905,376,22,356521.766667,2016-03-04
104779,340,20,365152.616667,2016-03-05
93269,334,25,322142.85,2016-03-06
87166,327,21,306188.3,2016-03-07
86240,312,20,303017.616667,2016-03-08
87258,325,19,306553.95,2016-03-09
92268,371,22,321136.666667,2016-03-10
94839,399,26,330709.566667,2016-03-11
102232,310,34,352972.916667,2016-03-12
86922,265,17,296095.1,2016-03-13
88584,315,23,307628.716667,2016-03-14
88985,341,25,311407.583333,2016-03-15
88561,282,20,311333.333333,2016-03-16
91217,307,16,323555.9,2016-03-17
96448,287,35,339131.316667,2016-03-18
100737,326,24,349352.8,2016-03-19
91920,306,16,317861.016667,2016-03-20
88896,290,18,310328.9,2016-03-21
88055,350,20,309126.45,2016-03-22
92720,307,21,327569.35,2016-03-23
96133,310,26,342499.6,2016-03-24
91302,286,20,320822.266667,2016-03-25
89817,276,24,313621.95,2016-03-26
81577,271,22,279956.583333,2016-03-27
80159,288,15,283709.683333,2016-03-28
78645,282,17,279388.083333,2016-03-29
81107,278,30,287320.6,2016-03-30
81353,296,26,288630.516667,2016-03-31
84156,332,30,295746.783333,2016-04-01
85213,294,24,296016.283333,2016-04-02
75455,311,23,256950.45,2016-04-03
74016,287,23,259499.85,2016-04-04
74414,280,21,261223.566667,2016-04-05
77216,291,21,271645.9,2016-04-06
79094,292,20,279623.75,2016-04-07
83739,264,17,295366.1,2016-04-08
86601,312,19,301741.966667,2016-04-09
80913,284,24,281694.733333,2016-04-10
76069,308,16,268568.466667,2016-04-11
74859,291,21,261764.483333,2016-04-12
71981,316,18,254366.55,2016-04-13
70310,285,21,247086.433333,2016-04-14
72608,231,15,255621.7,2016-04-15
75177,250,16,260759.633333,2016-04-16
67209,253,16,231884.85,2016-04-17
65122,261,12,228455.916667,2016-04-18
69102,240,14,240945.716667,2016-04-19
67525,246,13,238172.583333,2016-04-20
69948,254,17,243376.716667,2016-04-21
69343,240,14,242433.616667,2016-04-22
82856,417,56,289116.466667,2016-04-23
75153,381,54,262548.516667,2016-04-24
72590,370,45,256124.666667,2016-04-25
74406,372,39,264229.366667,2016-04-26
77817,401,40,277582.033333,2016-04-27
79616,397,49,283491.9,2016-04-28
82311,408,38,291769.683333,2016-04-29
