dailyViewcount,numShare,numSubscriber,watchTime,date
564,12,2,1438.58333333,2016-06-12
1440,25,0,4174.28333333,2016-06-13
1801,64,0,5461.86666667,2016-06-14
1866,57,0,6068.63333333,2016-06-15
3184,65,1,9870.65,2016-06-16
4167,78,2,13592.8,2016-06-17
4483,79,5,14030.65,2016-06-18
5327,112,2,17142.25,2016-06-19
14522,256,4,51411.4666667,2016-06-20
22924,382,9,87324.8833333,2016-06-21
24135,407,9,93209.3666667,2016-06-22
27379,402,8,105648.283333,2016-06-23
31843,419,9,119171.066667,2016-06-24
33647,469,7,123676.216667,2016-06-25
30619,334,7,109860.733333,2016-06-26
32394,342,7,120345.566667,2016-06-27
30439,315,5,112847.283333,2016-06-28
30317,339,4,111413.35,2016-06-29
29970,321,5,111813.583333,2016-06-30
29233,252,6,108800.416667,2016-07-01
26862,240,4,98734.75,2016-07-02
25507,248,2,94566.0333333,2016-07-03
28214,269,4,107108.383333,2016-07-04
29632,293,9,111891.066667,2016-07-05
29375,283,5,110629.566667,2016-07-06
28416,285,4,105963.216667,2016-07-07
29482,279,1,109830.583333,2016-07-08
28612,217,5,106336.366667,2016-07-09
25591,236,1,94154.1666667,2016-07-10
29497,331,6,108034.5,2016-07-11
35601,297,3,127248.683333,2016-07-12
30910,276,5,114945.283333,2016-07-13
32867,256,2,120663.45,2016-07-14
34829,248,2,125686.45,2016-07-15
33539,256,4,119902.516667,2016-07-16
30524,287,4,107471.716667,2016-07-17
33968,276,5,119586.566667,2016-07-18
34213,293,3,120068.066667,2016-07-19
32965,260,2,117585.416667,2016-07-20
33965,264,2,118934.433333,2016-07-21
35678,281,4,125169.616667,2016-07-22
34267,257,1,118841.25,2016-07-23
31224,229,4,105730.3,2016-07-24
32096,247,6,111568.916667,2016-07-25
32254,234,6,113120.466667,2016-07-26
31008,246,9,110530.65,2016-07-27
30853,235,3,108121.066667,2016-07-28
33093,256,6,117191.783333,2016-07-29
30118,220,1,104855.916667,2016-07-30
27069,198,1,91420.25,2016-07-31
32599,228,2,111461.816667,2016-08-01
34844,228,6,116584.683333,2016-08-02
34872,264,4,117459.383333,2016-08-03
33509,248,2,116095.4,2016-08-04
37287,253,5,128305.25,2016-08-05
34903,200,3,119750.15,2016-08-06
31881,199,1,107010.85,2016-08-07
33820,231,0,114989.0,2016-08-08
34408,213,0,117936.283333,2016-08-09
33300,197,2,113679.283333,2016-08-10
33748,204,2,115330.65,2016-08-11
35156,225,2,118564.166667,2016-08-12
34329,214,4,115020.766667,2016-08-13
31123,193,2,102270.35,2016-08-14
33477,162,4,113195.5,2016-08-15
32132,183,1,110579.1,2016-08-16
32185,185,4,108848.95,2016-08-17
32603,182,4,110909.716667,2016-08-18
34665,172,3,117478.783333,2016-08-19
34634,165,4,115180.483333,2016-08-20
29883,198,0,97184.4,2016-08-21
31779,209,5,107452.916667,2016-08-22
32114,171,1,108151.216667,2016-08-23
31412,153,2,105416.583333,2016-08-24
31610,188,0,105386.75,2016-08-25
33531,178,4,110592.35,2016-08-26
32541,161,4,107166.866667,2016-08-27
28520,147,3,92572.0166667,2016-08-28
30918,150,3,102600.1,2016-08-29
31277,164,5,105265.85,2016-08-30
31403,196,1,104479.883333,2016-08-31
32903,177,2,109934.966667,2016-09-01
35076,151,6,116006.55,2016-09-02
32228,168,4,105402.283333,2016-09-03
29859,151,3,96155.4666667,2016-09-04
28490,162,1,92430.05,2016-09-05
31275,151,3,99474.5166667,2016-09-06
32050,153,3,104081.716667,2016-09-07
31547,179,2,103843.266667,2016-09-08
33803,177,4,111336.816667,2016-09-09
33513,173,2,107788.6,2016-09-10
28478,148,0,90864.4666667,2016-09-11
31875,126,4,104980.8,2016-09-12
31300,140,1,103448.316667,2016-09-13
31679,158,-1,104224.066667,2016-09-14
31301,156,5,104473.55,2016-09-15
32617,129,4,108605.966667,2016-09-16
30773,174,2,99309.0833333,2016-09-17
25254,158,2,81781.2833333,2016-09-18
28460,156,3,93378.75,2016-09-19
27475,126,3,90188.0166667,2016-09-20
28336,157,4,93343.5333333,2016-09-21
28339,114,1,92989.6833333,2016-09-22
30223,141,3,97983.0166667,2016-09-23
28353,118,3,91515.9166667,2016-09-24
23723,136,1,76282.6333333,2016-09-25
25419,127,6,83874.8666667,2016-09-26
25450,119,3,83893.55,2016-09-27
26223,150,1,84805.0166667,2016-09-28
27905,119,4,90467.6666667,2016-09-29
29414,115,0,95163.05,2016-09-30
28364,121,3,89289.1166667,2016-10-01
23986,141,2,75317.6,2016-10-02
25892,112,6,83854.9666667,2016-10-03
25766,145,6,83129.2166667,2016-10-04
26721,109,3,86140.7,2016-10-05
27590,130,5,87808.9833333,2016-10-06
29404,111,2,94615.4833333,2016-10-07
26879,102,3,84816.2833333,2016-10-08
23042,99,0,71942.45,2016-10-09
25370,139,4,82386.2,2016-10-10
27146,94,1,88275.95,2016-10-11
25810,134,0,84227.1333333,2016-10-12
25277,109,3,83828.9833333,2016-10-13
26932,93,2,88564.1666667,2016-10-14
25619,94,4,81905.1166667,2016-10-15
21653,105,2,67812.4,2016-10-16
24984,107,4,80733.6333333,2016-10-17
24873,128,2,80081.8,2016-10-18
25501,113,3,81484.1,2016-10-19
26842,89,2,86150.4333333,2016-10-20
28963,111,2,90806.8833333,2016-10-21
26874,103,1,84492.0,2016-10-22
22304,91,3,70462.5166667,2016-10-23
23267,108,1,74740.5166667,2016-10-24
23407,79,1,76381.3666667,2016-10-25
24390,101,2,78152.9833333,2016-10-26
24076,107,2,77470.3,2016-10-27
25948,88,4,82046.1333333,2016-10-28
23646,91,1,74037.3,2016-10-29
20370,106,1,63047.4833333,2016-10-30
20879,69,3,68287.1,2016-10-31
22728,92,3,72099.2666667,2016-11-01
24040,121,1,75754.9833333,2016-11-02
24047,104,1,77027.7833333,2016-11-03
24702,106,1,78957.5166667,2016-11-04
23756,94,2,74608.7,2016-11-05
20739,87,2,64368.8833333,2016-11-06
21130,93,2,67758.45,2016-11-07
20386,88,4,65795.6333333,2016-11-08
20215,89,1,65542.9666667,2016-11-09
20862,75,1,67627.4833333,2016-11-10
21905,70,0,70170.6166667,2016-11-11
19807,88,1,62091.6166667,2016-11-12
16876,86,2,52373.8166667,2016-11-13
19861,83,1,64030.8166667,2016-11-14
20350,90,0,65960.55,2016-11-15
20041,85,1,64807.7666667,2016-11-16
19653,85,2,64668.1833333,2016-11-17
20736,81,3,67297.6,2016-11-18
19650,63,1,62268.75,2016-11-19
16520,65,3,50618.2,2016-11-20
18502,74,2,59973.8666667,2016-11-21
18132,75,2,58281.1833333,2016-11-22
19160,79,0,62190.75,2016-11-23
16515,60,0,52141.3333333,2016-11-24
15823,58,0,50652.15,2016-11-25
16041,73,1,50541.3,2016-11-26
13830,74,2,43551.6,2016-11-27
15380,72,2,50099.8,2016-11-28
16366,73,2,52521.3666667,2016-11-29
16799,78,0,53571.95,2016-11-30
16486,76,3,53424.6,2016-12-01
16552,52,2,54414.1666667,2016-12-02
15270,68,3,49328.1833333,2016-12-03
13043,66,0,41618.8,2016-12-04
14732,51,1,48100.4,2016-12-05
14434,75,0,48151.05,2016-12-06
14798,69,2,48742.0333333,2016-12-07
14615,71,1,46859.7,2016-12-08
14889,58,3,48303.9333333,2016-12-09
14114,63,1,44252.5666667,2016-12-10
12553,95,3,37829.35,2016-12-11
13006,70,1,41949.8166667,2016-12-12
13270,69,2,42965.4,2016-12-13
13510,51,1,43829.9166667,2016-12-14
13773,74,3,44703.0,2016-12-15
14514,52,0,46422.4333333,2016-12-16
13317,60,2,42144.55,2016-12-17
11439,52,2,35848.2333333,2016-12-18
12994,64,1,41752.0166667,2016-12-19
13166,57,2,41848.7333333,2016-12-20
13571,60,1,42884.4166667,2016-12-21
14566,87,1,46002.9,2016-12-22
14487,65,4,45635.35,2016-12-23
12788,82,0,40127.25,2016-12-24
11549,60,0,35088.8833333,2016-12-25
11902,61,1,37141.8166667,2016-12-26
11908,59,2,37745.15,2016-12-27
12568,60,1,39932.1333333,2016-12-28
12801,64,1,40871.3833333,2016-12-29
12690,47,1,40831.85,2016-12-30
12975,68,0,41619.9166667,2016-12-31
10216,56,0,31217.8333333,2017-01-01
10978,55,0,34489.95,2017-01-02
11275,62,1,36499.3,2017-01-03
