dailyViewcount,numShare,numSubscriber,watchTime,date
118866,907,312,615078.666667,2016-04-12
133470,928,287,706065.683333,2016-04-13
106397,618,216,521722.833333,2016-04-14
145932,975,591,790177.333333,2016-04-15
146605,888,472,777200.383333,2016-04-16
150325,890,479,789819.866667,2016-04-17
100917,664,288,565749.633333,2016-04-18
113016,854,251,745855.45,2016-04-19
86206,628,185,554320.933333,2016-04-20
75394,501,178,466112.016667,2016-04-21
61901,365,99,379024.65,2016-04-22
70079,413,149,417929.516667,2016-04-23
63747,415,103,403890.733333,2016-04-24
50678,311,72,318510.816667,2016-04-25
43045,318,63,271764.433333,2016-04-26
40160,316,71,252877.266667,2016-04-27
37392,366,46,228649.683333,2016-04-28
29465,294,40,187875.65,2016-04-29
30665,324,38,194383.533333,2016-04-30
29106,315,45,190216.333333,2016-05-01
25763,311,47,168411.466667,2016-05-02
23476,266,28,155045.15,2016-05-03
24256,269,39,160537.15,2016-05-04
24242,245,37,154783.233333,2016-05-05
20784,188,37,135935.216667,2016-05-06
22932,212,36,146309.433333,2016-05-07
19018,177,22,120879.35,2016-05-08
18005,205,26,114952.433333,2016-05-09
17534,198,35,114195.533333,2016-05-10
17562,177,21,114018.083333,2016-05-11
17182,176,26,108737.583333,2016-05-12
16174,122,23,101933.65,2016-05-13
17041,182,23,108008.1,2016-05-14
15649,153,15,98355.1833333,2016-05-15
14532,158,25,94000.75,2016-05-16
14243,156,15,94544.3166667,2016-05-17
14711,134,19,95870.55,2016-05-18
14708,161,18,93847.0333333,2016-05-19
16404,151,24,101878.916667,2016-05-20
16561,149,21,103948.45,2016-05-21
15486,161,17,97489.5833333,2016-05-22
14573,190,24,93777.4666667,2016-05-23
14118,160,15,89190.05,2016-05-24
14968,150,27,96343.6666667,2016-05-25
17113,219,18,110589.533333,2016-05-26
21037,232,43,138392.133333,2016-05-27
17445,152,25,117790.783333,2016-05-28
16496,169,30,109252.183333,2016-05-29
15833,170,34,104302.75,2016-05-30
16556,139,30,106272.183333,2016-05-31
16459,153,29,107701.033333,2016-06-01
15926,148,22,104901.083333,2016-06-02
16069,157,17,104737.633333,2016-06-03
19668,172,22,132007.5,2016-06-04
17518,138,21,114434.65,2016-06-05
15919,153,29,103065.183333,2016-06-06
15521,148,26,100164.916667,2016-06-07
14093,139,23,90141.8166667,2016-06-08
13792,138,17,87661.3333333,2016-06-09
13441,138,19,86900.0666667,2016-06-10
14235,123,14,94419.0,2016-06-11
13167,131,19,84722.6166667,2016-06-12
12740,112,16,84340.6,2016-06-13
13760,157,15,89140.2666667,2016-06-14
13570,115,26,86536.7,2016-06-15
13153,127,14,83227.6166667,2016-06-16
11979,108,10,76951.15,2016-06-17
12421,129,12,78364.9166667,2016-06-18
11226,119,13,70451.3666667,2016-06-19
12087,128,12,75212.5833333,2016-06-20
12276,117,20,79432.9333333,2016-06-21
11469,117,8,73126.9,2016-06-22
13429,112,17,85210.55,2016-06-23
12384,122,18,80371.7166667,2016-06-24
12756,123,11,80964.7333333,2016-06-25
11476,111,20,73244.0166667,2016-06-26
11535,113,18,74606.1666667,2016-06-27
11048,102,13,70416.7833333,2016-06-28
10430,110,12,67288.1333333,2016-06-29
10379,97,10,66024.2833333,2016-06-30
10083,76,13,61523.9833333,2016-07-01
10022,79,7,60565.5833333,2016-07-02
10424,82,12,63885.5333333,2016-07-03
11591,127,9,73628.3,2016-07-04
12317,130,11,78795.0333333,2016-07-05
12862,143,13,83631.05,2016-07-06
11446,105,11,74447.5166667,2016-07-07
9823,71,13,64558.0333333,2016-07-08
9889,90,12,61689.8,2016-07-09
9852,84,16,63199.05,2016-07-10
9842,77,9,62695.9166667,2016-07-11
9471,98,13,59144.2,2016-07-12
9130,70,10,56184.8333333,2016-07-13
9581,92,11,60024.6666667,2016-07-14
9178,72,10,57507.9666667,2016-07-15
8996,84,6,54871.25,2016-07-16
8751,66,10,54573.7666667,2016-07-17
9321,67,17,57289.1333333,2016-07-18
8462,64,9,53883.8833333,2016-07-19
8368,72,6,53260.7833333,2016-07-20
8574,93,10,54789.0666667,2016-07-21
8368,77,8,53156.4166667,2016-07-22
7862,62,13,49243.45,2016-07-23
7538,68,10,46307.75,2016-07-24
7397,73,13,44065.8166667,2016-07-25
7861,58,8,48778.5833333,2016-07-26
7449,84,7,47668.4666667,2016-07-27
7538,77,12,46371.3666667,2016-07-28
7291,76,12,45279.6333333,2016-07-29
6782,55,0,42735.3,2016-07-30
6645,55,12,40789.0166667,2016-07-31
6410,61,7,39586.4,2016-08-01
6401,56,6,40323.5,2016-08-02
6409,66,7,40575.2333333,2016-08-03
6318,74,10,39925.45,2016-08-04
6294,49,5,41024.25,2016-08-05
6428,73,7,40018.0166667,2016-08-06
6605,57,11,40859.05,2016-08-07
6800,50,9,41636.9333333,2016-08-08
6361,48,7,40039.2666667,2016-08-09
6288,69,11,39757.35,2016-08-10
7509,78,13,46144.25,2016-08-11
8114,89,11,48838.9666667,2016-08-12
7609,66,12,47410.6,2016-08-13
7191,63,12,46694.9333333,2016-08-14
7250,71,5,47066.75,2016-08-15
6570,57,4,41734.3333333,2016-08-16
6569,56,4,43411.75,2016-08-17
6266,55,8,40243.05,2016-08-18
5892,73,10,37892.4166667,2016-08-19
6030,47,9,38102.3333333,2016-08-20
5390,45,7,32814.8,2016-08-21
5497,57,7,34999.4666667,2016-08-22
5570,60,4,35962.8166667,2016-08-23
5458,52,14,33846.3166667,2016-08-24
5275,54,5,32686.7,2016-08-25
5017,35,5,31328.2833333,2016-08-26
5593,45,5,35119.6166667,2016-08-27
5996,63,6,36044.75,2016-08-28
5280,56,5,31999.6166667,2016-08-29
5113,29,8,31644.9166667,2016-08-30
4593,44,5,28693.3333333,2016-08-31
4838,39,8,30957.2333333,2016-09-01
4747,38,4,29749.8166667,2016-09-02
4751,32,4,29651.6333333,2016-09-03
4729,53,4,29829.0333333,2016-09-04
4617,36,4,28627.5166667,2016-09-05
4309,43,5,26359.9833333,2016-09-06
4181,36,4,26170.3666667,2016-09-07
4497,34,6,27378.2166667,2016-09-08
5875,55,10,35617.8166667,2016-09-09
6487,57,9,39125.55,2016-09-10
5851,57,6,36117.7,2016-09-11
4670,48,7,30225.5,2016-09-12
5540,60,4,34240.1333333,2016-09-13
5233,43,11,32521.2,2016-09-14
4623,40,9,29797.9,2016-09-15
4550,28,10,28744.4833333,2016-09-16
5023,49,9,31238.3,2016-09-17
4964,47,4,31326.3166667,2016-09-18
4158,47,2,27159.6166667,2016-09-19
4095,38,5,25782.1,2016-09-20
3936,35,4,25763.5333333,2016-09-21
4157,33,5,26290.9666667,2016-09-22
4853,40,4,29869.3,2016-09-23
4935,50,8,30562.0666667,2016-09-24
4698,48,3,29424.9666667,2016-09-25
4950,39,3,29092.85,2016-09-26
4466,42,10,27727.3833333,2016-09-27
4406,34,14,27515.3,2016-09-28
4274,45,5,26775.4833333,2016-09-29
4444,24,3,27293.6,2016-09-30
4430,34,5,26750.15,2016-10-01
3824,36,4,24454.7,2016-10-02
3993,40,4,25447.9666667,2016-10-03
3592,39,7,23546.0333333,2016-10-04
3826,21,3,24905.8666667,2016-10-05
4187,43,6,26421.65,2016-10-06
3786,32,4,24761.3166667,2016-10-07
3821,15,5,24341.0333333,2016-10-08
4294,37,7,26355.8,2016-10-09
4279,42,5,26589.75,2016-10-10
3948,29,5,25004.9166667,2016-10-11
3830,30,3,24218.5,2016-10-12
3626,19,1,22787.3333333,2016-10-13
3945,20,1,24579.7,2016-10-14
4228,27,4,26338.9666667,2016-10-15
4327,28,7,26622.0,2016-10-16
4071,38,6,26048.9166667,2016-10-17
3791,39,6,24520.4333333,2016-10-18
3827,25,9,24481.5333333,2016-10-19
3686,20,5,23862.5333333,2016-10-20
3871,37,4,24548.9666667,2016-10-21
4191,37,5,25713.8833333,2016-10-22
3650,21,5,23421.2333333,2016-10-23
3677,27,3,23147.6333333,2016-10-24
3272,26,5,21040.8833333,2016-10-25
3372,26,6,21393.6,2016-10-26
3415,31,0,21476.5166667,2016-10-27
3296,26,2,22376.6666667,2016-10-28
3341,25,4,22582.0666667,2016-10-29
3802,35,10,24244.4833333,2016-10-30
3528,27,4,22701.7833333,2016-10-31
5434,51,10,34021.1666667,2016-11-01
4338,32,8,27397.2666667,2016-11-02
4925,45,6,30570.2333333,2016-11-03
4609,34,8,29446.75,2016-11-04
4378,30,4,27718.45,2016-11-05
4429,43,5,29051.2,2016-11-06
3877,25,4,25765.9,2016-11-07
3452,20,6,22847.0666667,2016-11-08
3425,20,5,23310.6166667,2016-11-09
3536,32,5,23844.0666667,2016-11-10
3645,20,3,24474.7333333,2016-11-11
3704,13,5,23849.05,2016-11-12
4298,41,7,27931.1,2016-11-13
4357,38,5,29124.1666667,2016-11-14
3906,37,4,25985.9666667,2016-11-15
3772,32,2,25295.0333333,2016-11-16
4360,35,5,27937.0166667,2016-11-17
3939,21,2,26016.4166667,2016-11-18
4619,16,5,29639.0,2016-11-19
4372,30,10,27953.8833333,2016-11-20
3695,28,7,24670.75,2016-11-21
4019,29,5,27057.9333333,2016-11-22
3767,23,5,25793.8,2016-11-23
3524,19,4,23772.75,2016-11-24
3493,25,2,23933.0833333,2016-11-25
3818,47,4,25778.6666667,2016-11-26
3804,34,5,26041.3333333,2016-11-27
3290,35,4,22628.9,2016-11-28
3617,21,5,24274.6,2016-11-29
3734,24,4,23831.6833333,2016-11-30
3807,35,4,24599.4333333,2016-12-01
3918,41,1,25318.7,2016-12-02
4485,23,5,29035.9833333,2016-12-03
5162,34,12,32262.9,2016-12-04
5181,36,7,31821.2833333,2016-12-05
6767,66,12,42376.0166667,2016-12-06
5909,53,9,37875.4333333,2016-12-07
5256,34,7,34044.75,2016-12-08
4353,35,5,27867.5833333,2016-12-09
4771,40,8,30118.3,2016-12-10
4584,42,8,29651.9,2016-12-11
5628,42,7,33227.0666667,2016-12-12
10836,77,27,56433.2,2016-12-13
7220,58,21,41294.8166667,2016-12-14
6238,44,11,37262.55,2016-12-15
7065,44,11,40912.6,2016-12-16
5662,38,6,34184.0666667,2016-12-17
5079,36,5,30622.1833333,2016-12-18
5460,34,12,33397.8333333,2016-12-19
4720,37,5,29141.0333333,2016-12-20
4355,34,10,28023.9,2016-12-21
4420,35,5,28578.6833333,2016-12-22
4365,51,3,28038.7166667,2016-12-23
3961,31,6,26358.3833333,2016-12-24
3781,29,5,23568.65,2016-12-25
4345,36,9,26972.7833333,2016-12-26
4297,29,4,27146.8333333,2016-12-27
4530,36,7,28688.2,2016-12-28
5797,44,10,35984.5166667,2016-12-29
5397,46,5,34104.2833333,2016-12-30
4740,42,2,31398.5333333,2016-12-31
4337,41,4,26753.0,2017-01-01
5028,32,10,30976.7333333,2017-01-02
4713,37,8,29420.6666667,2017-01-03
5488,47,9,33065.6166667,2017-01-04
