dailyViewcount,numShare,numSubscriber,watchTime,date
50336,541,93,79567.55,2017-04-27
62261,647,113,111828.483333,2017-04-28
28261,331,53,51691.8333333,2017-04-29
27053,263,45,51177.5,2017-04-30
29789,315,47,57570.9166667,2017-05-01
23277,264,22,48733.0166667,2017-05-02
21639,272,34,47547.5333333,2017-05-03
17424,206,15,39015.35,2017-05-04
12590,155,16,28807.75,2017-05-05
11445,160,11,25667.95,2017-05-06
11538,185,13,26393.0666667,2017-05-07
10998,145,11,25083.6,2017-05-08
10599,163,11,24661.2166667,2017-05-09
11134,143,12,25993.35,2017-05-10
11131,159,11,26259.8833333,2017-05-11
10644,130,8,24504.6166667,2017-05-12
10246,148,5,24402.6666667,2017-05-13
10951,188,13,25219.9,2017-05-14
9989,164,10,24126.9166667,2017-05-15
12044,210,15,28770.3166667,2017-05-16
15850,269,13,38531.9833333,2017-05-17
17839,263,13,44404.5666667,2017-05-18
18262,263,13,46767.6,2017-05-19
19835,268,14,48729.8,2017-05-20
20828,324,18,53051.0166667,2017-05-21
22007,282,22,56607.0,2017-05-22
