dailyViewcount,numShare,numSubscriber,watchTime,date
4035864,40348,0,10189278.8333,2017-01-20
3811738,27088,0,9154047.35,2017-01-21
3628054,24594,0,8632370.76667,2017-01-22
3138927,18705,0,7241474.23333,2017-01-23
2807134,15504,0,6665377.45,2017-01-24
2578526,13369,0,6141070.1,2017-01-25
2524574,11918,0,6055277.11667,2017-01-26
2539741,12049,0,6189485.16667,2017-01-27
2873238,12901,1025,6972899.33333,2017-01-28
2674448,11859,893,6466717.41667,2017-01-29
2567957,10408,870,6320357.91667,2017-01-30
2510343,10215,656,6232140.68333,2017-01-31
2686827,12298,834,6740274.48333,2017-02-01
2367305,10355,626,6067463.11667,2017-02-02
2449404,9853,635,6173516.15,2017-02-03
2837905,10132,727,7134457.0,2017-02-04
2478692,9761,588,6250931.2,2017-02-05
2025029,8030,511,5213492.81667,2017-02-06
2023322,7477,525,5222211.26667,2017-02-07
2034440,7723,550,5247538.06667,2017-02-08
2056771,7319,475,5299466.3,2017-02-09
2148577,7863,523,5497828.23333,2017-02-10
2365608,8493,580,6004077.05,2017-02-11
2124378,8035,520,5289108.78333,2017-02-12
1974257,6677,412,5054836.33333,2017-02-13
1886310,6007,458,4882216.93333,2017-02-14
1834335,6245,436,4772783.61667,2017-02-15
1799257,5985,370,4691593.55,2017-02-16
1902785,6547,391,4913449.9,2017-02-17
2079624,7205,504,5317323.76667,2017-02-18
1863113,6822,473,4744291.26667,2017-02-19
1568818,5450,370,4069896.15,2017-02-20
1481767,5455,338,3806084.73333,2017-02-21
2281775,7394,753,5124585.51667,2017-02-22
1520610,5399,334,3924937.4,2017-02-23
1553585,5478,332,3992017.4,2017-02-24
1666788,5883,377,4244029.18333,2017-02-25
1524189,5985,352,3861054.3,2017-02-26
1245787,5008,282,3231504.35,2017-02-27
1234454,4903,288,3192831.31667,2017-02-28
1220060,4966,277,3170502.65,2017-03-01
1216654,4815,275,3141704.23333,2017-03-02
1314890,5288,314,3313082.83333,2017-03-03
1501534,5865,365,3778177.36667,2017-03-04
1281569,5405,285,3235068.05,2017-03-05
1092416,4423,246,2798036.35,2017-03-06
1079193,4409,251,2777040.08333,2017-03-07
1099398,4285,261,2823827.5,2017-03-08
1090423,4333,241,2809028.28333,2017-03-09
1115418,4580,245,2840468.53333,2017-03-10
1240208,5193,270,3141601.96667,2017-03-11
1050953,5217,252,2657998.16667,2017-03-12
871308,4081,196,2245885.08333,2017-03-13
896134,4214,213,2307449.0,2017-03-14
894290,4322,193,2300745.35,2017-03-15
866943,4246,218,2213993.3,2017-03-16
986469,4802,241,2473404.36667,2017-03-17
1129317,5589,305,2813000.83333,2017-03-18
1012816,5309,227,2519048.01667,2017-03-19
846713,4006,203,2160873.15,2017-03-20
823818,3937,200,2111391.25,2017-03-21
804095,3917,190,2062347.01667,2017-03-22
809693,3830,169,2061137.71667,2017-03-23
890967,4194,201,2237285.6,2017-03-24
1009631,4621,239,2525735.45,2017-03-25
860991,4279,215,2150791.28333,2017-03-26
712179,3385,144,1813915.95,2017-03-27
700336,3428,162,1781177.35,2017-03-28
799369,4416,207,2007464.2,2017-03-29
935703,4853,258,2316943.38333,2017-03-30
904259,4856,209,2225632.28333,2017-03-31
1039838,5317,205,2549941.03333,2017-04-01
906144,5040,214,2227447.55,2017-04-02
809225,4199,175,2017480.15,2017-04-03
843865,4236,203,2103113.15,2017-04-04
834747,4227,163,2086817.51667,2017-04-05
900467,4471,189,2212145.93333,2017-04-06
933874,4911,174,2246517.33333,2017-04-07
1002753,5227,184,2419528.01667,2017-04-08
880412,4921,181,2133559.58333,2017-04-09
848086,4301,162,2083660.66667,2017-04-10
829985,4382,146,2036802.15,2017-04-11
855853,4711,155,2079103.71667,2017-04-12
925770,4761,196,2231525.21667,2017-04-13
886377,4403,166,2123176.63333,2017-04-14
840543,4321,155,2024423.18333,2017-04-15
777759,3988,147,1846129.51667,2017-04-16
796780,4085,157,1909083.78333,2017-04-17
758172,3747,144,1840679.25,2017-04-18
760145,3835,143,1847844.26667,2017-04-19
808840,4460,234,1941410.35,2017-04-20
819726,4199,194,1975027.78333,2017-04-21
834417,4138,168,2047754.1,2017-04-22
742568,3980,179,1820796.08333,2017-04-23
636940,3175,136,1583525.26667,2017-04-24
644063,3249,144,1595622.41667,2017-04-25
628522,3280,166,1561361.8,2017-04-26
651172,3256,124,1608065.18333,2017-04-27
732947,3682,147,1783976.28333,2017-04-28
838018,3998,176,2021729.93333,2017-04-29
746932,3784,172,1798181.51667,2017-04-30
723394,3757,151,1753150.41667,2017-05-01
622842,3023,116,1536374.25,2017-05-02
612254,2861,112,1518700.0,2017-05-03
605308,3098,158,1489497.23333,2017-05-04
634396,3008,129,1549993.41667,2017-05-05
707992,3413,139,1714629.1,2017-05-06
625747,3083,124,1520190.41667,2017-05-07
534739,2740,123,1318209.45,2017-05-08
527192,2544,101,1301618.45,2017-05-09
535448,2594,118,1326929.15,2017-05-10
511679,2683,111,1258233.3,2017-05-11
559694,2949,124,1340271.7,2017-05-12
624592,3008,136,1493976.41667,2017-05-13
544724,2941,125,1301482.43333,2017-05-14
468493,2472,99,1149864.96667,2017-05-15
467852,2398,100,1152179.93333,2017-05-16
489809,2447,108,1202001.16667,2017-05-17
533491,2646,88,1297313.66667,2017-05-18
592346,2814,119,1410691.0,2017-05-19
633471,2955,142,1492806.93333,2017-05-20
529711,2783,108,1259365.01667,2017-05-21
467943,2302,106,1123190.2,2017-05-22
