dailyViewcount,numShare,numSubscriber,watchTime,date
610,4,0,1885.41666667,2016-09-29
1269,2,0,3626.15,2016-09-30
1828,8,0,5225.63333333,2016-10-01
1824,7,0,4763.6,2016-10-02
2128,3,0,6260.8,2016-10-03
2302,7,0,6835.88333333,2016-10-04
2855,13,0,8439.13333333,2016-10-05
3168,21,0,9333.13333333,2016-10-06
3889,16,0,11786.8333333,2016-10-07
3899,20,0,12122.5666667,2016-10-08
3540,17,0,10448.2,2016-10-09
4414,16,0,13405.1,2016-10-10
5069,14,0,15067.85,2016-10-11
6074,6,0,18061.7833333,2016-10-12
6926,14,0,20826.7833333,2016-10-13
7683,12,0,23137.2166667,2016-10-14
7221,18,0,21885.1833333,2016-10-15
6921,16,0,20681.8,2016-10-16
8085,16,0,24685.85,2016-10-17
7822,26,0,23874.9833333,2016-10-18
8611,28,1,25790.7166667,2016-10-19
9538,17,0,29073.2166667,2016-10-20
9027,16,0,27606.0833333,2016-10-21
7981,20,0,24296.5166667,2016-10-22
8330,21,0,25058.7833333,2016-10-23
10021,20,0,30458.5166667,2016-10-24
10035,29,0,30571.8,2016-10-25
10387,28,1,31290.4833333,2016-10-26
11345,34,0,34053.5666667,2016-10-27
12797,25,0,38655.4,2016-10-28
12146,18,0,36561.5666667,2016-10-29
10093,26,0,30261.3166667,2016-10-30
11776,18,0,35834.35,2016-10-31
12050,18,1,36504.5666667,2016-11-01
13652,33,0,40826.2333333,2016-11-02
17127,50,0,51859.6333333,2016-11-03
21330,54,1,66305.8333333,2016-11-04
22087,52,0,68185.75,2016-11-05
23532,72,0,72767.7,2016-11-06
27928,81,0,88824.6833333,2016-11-07
27533,67,1,87773.75,2016-11-08
29145,52,0,91674.6666667,2016-11-09
32398,73,0,100421.083333,2016-11-10
35008,71,0,106994.216667,2016-11-11
33348,96,1,100926.85,2016-11-12
27538,81,0,83722.7,2016-11-13
32015,69,0,97784.3666667,2016-11-14
33067,68,1,100117.233333,2016-11-15
39388,81,0,117179.583333,2016-11-16
46152,59,0,135891.583333,2016-11-17
52079,92,3,152027.75,2016-11-18
49949,86,2,142668.1,2016-11-19
45221,85,2,127034.883333,2016-11-20
48300,91,4,137012.8,2016-11-21
51049,76,5,141805.733333,2016-11-22
59879,94,6,164256.716667,2016-11-23
58781,117,5,155652.283333,2016-11-24
58707,99,2,156959.783333,2016-11-25
57437,106,4,154598.816667,2016-11-26
50742,104,2,136350.3,2016-11-27
54642,78,3,147718.083333,2016-11-28
55778,92,5,148986.25,2016-11-29
56165,84,4,149282.133333,2016-11-30
57532,95,3,153118.5,2016-12-01
63468,103,8,167737.55,2016-12-02
60392,98,5,157041.083333,2016-12-03
50453,92,1,132501.0,2016-12-04
50741,92,4,135581.25,2016-12-05
49837,67,1,135280.133333,2016-12-06
49081,79,2,132906.483333,2016-12-07
49251,78,4,134217.066667,2016-12-08
53482,80,6,140940.45,2016-12-09
52009,84,5,136126.45,2016-12-10
42250,90,3,111410.966667,2016-12-11
42430,61,2,113682.083333,2016-12-12
42738,74,9,112779.433333,2016-12-13
39120,65,3,103280.566667,2016-12-14
38095,58,2,101298.1,2016-12-15
48064,89,7,125490.633333,2016-12-16
49809,76,4,129091.083333,2016-12-17
42898,86,5,110269.566667,2016-12-18
44760,61,10,118242.233333,2016-12-19
44467,69,5,116190.316667,2016-12-20
42366,71,2,109836.833333,2016-12-21
43943,58,3,113703.283333,2016-12-22
46527,99,4,118495.35,2016-12-23
45781,93,2,116705.433333,2016-12-24
44838,84,4,111258.616667,2016-12-25
43935,91,4,112604.116667,2016-12-26
46832,81,2,118904.366667,2016-12-27
44459,74,3,115897.783333,2016-12-28
44133,64,4,114468.466667,2016-12-29
46161,87,4,120861.933333,2016-12-30
51421,84,0,136456.9,2016-12-31
37777,59,3,95647.2166667,2017-01-01
35838,69,2,93146.9666667,2017-01-02
36583,58,1,95478.25,2017-01-03
35820,69,2,93336.5166667,2017-01-04
