dailyViewcount,numShare,numSubscriber,watchTime,date
4162556,118275,4509,10673825.8,2016-06-08
4382011,56410,3601,10554568.05,2016-06-09
3381652,40572,3173,8064556.98333,2016-06-10
3484319,34373,2795,8303968.48333,2016-06-11
3129757,29177,2313,7704253.86667,2016-06-12
2759805,23746,1687,6977426.91667,2016-06-13
2813075,21312,1529,7044056.05,2016-06-14
2788926,20411,1444,7040710.46667,2016-06-15
2876935,19989,1303,7314154.13333,2016-06-16
2902424,19320,1321,7253212.71667,2016-06-17
3233548,19691,1363,8022281.2,2016-06-18
2994718,18705,1308,7404416.58333,2016-06-19
2802450,17060,1051,7219866.71667,2016-06-20
2744204,16903,1067,7089852.9,2016-06-21
2608589,15604,828,6792166.08333,2016-06-22
2530448,15444,877,6566325.93333,2016-06-23
2603636,15137,925,6702884.73333,2016-06-24
2448687,14689,887,6229744.55,2016-06-25
2199122,13574,771,5573678.56667,2016-06-26
2428148,13591,903,6218213.3,2016-06-27
2392091,14249,848,6090833.53333,2016-06-28
2541071,14118,924,6495138.53333,2016-06-29
2767789,14492,820,7146836.96667,2016-06-30
2852549,13577,937,7375597.5,2016-07-01
2651838,12941,711,6784341.11667,2016-07-02
2158381,12639,721,5434069.25,2016-07-03
2370374,12260,679,6057771.96667,2016-07-04
2775124,12495,832,7073836.75,2016-07-05
2875945,13055,800,7317170.73333,2016-07-06
2801265,12767,819,7147816.86667,2016-07-07
2541074,12234,809,6459494.08333,2016-07-08
2348081,11904,734,5892826.76667,2016-07-09
2057497,10845,653,5178304.45,2016-07-10
2186992,10956,651,5649118.4,2016-07-11
2074443,10874,679,5341344.93333,2016-07-12
2190411,10440,671,5699844.21667,2016-07-13
2255998,10807,688,5858108.61667,2016-07-14
2246950,10503,625,5798078.9,2016-07-15
1937507,9886,627,4930077.4,2016-07-16
1675931,9388,534,4235948.18333,2016-07-17
1819008,9387,608,4724348.3,2016-07-18
1772809,9005,620,4619059.26667,2016-07-19
1774974,8931,532,4640668.25,2016-07-20
1877718,9230,589,4887638.68333,2016-07-21
1998592,10288,549,5103556.71667,2016-07-22
1936941,9827,598,4872698.33333,2016-07-23
1674546,9203,489,4197091.5,2016-07-24
1892786,9511,555,4851204.78333,2016-07-25
1807447,9078,548,4638257.43333,2016-07-26
1773558,8978,540,4547156.51667,2016-07-27
1775289,9431,553,4527472.33333,2016-07-28
1836685,9314,576,4715489.95,2016-07-29
1793082,8943,526,4537862.85,2016-07-30
1541177,9004,525,3872965.58333,2016-07-31
1695663,8797,517,4337895.56667,2016-08-01
1628462,8591,533,4145547.56667,2016-08-02
1585332,8449,452,4049877.81667,2016-08-03
1797751,8914,544,4500827.41667,2016-08-04
1781249,8760,532,4468211.63333,2016-08-05
1975578,8750,624,4929531.46667,2016-08-06
1767425,8555,518,4397496.03333,2016-08-07
1759294,8263,492,4453066.36667,2016-08-08
1620050,7860,481,4075467.86667,2016-08-09
1586824,7729,452,3994722.78333,2016-08-10
1680727,7897,487,4240481.91667,2016-08-11
1670402,7978,493,4183117.76667,2016-08-12
1546858,8145,433,3780608.5,2016-08-13
1381915,7650,381,3363513.48333,2016-08-14
1533249,7316,459,3824200.21667,2016-08-15
1501118,7366,433,3765811.1,2016-08-16
1525660,7106,494,3857013.76667,2016-08-17
1611460,7275,415,4080759.53333,2016-08-18
1635495,7635,447,4049665.41667,2016-08-19
1580109,7464,456,3876000.01667,2016-08-20
1427524,7013,396,3502218.65,2016-08-21
1479891,6631,392,3724974.05,2016-08-22
1501613,6793,417,3782218.56667,2016-08-23
1546004,6748,408,3896748.58333,2016-08-24
1438279,6493,362,3593898.55,2016-08-25
1455166,7015,388,3583672.91667,2016-08-26
1484608,7535,442,3595818.81667,2016-08-27
1362885,7415,359,3312387.01667,2016-08-28
1437302,6881,384,3531041.71667,2016-08-29
1529108,6955,459,3718639.5,2016-08-30
1563783,7280,494,3840928.01667,2016-08-31
1532304,7375,450,3762037.1,2016-09-01
1687030,7315,424,4119223.45,2016-09-02
1808108,7861,579,4341506.2,2016-09-03
1633749,7963,521,3939586.95,2016-09-04
1503559,6813,475,3719368.93333,2016-09-05
1552187,6535,429,3861492.45,2016-09-06
1648888,6834,460,4086099.0,2016-09-07
1487369,6341,393,3701807.5,2016-09-08
1467290,6597,414,3598335.55,2016-09-09
1674632,7016,477,4061390.6,2016-09-10
1531711,7039,416,3731397.26667,2016-09-11
1525141,5956,412,3834423.93333,2016-09-12
1519487,6411,294,3816876.16667,2016-09-13
1456214,6283,294,3646794.75,2016-09-14
1483138,6636,396,3686249.18333,2016-09-15
1366101,6501,350,3374113.88333,2016-09-16
1473051,6828,377,3575969.63333,2016-09-17
1340082,6942,366,3267717.4,2016-09-18
1285761,5833,325,3232919.28333,2016-09-19
1284622,5631,349,3246724.88333,2016-09-20
1309066,5785,332,3294448.3,2016-09-21
1314189,5617,302,3325262.81667,2016-09-22
1336029,5616,243,3324451.31667,2016-09-23
1425224,6698,416,3460987.53333,2016-09-24
1283684,6549,351,3140122.45,2016-09-25
1201265,5474,289,3034517.83333,2016-09-26
1172799,5317,255,2964933.51667,2016-09-27
1189707,5415,275,3005946.05,2016-09-28
1141112,5596,305,2844874.9,2016-09-29
1217315,5708,316,2941379.2,2016-09-30
1340152,6711,379,3166602.23333,2016-10-01
1143392,6468,340,2718456.66667,2016-10-02
1065196,5349,309,2619611.05,2016-10-03
1049399,5180,269,2590252.23333,2016-10-04
1101527,5329,308,2718542.56667,2016-10-05
1101621,5229,248,2726563.61667,2016-10-06
1213011,5900,338,2921683.33333,2016-10-07
1206214,6120,327,2871993.11667,2016-10-08
1062746,5951,301,2534883.95,2016-10-09
1023820,5034,299,2505928.55,2016-10-10
1033449,5011,291,2532172.98333,2016-10-11
1067025,5173,299,2593783.16667,2016-10-12
1063527,5027,275,2604211.68333,2016-10-13
1093569,5116,316,2647895.61667,2016-10-14
1134696,5428,351,2677071.25,2016-10-15
981926,5464,260,2323227.01667,2016-10-16
964251,4412,248,2383532.05,2016-10-17
957207,4474,246,2371979.95,2016-10-18
992084,4843,257,2437028.31667,2016-10-19
991887,4916,257,2430813.86667,2016-10-20
1005806,4836,306,2434549.86667,2016-10-21
1094243,5519,350,2599288.9,2016-10-22
965486,5462,302,2287486.28333,2016-10-23
920558,4685,251,2238567.38333,2016-10-24
937000,4874,288,2276845.4,2016-10-25
952225,4949,245,2319956.5,2016-10-26
973440,4956,299,2362171.6,2016-10-27
1035667,5152,324,2485915.13333,2016-10-28
1084774,5591,335,2556604.66667,2016-10-29
926671,5317,298,2184131.03333,2016-10-30
889903,4515,253,2171075.08333,2016-10-31
950895,4931,262,2260114.25,2016-11-01
972624,5190,299,2353559.81667,2016-11-02
984549,4818,324,2411001.75,2016-11-03
1002795,4873,298,2420248.33333,2016-11-04
1074489,5299,315,2559063.43333,2016-11-05
961068,5394,258,2292994.05,2016-11-06
824095,4459,245,2021616.88333,2016-11-07
812679,4222,254,1992304.28333,2016-11-08
827650,4365,266,2018433.45,2016-11-09
880429,4753,269,2132021.25,2016-11-10
959724,5166,308,2269023.7,2016-11-11
999446,5819,319,2329994.61667,2016-11-12
874321,5598,278,2054378.45,2016-11-13
799303,4451,229,1936266.51667,2016-11-14
784240,4410,243,1894940.85,2016-11-15
779636,4370,200,1888170.48333,2016-11-16
786951,4511,277,1894447.25,2016-11-17
809509,4597,240,1902916.01667,2016-11-18
883656,5446,277,2030980.53333,2016-11-19
784926,5251,237,1817252.5,2016-11-20
784688,4788,275,1858977.3,2016-11-21
771467,4798,231,1840250.66667,2016-11-22
773076,4780,252,1841106.18333,2016-11-23
756598,4519,254,1798174.18333,2016-11-24
778089,4923,252,1812996.56667,2016-11-25
841958,5471,273,1923611.31667,2016-11-26
727649,5207,220,1668783.73333,2016-11-27
677554,4448,222,1611446.83333,2016-11-28
689806,4324,231,1642108.01667,2016-11-29
731559,4437,245,1735403.5,2016-11-30
749260,4451,215,1763397.66667,2016-12-01
731088,4468,242,1685144.38333,2016-12-02
815134,4961,246,1843466.53333,2016-12-03
704398,4760,222,1626068.5,2016-12-04
686333,4266,233,1639145.46667,2016-12-05
721046,4431,225,1716220.76667,2016-12-06
737947,4332,237,1739712.38333,2016-12-07
761302,4025,255,1789406.85,2016-12-08
723234,4019,229,1676982.71667,2016-12-09
751277,4813,235,1710086.93333,2016-12-10
650584,4587,199,1496515.63333,2016-12-11
623143,4109,191,1476365.91667,2016-12-12
622134,4072,190,1480114.86667,2016-12-13
634916,4069,209,1507039.13333,2016-12-14
619001,3988,190,1461666.76667,2016-12-15
676080,4263,212,1577092.63333,2016-12-16
731659,4577,235,1679677.65,2016-12-17
594406,4204,176,1368913.03333,2016-12-18
574225,4160,182,1352200.0,2016-12-19
589082,4013,198,1380521.46667,2016-12-20
604316,4193,188,1414419.96667,2016-12-21
605554,4381,155,1422014.3,2016-12-22
617536,4397,190,1437475.88333,2016-12-23
622620,4230,166,1431235.35,2016-12-24
515947,4935,140,1145097.25,2016-12-25
570122,4812,175,1307396.01667,2016-12-26
588560,4738,163,1362201.4,2016-12-27
571575,4670,164,1316924.2,2016-12-28
576049,4824,172,1328014.48333,2016-12-29
594655,4697,201,1367614.1,2016-12-30
634803,3926,168,1453777.41667,2016-12-31
461511,3920,122,1014831.01667,2017-01-01
532641,4397,168,1223285.9,2017-01-02
534083,4250,156,1236605.7,2017-01-03
523978,4275,158,1217451.76667,2017-01-04
538677,4192,126,1250740.06667,2017-01-05
560141,4598,179,1278430.68333,2017-01-06
566230,4624,161,1280948.63333,2017-01-07
508595,4279,134,1152690.38333,2017-01-08
496243,3991,116,1157978.6,2017-01-09
506675,3837,136,1177078.03333,2017-01-10
517000,4102,122,1204002.26667,2017-01-11
536830,4278,124,1253137.23333,2017-01-12
555435,4173,144,1275201.1,2017-01-13
591052,4520,144,1335918.45,2017-01-14
535513,4372,139,1217361.65,2017-01-15
513977,3906,112,1198674.41667,2017-01-16
518624,3813,0,1208465.71667,2017-01-17
