dailyViewcount,numShare,numSubscriber,watchTime,date
3366,31,8,30509.5666667,2017-03-11
4666,17,4,57695.9166667,2017-03-12
2145,15,5,25754.5,2017-03-13
2668,9,4,38306.6166667,2017-03-14
2517,8,8,39633.3333333,2017-03-15
2592,7,7,47554.6166667,2017-03-16
3958,9,7,75225.2166667,2017-03-17
3620,11,4,58516.1333333,2017-03-18
3564,12,9,67133.4333333,2017-03-19
4535,11,16,90479.2,2017-03-20
7108,12,18,146374.75,2017-03-21
7829,17,19,155319.566667,2017-03-22
7566,19,6,153365.5,2017-03-23
7699,19,12,144738.183333,2017-03-24
11054,27,12,194428.666667,2017-03-25
12565,39,36,212257.75,2017-03-26
12953,40,25,250252.033333,2017-03-27
15803,41,38,276940.166667,2017-03-28
21988,49,57,363825.483333,2017-03-29
20953,66,47,346963.433333,2017-03-30
17655,68,22,278516.1,2017-03-31
16002,66,21,240173.4,2017-04-01
13345,51,20,207069.816667,2017-04-02
13203,39,27,233090.05,2017-04-03
14183,34,19,245393.45,2017-04-04
14434,38,25,265485.2,2017-04-05
11650,31,26,216653.2,2017-04-06
11281,33,11,199020.383333,2017-04-07
10108,35,12,171682.783333,2017-04-08
11905,32,19,195964.466667,2017-04-09
11886,31,17,217433.6,2017-04-10
12184,33,20,224310.65,2017-04-11
11175,22,11,206668.933333,2017-04-12
9981,39,8,183627.8,2017-04-13
11177,32,15,192376.4,2017-04-14
10280,30,16,169866.75,2017-04-15
9011,21,24,152041.95,2017-04-16
8965,39,19,170060.7,2017-04-17
8842,18,19,178769.15,2017-04-18
8942,27,14,177992.383333,2017-04-19
9878,29,10,187581.983333,2017-04-20
8795,31,16,163721.966667,2017-04-21
8385,19,17,149063.15,2017-04-22
8917,20,19,161511.566667,2017-04-23
7363,18,6,148172.85,2017-04-24
6441,19,8,133257.7,2017-04-25
6646,17,8,134046.3,2017-04-26
5878,19,12,122826.966667,2017-04-27
6243,19,8,125510.883333,2017-04-28
6748,17,8,129342.683333,2017-04-29
5750,10,8,103848.45,2017-04-30
5967,23,11,115118.4,2017-05-01
5281,12,5,110188.483333,2017-05-02
6119,12,4,125562.433333,2017-05-03
5731,17,7,120372.066667,2017-05-04
6508,18,8,129227.783333,2017-05-05
6013,15,8,112537.733333,2017-05-06
6797,12,11,126088.066667,2017-05-07
6567,19,8,132986.75,2017-05-08
6834,8,11,142826.05,2017-05-09
6168,27,5,123785.333333,2017-05-10
5252,7,6,108783.766667,2017-05-11
5255,14,8,98147.4666667,2017-05-12
4962,16,3,90879.2166667,2017-05-13
4380,9,5,83572.9333333,2017-05-14
4368,5,4,93324.1666667,2017-05-15
5501,8,12,116537.683333,2017-05-16
5032,16,8,102234.383333,2017-05-17
4262,10,6,87019.1,2017-05-18
4637,11,2,91844.8666667,2017-05-19
4408,3,4,83310.3333333,2017-05-20
4154,10,6,81859.7666667,2017-05-21
3993,9,2,79606.5666667,2017-05-22
