dailyViewcount,numShare,numSubscriber,watchTime,date
193180,4191,60,487090.9,2016-09-08
321160,4929,173,763765.883333,2016-09-09
322540,4117,145,710406.3,2016-09-10
282889,3585,152,590933.066667,2016-09-11
256315,3131,138,574464.416667,2016-09-12
247631,2851,105,573381.333333,2016-09-13
235518,2818,74,555573.25,2016-09-14
223844,2433,88,534382.233333,2016-09-15
234171,2356,65,557047.6,2016-09-16
231715,2263,53,545401.483333,2016-09-17
184246,2181,34,440132.466667,2016-09-18
182259,2094,63,449433.666667,2016-09-19
183552,1977,52,451956.783333,2016-09-20
180751,1814,42,444979.15,2016-09-21
165544,1806,39,426908.833333,2016-09-22
179228,1917,41,464201.383333,2016-09-23
171262,1763,17,445609.533333,2016-09-24
145576,1795,27,376168.816667,2016-09-25
138013,1824,28,366480.933333,2016-09-26
137723,1655,32,368501.2,2016-09-27
139915,1741,40,372449.166667,2016-09-28
133756,1615,24,367358.483333,2016-09-29
147928,1607,31,406520.45,2016-09-30
147961,1604,18,395992.316667,2016-10-01
126653,1638,24,337667.95,2016-10-02
128826,1625,19,352293.083333,2016-10-03
135293,1713,28,368558.9,2016-10-04
145187,1703,23,390492.683333,2016-10-05
140608,1431,25,387201.666667,2016-10-06
159170,1388,19,439283.05,2016-10-07
144962,1330,16,397487.75,2016-10-08
125595,1183,25,341542.65,2016-10-09
126134,1324,20,352674.683333,2016-10-10
127549,1323,17,357910.15,2016-10-11
130516,1294,20,362591.3,2016-10-12
133782,1273,17,373448.4,2016-10-13
145940,1339,17,407813.016667,2016-10-14
148895,1217,29,412634.433333,2016-10-15
126250,1273,15,347165.616667,2016-10-16
126515,1250,21,354267.683333,2016-10-17
124653,1224,15,352480.016667,2016-10-18
126279,1151,25,354397.7,2016-10-19
131792,1216,29,373285.133333,2016-10-20
143625,1163,23,407208.266667,2016-10-21
138940,1067,11,390897.7,2016-10-22
115880,1094,16,324572.9,2016-10-23
118222,1115,26,334792.6,2016-10-24
120076,1183,23,339903.85,2016-10-25
119969,1147,15,340770.4,2016-10-26
131075,1298,28,367909.8,2016-10-27
143502,1152,17,405371.883333,2016-10-28
142659,1130,20,398574.983333,2016-10-29
120458,1110,15,331499.416667,2016-10-30
120314,996,10,342055.816667,2016-10-31
126154,1198,19,355715.816667,2016-11-01
124022,1179,24,350689.616667,2016-11-02
124477,1182,17,354125.85,2016-11-03
135827,1141,11,386065.866667,2016-11-04
135377,1140,13,378575.716667,2016-11-05
116958,1101,13,324754.733333,2016-11-06
116071,1072,12,330157.433333,2016-11-07
112144,1055,11,318696.133333,2016-11-08
111391,998,23,315030.566667,2016-11-09
121523,1012,12,346551.0,2016-11-10
134308,1078,16,377494.666667,2016-11-11
132252,1012,19,368889.133333,2016-11-12
109739,1027,16,302821.766667,2016-11-13
107717,978,10,305072.7,2016-11-14
109614,1029,16,311152.75,2016-11-15
112103,1083,6,319134.133333,2016-11-16
117048,1084,10,333642.35,2016-11-17
128803,1025,16,364586.683333,2016-11-18
124189,1057,11,345068.9,2016-11-19
99882,1030,12,278341.866667,2016-11-20
102166,973,11,290033.05,2016-11-21
107578,1072,7,306718.433333,2016-11-22
134557,1094,14,383779.8,2016-11-23
130408,1021,14,366909.75,2016-11-24
114538,1012,7,321682.533333,2016-11-25
113748,1043,8,318682.333333,2016-11-26
95190,992,12,267608.483333,2016-11-27
99548,1010,13,284418.05,2016-11-28
103655,1052,21,296843.966667,2016-11-29
114227,1026,15,324086.883333,2016-11-30
119855,1074,18,341105.35,2016-12-01
116695,1061,19,332295.766667,2016-12-02
114124,1049,15,319250.883333,2016-12-03
97714,1043,6,270817.95,2016-12-04
97665,1059,9,278482.266667,2016-12-05
98103,1037,10,278823.633333,2016-12-06
108205,1064,10,308344.8,2016-12-07
107379,1070,20,306729.266667,2016-12-08
116193,1030,6,330983.033333,2016-12-09
117571,1040,11,330475.716667,2016-12-10
93166,951,11,260620.083333,2016-12-11
92797,947,13,265145.983333,2016-12-12
95456,972,12,274372.883333,2016-12-13
96716,973,7,277703.083333,2016-12-14
97920,924,13,280517.016667,2016-12-15
107778,917,9,309390.3,2016-12-16
108349,933,11,306887.533333,2016-12-17
95691,935,9,268454.133333,2016-12-18
103056,907,10,292247.666667,2016-12-19
106968,945,16,307148.85,2016-12-20
107394,1046,14,310737.45,2016-12-21
108083,994,11,312351.5,2016-12-22
115782,985,12,334690.583333,2016-12-23
112053,871,9,323423.083333,2016-12-24
100804,886,5,281593.933333,2016-12-25
92131,910,9,259522.266667,2016-12-26
94271,1010,17,269869.383333,2016-12-27
99253,928,6,283832.95,2016-12-28
100580,909,13,285967.783333,2016-12-29
108528,948,8,310672.25,2016-12-30
123607,902,7,355536.033333,2016-12-31
91445,845,5,254609.833333,2017-01-01
91315,936,8,254274.333333,2017-01-02
92398,940,9,260321.05,2017-01-03
