dailyViewcount,numShare,numSubscriber,watchTime,date
948068,27720,2694,2253476.61667,2017-02-23
1102367,22099,2454,2700112.38333,2017-02-24
1122438,21313,1911,2829719.16667,2017-02-25
1758401,27800,2858,4483596.16667,2017-02-26
1799744,25391,2436,4614007.01667,2017-02-27
2222390,24709,2659,5766708.3,2017-02-28
2142246,23708,2182,5625406.21667,2017-03-01
1967909,20287,1789,5234925.9,2017-03-02
1772641,18086,1248,4613797.18333,2017-03-03
1764055,16540,1235,4622633.25,2017-03-04
1670438,16744,1097,4475165.76667,2017-03-05
1589444,13894,972,4335612.48333,2017-03-06
1481756,12514,752,4091090.53333,2017-03-07
1317791,12075,731,3660495.93333,2017-03-08
1306686,11728,757,3641169.01667,2017-03-09
1444739,12176,801,3958640.75,2017-03-10
1681416,13247,857,4573954.35,2017-03-11
1568298,13445,926,4343099.93333,2017-03-12
1428737,10670,658,4091138.76667,2017-03-13
1516686,10791,755,4313420.86667,2017-03-14
1512850,10919,733,4299772.01667,2017-03-15
1518723,10806,736,4308770.7,2017-03-16
1601920,11863,770,4463877.71667,2017-03-17
1728376,13097,855,4805836.05,2017-03-18
1550704,12577,736,4387030.5,2017-03-19
1491121,10731,579,4297829.46667,2017-03-20
1497890,10186,667,4315857.63333,2017-03-21
1505707,10381,594,4326174.51667,2017-03-22
1536784,10378,602,4405869.23333,2017-03-23
1577795,11057,717,4464696.61667,2017-03-24
1642784,12067,660,4621123.06667,2017-03-25
1508176,11688,557,4284042.9,2017-03-26
1477266,10237,603,4268162.11667,2017-03-27
1468700,9856,571,4234026.48333,2017-03-28
1537041,10003,577,4411150.61667,2017-03-29
1508991,10305,599,4308766.95,2017-03-30
1631017,10806,615,4568489.46667,2017-03-31
1615954,12517,599,4473351.26667,2017-04-01
1479297,12034,554,4116826.56667,2017-04-02
1473876,10198,584,4171331.15,2017-04-03
1502108,10241,560,4231646.23333,2017-04-04
1513452,10343,567,4278922.98333,2017-04-05
1597906,10678,542,4475809.28333,2017-04-06
1696995,11440,573,4694753.56667,2017-04-07
1768800,12013,621,4848581.93333,2017-04-08
1707754,11963,593,4703488.6,2017-04-09
1789562,11131,619,5000554.86667,2017-04-10
1818728,11376,644,5082399.71667,2017-04-11
1871125,11820,622,5186411.2,2017-04-12
1926217,12705,745,5295392.13333,2017-04-13
1906158,13492,722,5192390.68333,2017-04-14
1835158,14094,677,5015992.4,2017-04-15
1739702,12554,643,4766093.31667,2017-04-16
1888019,12914,690,5233523.88333,2017-04-17
2030705,14324,746,5511180.38333,2017-04-18
1980493,13474,741,5464045.01667,2017-04-19
1932106,12586,685,5410632.05,2017-04-20
1863587,13176,613,5148194.75,2017-04-21
1782452,13034,579,4901042.31667,2017-04-22
1699749,12608,554,4694782.53333,2017-04-23
1645675,11496,562,4604783.65,2017-04-24
1689144,11014,532,4732049.76667,2017-04-25
1752230,10924,561,4900399.11667,2017-04-26
1864074,11740,653,5187293.75,2017-04-27
1943017,12146,636,5338262.38333,2017-04-28
2060696,13149,623,5628781.45,2017-04-29
1897596,11774,578,5189947.63333,2017-04-30
1781540,11972,566,4947788.35,2017-05-01
1654104,10391,517,4628142.98333,2017-05-02
1645814,10012,493,4601210.81667,2017-05-03
1741041,10250,548,4877787.48333,2017-05-04
1728315,10189,513,4805465.46667,2017-05-05
1768555,11106,518,4890902.88333,2017-05-06
1646512,11146,509,4605872.26667,2017-05-07
1543968,9524,515,4362810.03333,2017-05-08
1525801,9133,479,4292176.01667,2017-05-09
1525184,9238,501,4286189.66667,2017-05-10
1415618,9279,451,3964388.41667,2017-05-11
1448433,9642,493,3973196.23333,2017-05-12
1481063,9976,468,4059116.78333,2017-05-13
1345820,9939,407,3705801.26667,2017-05-14
1315145,8436,432,3692714.6,2017-05-15
1317527,8099,366,3687891.98333,2017-05-16
1296472,8538,401,3627383.03333,2017-05-17
1296688,8590,412,3621011.73333,2017-05-18
1310781,8851,390,3607649.88333,2017-05-19
1368630,9791,438,3721763.08333,2017-05-20
1289174,9989,406,3524161.91667,2017-05-21
1325261,8295,381,3670145.5,2017-05-22
