dailyViewcount,numShare,numSubscriber,watchTime,date
235767,3734,557,659287.933333,2013-11-25
776524,5643,1138,1989867.48333,2013-11-26
868939,5157,1049,2347973.28333,2013-11-27
878255,4947,878,2425950.16667,2013-11-28
962564,5272,876,2767462.78333,2013-11-29
1164707,5895,1028,3318474.23333,2013-11-30
1072144,4803,808,3101657.81667,2013-12-01
995155,4573,797,2995180.98333,2013-12-02
1014927,4514,783,3059918.81667,2013-12-03
997848,4311,796,3062191.08333,2013-12-04
1059767,4616,779,3225771.26667,2013-12-05
1078156,4540,837,3288904.3,2013-12-06
1208149,4918,1031,3702710.76667,2013-12-07
1235210,5186,1147,3745399.8,2013-12-08
1286704,5433,1192,3965679.53333,2013-12-09
1438129,6231,1340,4449140.6,2013-12-10
1487448,6058,1456,4615567.06667,2013-12-11
1454840,5904,1271,4605439.7,2013-12-12
1505611,5814,1232,4683698.98333,2013-12-13
1815896,6768,1568,5583452.95,2013-12-14
1462159,5505,1201,4607964.11667,2013-12-15
1319089,5094,1203,4198350.43333,2013-12-16
1347215,5043,1158,4219775.18333,2013-12-17
1462882,5411,1257,4588482.86667,2013-12-18
1579862,5562,1220,4928752.2,2013-12-19
1497258,5229,1289,4735540.25,2013-12-20
1540781,5371,1213,4854520.7,2013-12-21
1397963,5011,1153,4376545.9,2013-12-22
1404705,4621,1155,4455576.68333,2013-12-23
1350950,3755,962,4128397.45,2013-12-24
1222635,3473,869,3581544.28333,2013-12-25
1269288,4479,1020,3879181.78333,2013-12-26
1321422,4728,1027,4070823.08333,2013-12-27
1389605,4987,1046,4211393.4,2013-12-28
1319151,4982,1024,3975290.08333,2013-12-29
1320547,4825,1037,4064379.41667,2013-12-30
1691122,4608,899,5067436.2,2013-12-31
1109397,3422,825,3340543.56667,2014-01-01
1298970,4601,967,4015688.4,2014-01-02
1388783,4701,1082,4201551.96667,2014-01-03
1414220,4932,1009,4243960.06667,2014-01-04
1317585,4621,993,3960927.4,2014-01-05
1395018,4810,1032,4216905.31667,2014-01-06
1447260,5038,1055,4273335.18333,2014-01-07
1574641,5199,1049,4457487.13333,2014-01-08
1619932,5423,1096,4569716.16667,2014-01-09
