dailyViewcount,numShare,numSubscriber,watchTime,date
255731,3448,0,593260.25,2017-01-19
283868,2708,0,680418.916667,2017-01-20
324798,2879,0,766541.766667,2017-01-21
331777,2981,0,803799.683333,2017-01-22
303525,2639,0,783168.016667,2017-01-23
312481,2531,0,810006.133333,2017-01-24
304943,2076,0,818250.666667,2017-01-25
358602,2121,0,961280.55,2017-01-26
323383,1893,0,888546.216667,2017-01-27
338864,1757,103,946087.4,2017-01-28
307658,1733,119,846542.15,2017-01-29
331257,1668,119,937922.8,2017-01-30
323433,1751,98,934108.616667,2017-01-31
317682,1470,84,929979.766667,2017-02-01
333778,1489,90,984052.866667,2017-02-02
370492,1481,84,1090923.41667,2017-02-03
344387,1319,69,1019532.3,2017-02-04
284445,1299,72,845657.533333,2017-02-05
285681,1394,57,859029.033333,2017-02-06
305368,1420,58,924685.083333,2017-02-07
302424,1321,70,916679.3,2017-02-08
296612,1315,66,900836.566667,2017-02-09
343986,1312,81,1055158.53333,2017-02-10
365766,1326,67,1111203.63333,2017-02-11
275924,1167,52,841274.816667,2017-02-12
253746,1074,59,798158.35,2017-02-13
260290,986,58,814848.016667,2017-02-14
254694,1139,63,785185.2,2017-02-15
269305,1082,70,832438.716667,2017-02-16
297378,1152,43,924514.45,2017-02-17
302660,1060,44,935724.883333,2017-02-18
267653,1051,48,824482.7,2017-02-19
248637,1062,42,775433.5,2017-02-20
242229,1055,47,758140.533333,2017-02-21
311646,1308,81,923096.166667,2017-02-22
277013,1109,44,871907.85,2017-02-23
306226,1058,59,969940.65,2017-02-24
314552,1097,47,979911.65,2017-02-25
261914,1140,34,811431.866667,2017-02-26
249689,1052,39,784077.816667,2017-02-27
270118,1282,60,849255.116667,2017-02-28
274056,1205,51,863571.433333,2017-03-01
294579,1204,53,931756.933333,2017-03-02
338815,1241,61,1076860.98333,2017-03-03
337254,1231,47,1062204.76667,2017-03-04
283021,1211,49,886075.233333,2017-03-05
275189,1130,51,878313.266667,2017-03-06
275226,1196,45,874546.35,2017-03-07
277258,1176,43,884368.116667,2017-03-08
284587,1178,54,904647.9,2017-03-09
302795,1220,53,959495.933333,2017-03-10
308830,1168,44,965753.433333,2017-03-11
263602,1125,40,818219.733333,2017-03-12
263118,1199,47,827372.416667,2017-03-13
279416,1156,59,877302.483333,2017-03-14
257730,1150,32,821323.066667,2017-03-15
267794,1131,38,856622.283333,2017-03-16
303571,1122,39,975356.633333,2017-03-17
316000,1125,37,1001371.03333,2017-03-18
279775,1173,36,882107.566667,2017-03-19
262350,1089,34,840408.0,2017-03-20
264982,1140,53,846740.016667,2017-03-21
289178,1143,45,922036.483333,2017-03-22
320895,1181,44,1026272.33333,2017-03-23
370079,1239,34,1184691.78333,2017-03-24
400458,1222,40,1241856.48333,2017-03-25
339025,1256,32,1041339.7,2017-03-26
344309,1222,38,1070296.21667,2017-03-27
351899,1282,57,1121608.15,2017-03-28
387823,1286,44,1218608.58333,2017-03-29
385826,1300,41,1225923.26667,2017-03-30
436205,1303,56,1375503.98333,2017-03-31
455535,1271,49,1426381.61667,2017-04-01
366836,1234,34,1140791.61667,2017-04-02
335981,1256,40,1058071.68333,2017-04-03
332172,1158,34,1050846.53333,2017-04-04
327060,1135,45,1026647.75,2017-04-05
334820,1222,38,1045853.66667,2017-04-06
381795,1210,25,1203772.03333,2017-04-07
516197,1227,47,1623421.55,2017-04-08
371058,1095,33,1169463.28333,2017-04-09
339742,1079,46,1071996.98333,2017-04-10
343686,1100,28,1087726.31667,2017-04-11
331093,1110,33,1048465.25,2017-04-12
350964,1159,34,1105444.3,2017-04-13
415666,1257,40,1304286.43333,2017-04-14
422716,1214,45,1317658.45,2017-04-15
356576,1063,38,1115625.5,2017-04-16
310965,1100,37,979523.716667,2017-04-17
318746,1086,39,1010364.35,2017-04-18
301358,1007,36,953428.9,2017-04-19
323258,1111,46,1028014.51667,2017-04-20
341113,1185,28,1078390.85,2017-04-21
331030,1128,29,1040988.51667,2017-04-22
271723,990,29,851234.216667,2017-04-23
252487,918,17,801917.716667,2017-04-24
259722,980,20,824733.616667,2017-04-25
299146,1028,30,946012.533333,2017-04-26
320923,1048,39,1015827.61667,2017-04-27
343337,1088,40,1085892.65,2017-04-28
334636,1034,21,1052105.9,2017-04-29
269129,897,26,838591.383333,2017-04-30
269345,993,31,834938.45,2017-05-01
274831,1003,31,857425.383333,2017-05-02
279323,981,25,883287.966667,2017-05-03
309606,967,39,977505.85,2017-05-04
344584,981,29,1099902.08333,2017-05-05
341583,971,33,1087302.5,2017-05-06
263755,936,33,832846.466667,2017-05-07
258154,959,26,807976.966667,2017-05-08
260707,918,48,817650.166667,2017-05-09
265320,850,29,833770.583333,2017-05-10
243672,862,28,766420.1,2017-05-11
265735,943,32,827489.15,2017-05-12
270008,947,20,835447.533333,2017-05-13
249370,827,24,765073.483333,2017-05-14
219351,890,26,679411.4,2017-05-15
229648,913,30,710706.35,2017-05-16
234770,941,25,732550.583333,2017-05-17
259523,877,23,817110.633333,2017-05-18
284637,950,22,896708.633333,2017-05-19
293003,998,25,910162.366667,2017-05-20
228711,857,25,714279.066667,2017-05-21
235059,820,26,728931.35,2017-05-22
