dailyViewcount,numShare,numSubscriber,watchTime,date
291189,1813,707,876745.05,2014-05-21
1343991,6175,2122,3894067.08333,2014-05-22
1557921,4527,1545,4369193.05,2014-05-23
1488669,3451,1337,4239190.4,2014-05-24
1394537,3527,1171,3983454.43333,2014-05-25
1583906,4541,1667,4513903.1,2014-05-26
1490523,4356,1547,4362156.1,2014-05-27
1561802,4517,1804,4699513.81667,2014-05-28
1596751,4562,1655,4834016.21667,2014-05-29
1659694,4455,1668,5061266.91667,2014-05-30
1733321,4324,1693,5267891.43333,2014-05-31
1596185,4014,1643,4894610.41667,2014-06-01
1594962,4494,1716,4922122.83333,2014-06-02
1872395,5403,2246,5784389.65,2014-06-03
2181632,6226,2484,6813360.9,2014-06-04
2168756,5926,2291,6762561.96667,2014-06-05
2280364,5683,2314,7127198.51667,2014-06-06
2308784,5406,2296,7175208.7,2014-06-07
2092803,5055,1974,6446835.9,2014-06-08
2195048,5650,2158,6751539.38333,2014-06-09
2168051,5785,2063,6682386.25,2014-06-10
2390610,5934,2247,7398969.46667,2014-06-11
2378331,5707,2260,7351138.03333,2014-06-12
2495268,5670,2237,7615097.18333,2014-06-13
2499634,5545,2108,7623120.03333,2014-06-14
2283133,5263,1924,6931290.11667,2014-06-15
2308397,5689,2167,7120034.95,2014-06-16
2428005,5915,2189,7476440.26667,2014-06-17
2462429,6033,2228,7601191.41667,2014-06-18
2558950,6078,2204,7854310.3,2014-06-19
2835380,6081,2412,8625489.38333,2014-06-20
2781445,6060,2153,8371664.41667,2014-06-21
2546146,5879,2087,7653494.13333,2014-06-22
2617535,6287,2208,7969970.76667,2014-06-23
2615651,6276,2236,7981035.3,2014-06-24
2725298,6273,2273,8288386.93333,2014-06-25
2789388,6212,2178,8501079.58333,2014-06-26
2897748,6322,2294,8804218.11667,2014-06-27
2747012,5625,2007,8268655.56667,2014-06-28
2503761,5491,1873,7484987.35,2014-06-29
2632928,5893,2071,7996878.96667,2014-06-30
2608883,6066,2150,7936996.55,2014-07-01
2702700,6240,2156,8194820.31667,2014-07-02
2735810,6211,2170,8249276.78333,2014-07-03
2713849,5798,2051,8113587.76667,2014-07-04
2682196,5723,1905,7968519.56667,2014-07-05
2500693,5829,1948,7388521.16667,2014-07-06
2663245,6486,2231,8009253.81667,2014-07-07
2549898,5731,1956,7633246.35,2014-07-08
2174253,4920,1735,6503216.03333,2014-07-09
2269042,5231,1726,6810598.4,2014-07-10
2452187,5532,1963,7324424.35,2014-07-11
2515173,5204,1676,7444551.55,2014-07-12
2122810,4532,1549,6249290.0,2014-07-13
2380468,5404,1937,7145709.91667,2014-07-14
2383943,5285,1787,7116494.88333,2014-07-15
2365041,5213,1854,7053578.83333,2014-07-16
2359943,5363,1876,7037930.95,2014-07-17
2489785,5343,1848,7387370.46667,2014-07-18
2466138,4964,1705,7262806.58333,2014-07-19
2192260,4777,1556,6387371.15,2014-07-20
2407021,5636,1933,7095489.58333,2014-07-21
2384790,5183,1821,7068785.88333,2014-07-22
2336292,5076,1641,6928718.55,2014-07-23
2342629,5008,1676,6904995.55,2014-07-24
2450220,5343,1668,7197017.43333,2014-07-25
2417564,5038,1556,7049484.5,2014-07-26
2033470,4635,1373,5885876.18333,2014-07-27
2231011,4725,1493,6530846.55,2014-07-28
2204145,4610,1592,6416304.23333,2014-07-29
2249426,4705,1590,6557331.06667,2014-07-30
2271428,4617,1519,6629958.4,2014-07-31
2476181,4832,1629,7213277.1,2014-08-01
2520302,4771,1574,7303137.81667,2014-08-02
2184584,4587,1577,6278237.36667,2014-08-03
2297447,5271,1728,6704383.98333,2014-08-04
2344906,4965,1772,6830962.76667,2014-08-05
2263834,4666,1613,6601642.36667,2014-08-06
2329195,4577,1640,6796792.11667,2014-08-07
2507694,4892,1859,7313367.08333,2014-08-08
2594079,4775,1793,7539947.01667,2014-08-09
2266775,4273,1585,6489950.78333,2014-08-10
2355404,4687,1642,6845074.91667,2014-08-11
2315893,4827,1637,6723286.71667,2014-08-12
2317394,4760,1639,6712928.08333,2014-08-13
2354663,4814,1571,6827820.95,2014-08-14
2515090,4918,1647,7255012.98333,2014-08-15
2547791,5102,1725,7332945.16667,2014-08-16
2305634,5020,1568,6551793.91667,2014-08-17
2259410,4970,1563,6541585.66667,2014-08-18
2260125,5080,1621,6553918.06667,2014-08-19
2315222,5330,1537,6723516.03333,2014-08-20
2280055,5353,1520,6633946.76667,2014-08-21
2481186,4645,1708,7175536.95,2014-08-22
2692043,5605,1764,7745113.43333,2014-08-23
2327118,5328,1545,6601364.78333,2014-08-24
2168680,5465,1645,6241540.5,2014-08-25
2287372,5607,1604,6633109.75,2014-08-26
2284058,5205,1599,6628399.55,2014-08-27
