dailyViewcount,numShare,numSubscriber,watchTime,date
1108086,9519,2210,4466829.9,2013-04-01
1653511,5273,2043,5853352.53333,2013-04-02
1589978,3664,1847,5252524.83333,2013-04-03
1050516,2523,1183,3611256.4,2013-04-04
881067,2419,1216,3140259.4,2013-04-05
1025602,2557,1477,3586808.88333,2013-04-06
923752,2319,1301,3275081.86667,2013-04-07
434557,1208,521,1717426.51667,2013-04-08
348244,1041,425,1396908.95,2013-04-09
340901,925,390,1355084.93333,2013-04-10
323694,934,399,1287017.43333,2013-04-11
265681,805,297,1101831.51667,2013-04-12
277681,677,323,1130437.2,2013-04-13
232813,650,279,949493.283333,2013-04-14
203647,539,241,831395.216667,2013-04-15
200579,539,268,818099.316667,2013-04-16
199997,544,227,817074.2,2013-04-17
197162,564,208,808641.8,2013-04-18
207818,512,232,847606.716667,2013-04-19
219236,497,281,904995.05,2013-04-20
195969,442,220,794161.35,2013-04-21
177612,510,203,717717.4,2013-04-22
206423,520,237,818534.0,2013-04-23
189564,446,194,773416.483333,2013-04-24
201220,484,284,817381.666667,2013-04-25
208145,483,268,845251.05,2013-04-26
230101,550,271,935095.083333,2013-04-27
204392,477,247,822811.033333,2013-04-28
185015,490,222,743490.95,2013-04-29
197072,524,256,789157.466667,2013-04-30
196479,510,258,779088.233333,2013-05-01
181962,478,200,731807.116667,2013-05-02
189433,434,202,753168.2,2013-05-03
210493,391,220,836408.733333,2013-05-04
191609,409,213,756631.6,2013-05-05
173814,386,192,691850.383333,2013-05-06
178131,407,194,699357.866667,2013-05-07
171030,417,180,686310.4,2013-05-08
172981,401,170,704512.3,2013-05-09
177873,367,181,712080.416667,2013-05-10
185972,349,190,737751.366667,2013-05-11
178875,363,174,703114.15,2013-05-12
159753,355,144,634264.633333,2013-05-13
161004,364,145,640153.5,2013-05-14
160726,346,173,646641.133333,2013-05-15
159114,349,160,638518.266667,2013-05-16
163883,325,129,652120.233333,2013-05-17
180424,340,164,723070.266667,2013-05-18
166166,332,183,664638.816667,2013-05-19
166020,404,167,665045.366667,2013-05-20
