dailyViewcount,numShare,numSubscriber,watchTime,date
587270,24602,421,2072994.31667,2016-09-22
3696223,102377,2785,11881289.9,2016-09-23
3457211,69965,2406,10886061.0167,2016-09-24
2440347,46869,1854,7776891.45,2016-09-25
1982260,36682,1400,6629196.03333,2016-09-26
1901044,35923,1256,6444208.91667,2016-09-27
1879119,33246,1117,6418524.35,2016-09-28
2161575,31217,946,7427211.63333,2016-09-29
2290567,30527,932,7786771.01667,2016-09-30
2388391,27818,906,8152227.41667,2016-10-01
1892477,24651,817,6348294.16667,2016-10-02
1967354,23819,739,6801569.15,2016-10-03
2185609,25579,809,7496636.36667,2016-10-04
2099154,25643,829,7296087.15,2016-10-05
2133302,27502,709,7495746.36667,2016-10-06
2227279,28802,711,7904196.38333,2016-10-07
2755120,29337,806,9585100.33333,2016-10-08
2272439,26242,691,7787054.0,2016-10-09
2203388,24340,699,7670873.91667,2016-10-10
2114824,24406,664,7450646.51667,2016-10-11
2279244,25349,749,8047637.11667,2016-10-12
2216126,24066,680,7905173.1,2016-10-13
2701809,27211,832,9512343.78333,2016-10-14
2903581,27943,791,10155929.3667,2016-10-15
2214832,24817,610,7680064.86667,2016-10-16
2026573,22816,583,7235477.48333,2016-10-17
2273256,23127,649,8026726.51667,2016-10-18
2239447,23062,591,7927547.75,2016-10-19
2381933,24067,608,8456296.08333,2016-10-20
2601275,25098,616,9289219.35,2016-10-21
3060472,27775,685,10805989.1167,2016-10-22
2351847,24037,549,8176312.13333,2016-10-23
2180345,21898,549,7732684.21667,2016-10-24
2223708,22452,541,7866506.8,2016-10-25
2422954,23989,592,8616263.66667,2016-10-26
2456329,23045,546,8730616.78333,2016-10-27
2916209,26639,710,10319717.8667,2016-10-28
3566093,27726,799,12589285.6833,2016-10-29
2812367,25407,648,9780311.48333,2016-10-30
2848637,23501,643,10050792.6167,2016-10-31
2919689,24973,699,10136213.9333,2016-11-01
2971422,24119,640,10359719.9667,2016-11-02
2873957,24292,601,10168744.9333,2016-11-03
3020765,25153,620,10736717.6333,2016-11-04
3441270,26448,671,12162310.6167,2016-11-05
2823004,24657,589,9774329.0,2016-11-06
2576215,21179,566,9142619.5,2016-11-07
2631255,20822,552,9346377.51667,2016-11-08
2693655,21739,551,9541833.35,2016-11-09
2801969,22694,565,9902726.53333,2016-11-10
3050137,25217,573,10730613.3833,2016-11-11
3606570,27533,661,12566573.15,2016-11-12
2729221,25185,554,9310539.2,2016-11-13
2878195,23550,513,10014037.85,2016-11-14
2883514,22459,564,10089747.7167,2016-11-15
2981867,23016,617,10455683.35,2016-11-16
3145838,24256,644,11056880.5833,2016-11-17
3598331,26248,699,12619598.2333,2016-11-18
4159264,28252,734,14515711.2333,2016-11-19
3237022,25563,682,11046072.7833,2016-11-20
3038266,22843,547,10563471.7333,2016-11-21
3153674,22914,594,11007666.3,2016-11-22
3316361,22823,615,11573823.1,2016-11-23
3455610,23795,596,12052505.6167,2016-11-24
3808423,25311,671,13185873.3,2016-11-25
4358706,28412,774,14926067.3333,2016-11-26
3757883,26836,689,12714201.6167,2016-11-27
3648731,23707,645,12554976.0833,2016-11-28
3596622,22572,626,12417057.5667,2016-11-29
3860343,23991,612,13383072.0,2016-11-30
4079483,25459,674,14145448.1,2016-12-01
4469674,27322,761,15412008.3333,2016-12-02
4798709,28112,808,16420126.3333,2016-12-03
3842898,26465,656,12992848.1,2016-12-04
3741332,23413,638,12959465.4167,2016-12-05
4081039,24962,688,14189739.7667,2016-12-06
4627474,24025,771,16051056.8667,2016-12-07
4780740,22921,755,16578206.1167,2016-12-08
4574042,22269,694,15828995.1,2016-12-09
5020895,27970,783,17251306.8333,2016-12-10
3979501,25238,614,13500955.85,2016-12-11
3983713,22803,639,13771274.6667,2016-12-12
4048196,23301,631,14031245.6833,2016-12-13
4283586,23893,638,14792899.95,2016-12-14
4465788,23439,627,15399857.5833,2016-12-15
4674281,24823,661,16145617.9667,2016-12-16
5102328,26820,669,17515890.95,2016-12-17
3867287,24577,568,12988465.7167,2016-12-18
4015763,23287,642,13796902.2833,2016-12-19
4091005,23482,588,14075782.3667,2016-12-20
4345893,23893,553,14955220.0333,2016-12-21
4398271,23817,618,15114549.7,2016-12-22
4863345,26048,584,16770198.75,2016-12-23
6737404,27638,578,23534640.6167,2016-12-24
3570381,28132,395,11615252.8,2016-12-25
4159950,29087,543,14017742.6167,2016-12-26
4316607,29096,637,14650864.5,2016-12-27
4281160,27540,605,14664507.8333,2016-12-28
4315506,28130,554,14782993.1333,2016-12-29
4794859,28885,545,16420825.75,2016-12-30
