dailyViewcount,numShare,numSubscriber,watchTime,date
22458,492,28,67266.4166667,2015-09-25
27736,378,36,87191.3666667,2015-09-26
35865,525,38,111231.916667,2015-09-27
50536,640,52,165831.733333,2015-09-28
57916,809,57,190211.583333,2015-09-29
62600,693,62,202279.266667,2015-09-30
65652,728,50,210403.7,2015-10-01
59683,614,37,185711.2,2015-10-02
59505,643,40,180814.233333,2015-10-03
89856,799,57,215597.15,2015-10-04
84550,839,52,232637.65,2015-10-05
79866,739,47,236521.25,2015-10-06
82654,687,44,249162.083333,2015-10-07
81261,617,35,249730.483333,2015-10-08
78426,610,29,238844.033333,2015-10-09
79268,528,34,232439.166667,2015-10-10
82063,630,35,248568.383333,2015-10-11
94608,734,37,297516.333333,2015-10-12
98757,819,46,318819.0,2015-10-13
104012,787,49,335247.666667,2015-10-14
106420,756,53,344103.783333,2015-10-15
106161,685,53,338475.033333,2015-10-16
102184,687,32,314735.366667,2015-10-17
107099,840,46,329275.333333,2015-10-18
115751,858,38,366960.166667,2015-10-19
114361,726,48,360580.633333,2015-10-20
114927,830,42,357894.016667,2015-10-21
125161,795,69,386416.733333,2015-10-22
126255,774,26,384370.75,2015-10-23
134059,863,62,396447.7,2015-10-24
139293,928,75,413224.016667,2015-10-25
160742,1203,70,490355.65,2015-10-26
165784,1189,73,511061.983333,2015-10-27
167087,990,68,506572.333333,2015-10-28
157525,1081,69,477583.116667,2015-10-29
154803,889,61,465335.516667,2015-10-30
151109,811,50,444781.9,2015-10-31
171016,1188,69,499508.316667,2015-11-01
187198,1199,82,561392.766667,2015-11-02
187144,1226,69,561652.566667,2015-11-03
201089,1276,68,601679.816667,2015-11-04
209552,1202,74,624830.733333,2015-11-05
205543,1158,61,610284.583333,2015-11-06
201142,1225,73,590862.45,2015-11-07
217755,1518,84,635646.666667,2015-11-08
237833,1544,90,715430.483333,2015-11-09
238598,1521,75,715388.983333,2015-11-10
236831,1460,72,706942.7,2015-11-11
244548,1600,79,725836.566667,2015-11-12
236771,1262,77,696763.7,2015-11-13
236493,1267,43,681843.533333,2015-11-14
220335,1413,67,642540.783333,2015-11-15
229036,1424,71,693339.5,2015-11-16
217369,1324,73,655388.3,2015-11-17
225835,1422,61,674338.65,2015-11-18
232817,1420,60,694569.95,2015-11-19
