dailyViewcount,numShare,numSubscriber,watchTime,date
6845,22,12,23379.6333333,2014-08-07
6227,10,1,18437.7,2014-08-08
3630,4,1,9975.41666667,2014-08-09
2668,4,-1,8248.35,2014-08-10
2220,5,0,7185.26666667,2014-08-11
2161,8,3,7134.86666667,2014-08-12
2063,2,1,6944.0,2014-08-13
1931,4,1,6468.5,2014-08-14
1952,5,0,6220.46666667,2014-08-15
1970,3,0,6466.9,2014-08-16
1890,6,0,6209.08333333,2014-08-17
1909,1,1,6159.2,2014-08-18
1874,2,1,6242.63333333,2014-08-19
1697,2,0,5239.05,2014-08-20
1722,6,0,5743.18333333,2014-08-21
1994,2,1,6302.08333333,2014-08-22
1737,2,0,5513.31666667,2014-08-23
1698,1,2,5483.15,2014-08-24
1674,1,0,5280.03333333,2014-08-25
1660,2,1,5270.61666667,2014-08-26
1933,2,2,5960.68333333,2014-08-27
1891,2,2,6060.76666667,2014-08-28
2186,1,2,6736.03333333,2014-08-29
2015,0,1,6434.0,2014-08-30
1958,4,1,6352.91666667,2014-08-31
2004,1,0,6710.45,2014-09-01
1896,3,1,6372.11666667,2014-09-02
1860,0,4,6445.23333333,2014-09-03
1847,1,1,6202.88333333,2014-09-04
2101,1,0,7246.71666667,2014-09-05
2471,0,1,8218.78333333,2014-09-06
2070,0,1,7035.06666667,2014-09-07
1897,1,2,6659.6,2014-09-08
1868,2,3,6504.91666667,2014-09-09
1991,0,1,7032.33333333,2014-09-10
2098,0,1,7610.91666667,2014-09-11
2368,1,1,8311.51666667,2014-09-12
2651,0,1,9402.48333333,2014-09-13
2382,2,0,8506.81666667,2014-09-14
2288,3,0,8261.73333333,2014-09-15
2257,1,0,8144.86666667,2014-09-16
2255,0,1,7642.88333333,2014-09-17
2278,0,0,7717.9,2014-09-18
2529,1,2,8460.8,2014-09-19
3036,1,0,10203.6333333,2014-09-20
2698,0,1,9492.31666667,2014-09-21
2669,1,0,9369.53333333,2014-09-22
2570,1,1,9052.03333333,2014-09-23
2901,2,2,9954.73333333,2014-09-24
3878,1,1,13219.15,2014-09-25
3890,4,1,13541.25,2014-09-26
3954,1,1,14107.2833333,2014-09-27
3580,0,1,12348.6833333,2014-09-28
3366,2,0,12163.95,2014-09-29
3262,0,0,11104.0833333,2014-09-30
3096,2,1,10845.5833333,2014-10-01
3245,3,1,10804.2666667,2014-10-02
3621,0,2,12351.65,2014-10-03
3771,3,0,12500.1833333,2014-10-04
3192,4,1,10846.75,2014-10-05
3179,2,1,11364.7833333,2014-10-06
3037,2,0,10969.35,2014-10-07
3182,0,1,11248.55,2014-10-08
3327,3,1,11277.0666667,2014-10-09
3681,0,0,12251.15,2014-10-10
3924,1,0,12901.3833333,2014-10-11
3568,3,1,12141.65,2014-10-12
3616,0,0,13046.1833333,2014-10-13
3233,5,1,11136.0333333,2014-10-14
3303,1,1,11642.3833333,2014-10-15
4666,7,1,16388.3833333,2014-10-16
6768,6,2,25475.5166667,2014-10-17
6644,4,1,24347.1833333,2014-10-18
5713,9,0,21568.0666667,2014-10-19
5534,3,1,20408.9833333,2014-10-20
5191,0,1,18730.0833333,2014-10-21
5073,0,2,17845.4166667,2014-10-22
5244,4,2,18722.0666667,2014-10-23
5939,1,1,21121.5333333,2014-10-24
6526,2,1,22950.5833333,2014-10-25
6290,2,4,22308.3833333,2014-10-26
6804,4,2,24862.3666667,2014-10-27
6705,7,1,25219.6333333,2014-10-28
7353,2,0,27006.7,2014-10-29
7465,5,1,28651.5333333,2014-10-30
8161,3,0,30306.4333333,2014-10-31
8844,6,1,32172.1833333,2014-11-01
8496,2,1,30504.7,2014-11-02
8859,2,5,31448.5166667,2014-11-03
9687,7,3,35250.6166667,2014-11-04
10590,0,4,37264.9166667,2014-11-05
