dailyViewcount,numShare,numSubscriber,watchTime,date
44146,991,15,122722.866667,2016-10-28
26767,368,13,77774.4166667,2016-10-29
29164,412,16,79054.9166667,2016-10-30
68618,638,20,212188.6,2016-10-31
102417,824,14,313618.433333,2016-11-01
110858,912,34,337184.716667,2016-11-02
97383,741,31,299602.633333,2016-11-03
81454,541,16,256759.15,2016-11-04
68304,402,9,211242.45,2016-11-05
74296,497,8,233187.7,2016-11-06
89748,392,19,292119.266667,2016-11-07
86646,372,10,280636.666667,2016-11-08
73776,351,15,239200.283333,2016-11-09
68349,328,12,221447.7,2016-11-10
73292,394,13,234347.716667,2016-11-11
70308,362,6,224448.75,2016-11-12
56516,328,13,180540.083333,2016-11-13
57862,315,10,188018.416667,2016-11-14
55192,328,9,179907.4,2016-11-15
59596,282,8,194935.533333,2016-11-16
64850,281,6,211424.55,2016-11-17
64099,258,6,211000.033333,2016-11-18
59168,281,9,192537.033333,2016-11-19
51462,268,5,166997.733333,2016-11-20
55753,240,7,184908.8,2016-11-21
54724,234,5,184260.35,2016-11-22
58546,240,2,193150.283333,2016-11-23
52673,247,8,172355.483333,2016-11-24
50773,216,6,169359.9,2016-11-25
48588,192,2,160557.75,2016-11-26
35000,200,3,116024.583333,2016-11-27
37505,173,2,125059.033333,2016-11-28
37562,135,3,125337.966667,2016-11-29
41158,200,5,139546.55,2016-11-30
42402,188,3,143899.166667,2016-12-01
40832,177,3,137186.733333,2016-12-02
38303,153,4,126811.75,2016-12-03
32010,161,3,105373.95,2016-12-04
33458,170,0,110816.616667,2016-12-05
33517,130,6,112190.95,2016-12-06
29496,137,0,96768.6166667,2016-12-07
29307,112,2,96228.6,2016-12-08
31455,113,4,103790.65,2016-12-09
29893,128,2,97728.4666667,2016-12-10
25330,128,1,82142.7,2016-12-11
27152,124,4,90080.7333333,2016-12-12
27307,121,7,90492.7833333,2016-12-13
27052,105,3,90152.2833333,2016-12-14
27238,95,4,90696.55,2016-12-15
28209,106,4,92473.2333333,2016-12-16
25990,88,3,83749.85,2016-12-17
22224,107,3,72524.5,2016-12-18
26048,119,0,85881.7,2016-12-19
26032,119,2,86106.7166667,2016-12-20
29798,92,3,98081.6,2016-12-21
31733,109,6,103854.95,2016-12-22
34160,112,2,111845.516667,2016-12-23
31586,108,0,102000.683333,2016-12-24
21332,89,0,66484.0333333,2016-12-25
20923,94,3,67324.9666667,2016-12-26
21413,108,1,69335.25,2016-12-27
23106,95,2,74979.3166667,2016-12-28
23367,81,2,76430.1,2016-12-29
24567,94,0,80218.5,2016-12-30
26989,91,1,87697.7666667,2016-12-31
19478,70,2,61155.3666667,2017-01-01
21280,97,0,66681.9,2017-01-02
21172,97,2,67860.75,2017-01-03
