dailyViewcount,numShare,numSubscriber,watchTime,date
10645,68,4,33728.1833333,2015-11-12
17442,114,7,56369.95,2015-11-13
17309,127,12,61700.0666667,2015-11-14
25096,151,11,87390.5,2015-11-15
25786,167,13,86393.8666667,2015-11-16
26613,123,11,85589.1833333,2015-11-17
31495,175,6,98029.3,2015-11-18
35653,168,8,109054.25,2015-11-19
37962,170,8,114576.85,2015-11-20
38952,137,5,116171.433333,2015-11-21
35491,154,6,104579.316667,2015-11-22
35847,169,6,105188.416667,2015-11-23
37287,167,7,110908.266667,2015-11-24
40607,162,8,120895.166667,2015-11-25
42157,153,7,122838.666667,2015-11-26
39224,153,6,116321.5,2015-11-27
50650,258,11,149188.633333,2015-11-28
42034,185,3,124162.866667,2015-11-29
40909,173,8,121121.4,2015-11-30
44260,208,14,130233.633333,2015-12-01
43162,177,13,126912.616667,2015-12-02
45938,194,10,135651.433333,2015-12-03
51592,197,5,152201.116667,2015-12-04
55797,181,10,165367.15,2015-12-05
47547,180,7,142191.916667,2015-12-06
44793,180,9,134620.233333,2015-12-07
54441,235,10,164547.5,2015-12-08
59056,247,8,180396.166667,2015-12-09
57591,220,14,177057.383333,2015-12-10
62845,218,23,188462.416667,2015-12-11
66362,251,22,195747.95,2015-12-12
55262,201,12,163281.483333,2015-12-13
53569,217,9,160532.65,2015-12-14
56046,228,12,166482.883333,2015-12-15
63300,257,23,188078.283333,2015-12-16
77488,304,18,230101.333333,2015-12-17
79590,273,21,233828.733333,2015-12-18
66521,244,16,193902.6,2015-12-19
57146,186,14,161451.383333,2015-12-20
76978,263,29,218675.966667,2015-12-21
74658,222,23,217215.45,2015-12-22
83822,267,22,239757.383333,2015-12-23
98477,245,30,283450.6,2015-12-24
81115,239,17,228913.966667,2015-12-25
74153,199,18,212851.016667,2015-12-26
65957,197,19,191132.466667,2015-12-27
68705,239,15,198145.533333,2015-12-28
70031,230,19,202182.183333,2015-12-29
69101,222,11,203571.283333,2015-12-30
83364,193,12,235174.816667,2015-12-31
67326,177,17,186967.2,2016-01-01
62544,158,14,174780.95,2016-01-02
52951,172,8,146818.9,2016-01-03
53136,167,13,148101.233333,2016-01-04
51908,169,10,142856.683333,2016-01-05
51883,168,17,141302.3,2016-01-06
51691,183,17,141139.05,2016-01-07
57694,150,12,159476.05,2016-01-08
56698,174,7,152295.466667,2016-01-09
45763,150,11,122132.883333,2016-01-10
43753,183,14,115459.333333,2016-01-11
49278,157,15,130844.516667,2016-01-12
44609,130,7,117787.666667,2016-01-13
44110,148,3,118832.683333,2016-01-14
52606,178,16,138225.2,2016-01-15
58728,196,8,151540.9,2016-01-16
48846,158,7,125994.166667,2016-01-17
42011,152,8,110466.016667,2016-01-18
40070,126,16,105723.116667,2016-01-19
37858,111,10,99945.2833333,2016-01-20
37759,155,17,100961.333333,2016-01-21
44878,111,12,118550.916667,2016-01-22
48973,151,9,128033.266667,2016-01-23
42255,185,18,109523.166667,2016-01-24
