dailyViewcount,numShare,numSubscriber,watchTime,date
53984,496,250,216092.55,2013-05-14
130886,747,441,460517.3,2013-05-15
79366,408,195,290683.35,2013-05-16
120186,395,228,377175.366667,2013-05-17
155935,401,275,464745.816667,2013-05-18
143284,332,179,450783.666667,2013-05-19
67672,205,106,281269.716667,2013-05-20
78989,196,91,324226.25,2013-05-21
74753,145,63,313845.383333,2013-05-22
74372,137,77,315486.383333,2013-05-23
77372,156,65,324989.116667,2013-05-24
77521,161,58,316139.983333,2013-05-25
68490,117,59,277505.133333,2013-05-26
64671,107,45,270557.8,2013-05-27
66675,98,61,272863.783333,2013-05-28
69496,114,63,283979.35,2013-05-29
70766,118,53,287184.716667,2013-05-30
75967,116,52,305951.75,2013-05-31
74880,112,54,296905.066667,2013-06-01
68821,81,59,275614.3,2013-06-02
76087,107,53,310522.883333,2013-06-03
78446,124,51,325600.966667,2013-06-04
82486,119,58,343769.566667,2013-06-05
78736,132,51,335084.883333,2013-06-06
84173,135,45,351310.133333,2013-06-07
81728,94,39,346211.833333,2013-06-08
69911,115,38,292191.083333,2013-06-09
73758,121,54,308017.65,2013-06-10
71356,100,37,295742.483333,2013-06-11
73420,125,56,305071.766667,2013-06-12
72639,103,61,306243.166667,2013-06-13
75121,105,39,317197.633333,2013-06-14
74100,88,42,304379.5,2013-06-15
66667,76,46,272915.216667,2013-06-16
68735,101,42,282824.483333,2013-06-17
65762,86,45,270210.466667,2013-06-18
67985,96,37,281220.633333,2013-06-19
64100,84,27,265455.75,2013-06-20
71307,88,50,293780.383333,2013-06-21
66086,88,50,273401.433333,2013-06-22
69966,89,41,280245.383333,2013-06-23
67302,76,45,276367.15,2013-06-24
67385,107,40,276698.85,2013-06-25
69782,104,45,284505.266667,2013-06-26
68272,99,42,282294.3,2013-06-27
76419,101,45,312043.633333,2013-06-28
76018,98,38,305474.916667,2013-06-29
70566,104,50,278742.95,2013-06-30
83356,105,50,335087.566667,2013-07-01
79327,102,45,316665.116667,2013-07-02
82501,113,51,328040.0,2013-07-03
80352,98,41,312141.366667,2013-07-04
76831,100,49,300929.333333,2013-07-05
79523,111,43,307929.5,2013-07-06
73505,90,55,284527.216667,2013-07-07
80556,101,48,314177.666667,2013-07-08
78298,110,57,305361.15,2013-07-09
79274,98,48,305225.083333,2013-07-10
84765,136,67,304154.883333,2013-07-11
85999,125,58,309101.866667,2013-07-12
83810,84,44,290711.716667,2013-07-13
72506,94,45,252146.833333,2013-07-14
75532,92,51,267391.483333,2013-07-15
72722,94,40,257717.983333,2013-07-16
76417,83,40,269624.366667,2013-07-17
74673,78,48,271079.7,2013-07-18
77676,86,35,302409.183333,2013-07-19
79284,105,40,302187.883333,2013-07-20
72639,83,40,272223.316667,2013-07-21
75999,92,32,287755.3,2013-07-22
76337,80,40,284159.85,2013-07-23
