dailyViewcount,numShare,numSubscriber,watchTime,date
55352,236,34,87158.2833333,2017-02-18
40311,170,19,61452.4,2017-02-19
26960,121,22,40425.35,2017-02-20
26189,117,23,38467.85,2017-02-21
23038,113,25,35396.3166667,2017-02-22
20273,99,25,31642.1,2017-02-23
21286,111,12,31744.9833333,2017-02-24
6197,23,3,9855.83333333,2017-02-25
2186,3,1,3454.25,2017-02-26
2001,5,0,2919.95,2017-02-27
1949,4,0,2940.48333333,2017-02-28
1901,4,0,2988.98333333,2017-03-01
2149,5,0,3158.01666667,2017-03-02
2058,1,-1,3538.66666667,2017-03-03
1924,15,0,2952.56666667,2017-03-04
1370,7,0,2109.05,2017-03-05
1745,5,0,2640.11666667,2017-03-06
1563,6,0,2457.61666667,2017-03-07
1762,5,0,2887.15,2017-03-08
1576,3,0,2346.4,2017-03-09
1484,2,1,2441.58333333,2017-03-10
2236,4,1,3698.46666667,2017-03-11
3448,14,3,5749.3,2017-03-12
1840,9,0,2737.13333333,2017-03-13
1687,3,0,2302.26666667,2017-03-14
2556,6,1,3953.61666667,2017-03-15
1873,7,2,2558.15,2017-03-16
1958,13,0,2867.66666667,2017-03-17
1682,4,0,2401.23333333,2017-03-18
1194,8,1,1633.25,2017-03-19
2354,5,1,3447.08333333,2017-03-20
1900,7,0,2575.16666667,2017-03-21
1314,0,2,1743.26666667,2017-03-22
2324,4,0,3336.85,2017-03-23
2313,9,2,3240.76666667,2017-03-24
1780,11,0,2498.8,2017-03-25
1341,3,0,1853.16666667,2017-03-26
1434,3,0,1876.76666667,2017-03-27
2124,5,0,3028.33333333,2017-03-28
2431,3,1,3310.51666667,2017-03-29
1544,9,0,2156.4,2017-03-30
1783,9,0,2606.93333333,2017-03-31
1392,1,0,1978.43333333,2017-04-01
998,2,0,1400.96666667,2017-04-02
1029,2,0,1463.35,2017-04-03
1050,2,0,1425.68333333,2017-04-04
1778,3,0,2685.13333333,2017-04-05
4478,20,0,6727.66666667,2017-04-06
1767,9,2,2709.25,2017-04-07
1171,5,0,1800.96666667,2017-04-08
2028,7,0,3206.26666667,2017-04-09
5125,11,3,8389.45,2017-04-10
1836,7,1,2863.08333333,2017-04-11
972,4,0,1511.83333333,2017-04-12
1013,1,0,1539.68333333,2017-04-13
1195,2,0,1910.68333333,2017-04-14
756,6,0,1244.76666667,2017-04-15
24,0,0,16.35,2017-04-16
5,0,0,11.4333333333,2017-04-17
9,0,0,10.9166666667,2017-04-18
0,0,0,0.0,2017-04-19
0,0,0,0.0,2017-04-20
0,0,0,0.0,2017-04-21
2,0,0,9.4,2017-04-22
0,0,0,0.0,2017-04-23
0,0,0,0.0,2017-04-24
0,0,0,0.0,2017-04-25
0,0,0,0.0,2017-04-26
0,0,0,0.0,2017-04-27
0,0,0,0.0,2017-04-28
0,0,0,0.0,2017-04-29
0,0,0,0.0,2017-04-30
0,0,0,0.0,2017-05-01
0,0,0,0.0,2017-05-02
0,0,0,0.0,2017-05-03
0,0,0,0.0,2017-05-04
0,0,0,0.0,2017-05-05
1,0,0,3.81666666667,2017-05-06
0,0,0,0.0,2017-05-07
222,0,0,384.983333333,2017-05-08
234,0,0,403.8,2017-05-09
450,4,0,770.05,2017-05-10
659,5,1,1076.46666667,2017-05-11
869,3,0,1604.86666667,2017-05-12
769,5,0,1300.35,2017-05-13
1048,3,0,1649.53333333,2017-05-14
862,3,1,1318.55,2017-05-15
855,3,1,1213.66666667,2017-05-16
831,1,0,1177.71666667,2017-05-17
1098,6,0,1485.35,2017-05-18
907,2,0,1315.61666667,2017-05-19
708,1,0,1063.05,2017-05-20
553,4,0,820.183333333,2017-05-21
573,2,1,829.866666667,2017-05-22
