dailyViewcount,numShare,numSubscriber,watchTime,date
3302,696,2,21152.3,2016-12-29
14593,43,17,156451.266667,2016-12-30
5127,14,11,48279.2833333,2016-12-31
4962,8,7,56536.3666667,2017-01-01
6134,17,5,69151.8333333,2017-01-02
4862,12,7,55929.2,2017-01-03
9587,12,16,184083.7,2017-01-04
13578,28,14,302840.433333,2017-01-05
14339,27,15,262860.733333,2017-01-06
18330,35,25,275528.333333,2017-01-07
11151,10,16,196971.933333,2017-01-08
9747,15,10,198876.516667,2017-01-09
9752,10,10,189048.633333,2017-01-10
7166,11,6,133967.733333,2017-01-11
7135,3,10,129242.6,2017-01-12
8237,10,14,130746.516667,2017-01-13
6912,7,10,98061.3666667,2017-01-14
4954,4,8,76294.4166667,2017-01-15
4277,8,2,72570.45,2017-01-16
4464,9,0,85265.8,2017-01-17
4142,7,0,78264.5833333,2017-01-18
3365,7,0,62926.15,2017-01-19
3489,2,0,61446.6333333,2017-01-20
2960,5,0,45328.4666667,2017-01-21
2327,8,0,34984.4666667,2017-01-22
2512,3,0,45489.75,2017-01-23
2898,8,0,53733.7166667,2017-01-24
2800,6,0,51331.5,2017-01-25
2297,4,0,40839.8166667,2017-01-26
1842,5,0,30620.8333333,2017-01-27
1523,11,1,23739.4833333,2017-01-28
1261,1,0,21244.0833333,2017-01-29
1293,1,1,28416.6,2017-01-30
1154,2,0,23440.6166667,2017-01-31
1123,2,4,23539.2833333,2017-02-01
927,0,1,18838.6166667,2017-02-02
900,1,1,17429.9333333,2017-02-03
857,3,1,15001.8833333,2017-02-04
592,0,1,10714.8333333,2017-02-05
557,3,0,12497.1833333,2017-02-06
550,0,0,13064.05,2017-02-07
656,0,0,14671.3833333,2017-02-08
686,2,1,14202.7666667,2017-02-09
713,2,1,11402.35,2017-02-10
651,3,0,11121.6666667,2017-02-11
483,0,0,8295.75,2017-02-12
431,3,0,9491.48333333,2017-02-13
489,2,0,9271.16666667,2017-02-14
473,1,1,9656.31666667,2017-02-15
422,1,0,8712.95,2017-02-16
442,1,0,8923.18333333,2017-02-17
399,0,0,7269.73333333,2017-02-18
365,3,0,6611.51666667,2017-02-19
353,0,0,6248.6,2017-02-20
511,1,0,10487.25,2017-02-21
354,0,0,6573.4,2017-02-22
313,0,0,5759.78333333,2017-02-23
320,0,0,5968.86666667,2017-02-24
249,1,0,4215.16666667,2017-02-25
245,0,0,3593.26666667,2017-02-26
291,0,0,5228.75,2017-02-27
333,0,0,6623.23333333,2017-02-28
257,1,0,5774.7,2017-03-01
231,0,0,4520.25,2017-03-02
228,1,0,3728.86666667,2017-03-03
218,0,0,3779.98333333,2017-03-04
200,1,0,3461.71666667,2017-03-05
197,0,0,4400.26666667,2017-03-06
211,0,0,4818.96666667,2017-03-07
202,0,1,3989.11666667,2017-03-08
456,0,0,12523.9166667,2017-03-09
379,0,0,11175.9833333,2017-03-10
238,0,0,4357.03333333,2017-03-11
249,1,0,4413.86666667,2017-03-12
296,1,0,5729.21666667,2017-03-13
290,0,0,5324.7,2017-03-14
231,0,2,4354.4,2017-03-15
336,0,0,5765.16666667,2017-03-16
255,0,0,5335.26666667,2017-03-17
317,0,0,3888.41666667,2017-03-18
296,0,0,4072.33333333,2017-03-19
215,3,0,3979.01666667,2017-03-20
220,0,0,4004.81666667,2017-03-21
198,2,0,4277.01666667,2017-03-22
212,0,0,4354.63333333,2017-03-23
238,3,0,5386.08333333,2017-03-24
225,1,1,4435.45,2017-03-25
192,0,1,3038.0,2017-03-26
195,0,0,3442.9,2017-03-27
209,3,0,4468.45,2017-03-28
221,0,0,4917.63333333,2017-03-29
246,0,0,5272.13333333,2017-03-30
207,2,0,3675.15,2017-03-31
238,0,0,3784.25,2017-04-01
216,1,0,3410.58333333,2017-04-02
252,1,0,5227.41666667,2017-04-03
287,0,0,4677.35,2017-04-04
313,0,0,6050.83333333,2017-04-05
299,0,0,5891.35,2017-04-06
322,1,0,5566.81666667,2017-04-07
267,0,0,4578.56666667,2017-04-08
237,1,0,4443.63333333,2017-04-09
302,1,0,6298.58333333,2017-04-10
350,0,0,7962.0,2017-04-11
418,2,0,10242.5166667,2017-04-12
365,0,1,8210.83333333,2017-04-13
396,0,0,8201.36666667,2017-04-14
337,0,2,6256.21666667,2017-04-15
440,1,0,7821.21666667,2017-04-16
591,3,0,11393.9333333,2017-04-17
583,1,1,14297.2666667,2017-04-18
758,2,0,19373.1666667,2017-04-19
777,1,0,19003.6,2017-04-20
955,2,1,23228.65,2017-04-21
1087,1,0,23853.7666667,2017-04-22
991,2,0,20970.9333333,2017-04-23
1111,0,1,29060.6,2017-04-24
1523,2,0,36940.1666667,2017-04-25
1924,0,0,45704.65,2017-04-26
2040,5,0,50881.7,2017-04-27
2085,2,0,46167.8833333,2017-04-28
2500,2,0,49776.5833333,2017-04-29
2555,4,2,49496.65,2017-04-30
3040,2,3,59903.6166667,2017-05-01
2887,4,3,55482.85,2017-05-02
2813,5,2,56486.9333333,2017-05-03
6083,5,7,128584.083333,2017-05-04
2365,2,2,49650.0833333,2017-05-05
2143,1,3,36826.7,2017-05-06
2294,5,1,39417.0333333,2017-05-07
2176,3,4,46795.6833333,2017-05-08
1954,4,2,40518.8833333,2017-05-09
2199,3,2,41151.5833333,2017-05-10
3576,5,3,64524.6833333,2017-05-11
5718,5,4,115404.066667,2017-05-12
5935,8,4,102288.683333,2017-05-13
2469,4,1,44101.7666667,2017-05-14
5874,13,3,126906.3,2017-05-15
5721,1,5,130603.0,2017-05-16
2286,2,3,43515.55,2017-05-17
934,2,0,16835.05,2017-05-18
1036,0,0,19895.2,2017-05-19
1375,1,1,30327.8833333,2017-05-20
2178,8,1,59410.0333333,2017-05-21
1584,6,0,45552.4333333,2017-05-22
