dailyViewcount,numShare,numSubscriber,watchTime,date
21917,142,25,85753.45,2013-02-25
53315,140,28,181299.35,2013-02-26
42792,61,18,135993.116667,2013-02-27
34419,57,10,107226.35,2013-02-28
22575,22,13,72777.6,2013-03-01
24409,35,6,77737.9666667,2013-03-02
21162,23,18,67904.6166667,2013-03-03
16939,31,10,57831.9333333,2013-03-04
13690,16,7,47563.75,2013-03-05
12533,34,10,43235.25,2013-03-06
11988,25,9,41565.7666667,2013-03-07
13592,28,12,46624.45,2013-03-08
12343,24,6,42743.35,2013-03-09
9687,21,3,34289.9666667,2013-03-10
10295,14,7,34835.3333333,2013-03-11
10919,16,8,36797.1166667,2013-03-12
9030,21,5,30609.4666667,2013-03-13
10517,20,10,36248.45,2013-03-14
11299,19,7,38067.15,2013-03-15
12020,22,9,41556.2833333,2013-03-16
10774,18,15,35785.5333333,2013-03-17
10110,22,12,35414.1666667,2013-03-18
12098,18,14,44111.85,2013-03-19
12549,28,13,45689.9,2013-03-20
11602,22,22,42159.5666667,2013-03-21
13566,13,15,48177.2166667,2013-03-22
13775,27,9,49230.6,2013-03-23
13461,12,12,44381.7666667,2013-03-24
14534,26,20,52175.7833333,2013-03-25
14112,15,21,50853.7,2013-03-26
14334,27,17,51439.5666667,2013-03-27
16415,28,26,57621.9,2013-03-28
19529,28,23,67131.4333333,2013-03-29
17678,24,25,60811.15,2013-03-30
15609,22,14,53443.35,2013-03-31
14644,20,20,52241.1833333,2013-04-01
14725,14,23,51007.0833333,2013-04-02
15279,33,20,53431.55,2013-04-03
15928,25,19,54957.3,2013-04-04
17269,16,11,59643.0333333,2013-04-05
17202,30,28,59050.55,2013-04-06
14510,20,13,50355.4,2013-04-07
14839,22,15,51993.7666667,2013-04-08
16304,17,15,55557.9,2013-04-09
15028,29,18,52951.6,2013-04-10
14886,20,18,52795.5666667,2013-04-11
16192,30,16,56761.0,2013-04-12
16959,24,11,59005.2,2013-04-13
14786,24,15,50122.2333333,2013-04-14
15246,21,13,51696.3833333,2013-04-15
14153,16,18,49028.6833333,2013-04-16
14656,20,14,51482.55,2013-04-17
14930,13,15,50851.4,2013-04-18
15336,20,13,52762.8833333,2013-04-19
15074,17,10,50693.5333333,2013-04-20
12681,11,13,43691.0,2013-04-21
12253,8,11,42477.8833333,2013-04-22
12321,11,17,43260.3833333,2013-04-23
13006,19,12,44706.1166667,2013-04-24
13683,21,12,47586.7166667,2013-04-25
14502,15,15,49819.45,2013-04-26
15440,15,12,52342.1833333,2013-04-27
13037,11,9,44528.25,2013-04-28
12661,21,13,44856.3333333,2013-04-29
14172,14,6,47890.4333333,2013-04-30
16489,13,17,53870.35,2013-05-01
16588,26,14,54570.6333333,2013-05-02
18320,27,13,59752.7833333,2013-05-03
18364,32,12,60046.1833333,2013-05-04
15715,13,13,51246.4333333,2013-05-05
15876,22,13,52742.0833333,2013-05-06
16023,17,15,52736.6166667,2013-05-07
16601,23,13,54235.4166667,2013-05-08
17835,17,19,57415.8,2013-05-09
19433,20,11,62695.0166667,2013-05-10
18855,24,13,60181.1833333,2013-05-11
14864,21,15,48365.0833333,2013-05-12
14816,17,11,46958.7333333,2013-05-13
15143,21,4,49115.9333333,2013-05-14
15880,23,18,51451.3,2013-05-15
16756,33,14,53830.4333333,2013-05-16
17652,19,12,56027.3333333,2013-05-17
19435,19,11,61163.3,2013-05-18
16803,18,12,51999.3333333,2013-05-19
16942,16,11,54051.05,2013-05-20
16030,11,16,50238.5833333,2013-05-21
16427,27,9,51389.8166667,2013-05-22
15913,14,17,50146.9166667,2013-05-23
17958,22,17,55953.2333333,2013-05-24
17900,16,8,56059.4833333,2013-05-25
16429,7,18,51059.1,2013-05-26
16029,10,11,50690.1833333,2013-05-27
15321,16,20,47810.5833333,2013-05-28
15227,12,15,48958.5,2013-05-29
16087,7,19,51314.0,2013-05-30
17924,24,13,55795.4666667,2013-05-31
19361,10,7,59820.9666667,2013-06-01
16045,19,9,48520.9166667,2013-06-02
14791,10,14,44963.4,2013-06-03
15192,22,16,47325.85,2013-06-04
15622,14,14,47941.4,2013-06-05
19161,14,16,57117.4666667,2013-06-06
21953,22,23,65175.0,2013-06-07
22044,17,17,64642.75,2013-06-08
19202,17,14,57246.2333333,2013-06-09
17889,18,15,52843.3833333,2013-06-10
18376,18,19,54623.6333333,2013-06-11
18655,23,24,55371.2333333,2013-06-12
17648,20,13,52886.1,2013-06-13
17767,25,14,53589.8833333,2013-06-14
19131,18,9,58326.2,2013-06-15
16040,13,10,49161.65,2013-06-16
15038,17,14,47011.5333333,2013-06-17
15628,12,13,47194.8833333,2013-06-18
15606,15,7,48027.45,2013-06-19
14472,17,10,45151.0833333,2013-06-20
17527,8,11,55867.1333333,2013-06-21
14083,17,13,44287.5833333,2013-06-22
13036,11,17,40148.3333333,2013-06-23
12800,11,17,39616.8833333,2013-06-24
12651,12,5,40182.95,2013-06-25
13309,11,10,41304.9333333,2013-06-26
14167,8,10,43331.1833333,2013-06-27
12059,7,11,38624.3333333,2013-06-28
12491,19,5,40262.9333333,2013-06-29
10640,7,5,33355.5166667,2013-06-30
10501,18,10,32728.2833333,2013-07-01
10730,6,9,34271.2666667,2013-07-02
10591,11,8,33827.6166667,2013-07-03
11585,15,8,36561.1666667,2013-07-04
11710,16,16,37464.8666667,2013-07-05
11569,16,8,36985.2833333,2013-07-06
9972,8,13,30577.5,2013-07-07
10093,6,6,31613.45,2013-07-08
10304,9,10,31535.5833333,2013-07-09
9892,9,11,30734.0666667,2013-07-10
10778,4,7,32611.9666667,2013-07-11
11598,13,10,34839.0833333,2013-07-12
14026,5,8,40074.6333333,2013-07-13
12207,14,9,34590.3166667,2013-07-14
12061,7,8,33798.35,2013-07-15
12336,22,15,34685.9333333,2013-07-16
11726,10,8,32676.3166667,2013-07-17
10965,11,9,30944.8166667,2013-07-18
11897,9,10,35624.8666667,2013-07-19
12115,8,11,36510.6333333,2013-07-20
10349,12,7,30664.3333333,2013-07-21
9962,7,12,29647.3166667,2013-07-22
9922,10,13,30013.0333333,2013-07-23
10221,8,11,32083.5666667,2013-07-24
11215,13,13,34054.7833333,2013-07-25
11808,8,5,35796.2333333,2013-07-26
11557,7,8,34996.8166667,2013-07-27
10404,11,9,31097.9,2013-07-28
9950,7,10,30928.55,2013-07-29
10102,7,4,30889.3,2013-07-30
9998,14,10,31233.7166667,2013-07-31
10301,17,6,32413.0666667,2013-08-01
11177,8,9,34262.1166667,2013-08-02
11697,4,8,35584.5666667,2013-08-03
8427,4,5,26364.3666667,2013-08-04
8146,5,2,26062.8666667,2013-08-05
9844,11,7,30107.35,2013-08-06
10304,10,11,31311.9333333,2013-08-07
10994,7,5,33357.6166667,2013-08-08
11010,8,6,33517.4,2013-08-09
12272,16,18,36737.6833333,2013-08-10
10466,17,7,30951.4833333,2013-08-11
10438,16,8,30868.8,2013-08-12
10457,3,8,31209.0333333,2013-08-13
10316,11,6,30278.9333333,2013-08-14
10640,11,11,31798.5,2013-08-15
11864,9,9,37183.9333333,2013-08-16
12172,8,6,37200.5666667,2013-08-17
10356,9,8,31155.4166667,2013-08-18
10595,8,10,31755.8166667,2013-08-19
8528,11,5,26746.2666667,2013-08-20
8200,9,9,26142.0666667,2013-08-21
8487,7,5,27330.5333333,2013-08-22
11658,9,15,35360.65,2013-08-23
12391,11,11,37042.3666667,2013-08-24
10905,10,8,31651.9333333,2013-08-25
10453,10,5,31708.4666667,2013-08-26
10879,5,6,32818.8666667,2013-08-27
10721,9,9,32245.5833333,2013-08-28
11190,8,6,34531.9333333,2013-08-29
11707,7,8,35497.0333333,2013-08-30
12151,6,9,36618.3166667,2013-08-31
11213,8,8,33565.6166667,2013-09-01
10691,10,5,32781.2166667,2013-09-02
10801,8,8,32714.9333333,2013-09-03
10937,17,4,33375.8,2013-09-04
11527,12,13,36162.6333333,2013-09-05
12528,15,4,38765.1833333,2013-09-06
13592,14,5,40859.05,2013-09-07
11712,15,9,35020.9166667,2013-09-08
10202,12,6,30662.3166667,2013-09-09
10185,7,10,30670.2666667,2013-09-10
10536,13,5,32080.9,2013-09-11
10628,10,8,32573.7666667,2013-09-12
12643,17,4,38661.8166667,2013-09-13
13870,7,12,41670.4166667,2013-09-14
12149,11,13,36069.8833333,2013-09-15
10048,7,6,30397.1166667,2013-09-16
9334,8,6,28543.3666667,2013-09-17
9981,5,6,30304.2333333,2013-09-18
10921,5,9,32391.1166667,2013-09-19
13310,8,6,40125.8833333,2013-09-20
14197,6,11,43419.05,2013-09-21
11619,4,4,34737.8166667,2013-09-22
10493,7,5,31453.9166667,2013-09-23
10631,5,3,32133.3,2013-09-24
12472,12,11,36064.6166667,2013-09-25
11378,9,8,34334.8,2013-09-26
12929,14,8,39323.0333333,2013-09-27
11371,4,7,34811.2666667,2013-09-28
12515,7,6,37375.8,2013-09-29
12176,7,4,36592.25,2013-09-30
12848,11,8,38534.2333333,2013-10-01
13051,12,4,38861.2666667,2013-10-02
13705,19,14,40543.8166667,2013-10-03
15523,14,11,46419.35,2013-10-04
17309,23,11,50595.2333333,2013-10-05
14116,7,9,41474.0833333,2013-10-06
12749,5,12,37824.0,2013-10-07
13695,20,8,40343.15,2013-10-08
14290,10,7,42227.6166667,2013-10-09
14527,10,14,43012.5666667,2013-10-10
15641,11,4,46735.8833333,2013-10-11
18357,12,10,53322.2166667,2013-10-12
15240,12,11,44456.75,2013-10-13
14478,13,7,42284.1833333,2013-10-14
14115,11,10,40902.0166667,2013-10-15
14284,13,11,41650.4166667,2013-10-16
15561,16,9,44956.55,2013-10-17
18410,15,16,52987.5333333,2013-10-18
