dailyViewcount,numShare,numSubscriber,watchTime,date
6013,42,28,12213.9666667,2013-11-27
4085,22,13,10073.85,2013-11-28
3422,17,18,9146.86666667,2013-11-29
3955,17,10,9843.18333333,2013-11-30
5354,20,17,13092.5,2013-12-01
5369,14,8,13704.3833333,2013-12-02
5610,14,12,14049.4166667,2013-12-03
5380,10,5,13082.15,2013-12-04
5171,6,6,12974.7166667,2013-12-05
5223,17,8,12963.1333333,2013-12-06
5771,10,12,13808.7,2013-12-07
5938,8,4,13886.3333333,2013-12-08
6275,9,9,14587.7666667,2013-12-09
6411,12,8,14934.05,2013-12-10
4920,9,5,12028.3,2013-12-11
5467,13,9,13505.35,2013-12-12
6047,12,5,14747.2666667,2013-12-13
6506,11,11,15163.6666667,2013-12-14
5903,4,1,13834.3833333,2013-12-15
6015,13,7,14726.6166667,2013-12-16
5524,6,0,13048.2166667,2013-12-17
5422,19,3,12641.7666667,2013-12-18
5328,6,5,12869.0666667,2013-12-19
5003,8,11,12354.6333333,2013-12-20
5099,5,4,12239.1666667,2013-12-21
5224,2,5,11976.1166667,2013-12-22
5016,7,4,11832.8166667,2013-12-23
5319,5,1,12333.6166667,2013-12-24
5028,7,7,11756.4,2013-12-25
4853,6,2,10949.0666667,2013-12-26
4965,6,3,11263.8666667,2013-12-27
4737,5,1,11105.9333333,2013-12-28
4684,2,6,10661.9333333,2013-12-29
4820,6,6,11158.2333333,2013-12-30
4988,6,3,11752.5833333,2013-12-31
4453,3,3,10125.5333333,2014-01-01
4526,6,5,10069.85,2014-01-02
5267,12,4,11624.0333333,2014-01-03
5201,7,7,11358.3,2014-01-04
4918,5,7,10981.4,2014-01-05
4981,11,2,11467.05,2014-01-06
4918,9,8,11072.5666667,2014-01-07
5133,16,5,11554.0666667,2014-01-08
5800,7,5,13212.5833333,2014-01-09
6037,8,4,13485.6666667,2014-01-10
5973,4,10,13521.7333333,2014-01-11
5286,9,7,11807.2333333,2014-01-12
5492,13,12,12153.4,2014-01-13
5189,9,5,11577.5333333,2014-01-14
5238,3,5,11780.0333333,2014-01-15
5506,6,6,12395.55,2014-01-16
6020,10,7,13768.8833333,2014-01-17
6556,13,7,14794.0666667,2014-01-18
6049,11,12,13365.35,2014-01-19
5838,16,7,13490.7833333,2014-01-20
5642,9,4,13216.2166667,2014-01-21
6501,21,6,14789.0166667,2014-01-22
7976,13,9,17624.35,2014-01-23
9119,17,15,20329.8333333,2014-01-24
7548,15,7,17442.9,2014-01-25
