dailyViewcount,numShare,numSubscriber,watchTime,date
773037,11220,639,2328500.18333,2017-02-28
871866,10596,536,2366503.48333,2017-03-01
668665,7878,398,1811720.61667,2017-03-02
598796,5967,368,1565642.63333,2017-03-03
511835,4559,253,1314850.06667,2017-03-04
499591,5081,270,1302192.76667,2017-03-05
444449,4232,256,1198888.73333,2017-03-06
361170,3358,170,988720.033333,2017-03-07
342070,3002,152,919940.55,2017-03-08
331684,2819,181,899798.3,2017-03-09
341142,2667,154,939527.25,2017-03-10
337782,2604,126,945802.683333,2017-03-11
292877,2418,110,798869.916667,2017-03-12
270041,2252,109,763677.216667,2017-03-13
250568,2256,83,711657.533333,2017-03-14
238177,2083,87,696607.166667,2017-03-15
243491,2221,112,736066.9,2017-03-16
233941,1719,85,726225.166667,2017-03-17
227145,1747,94,697486.683333,2017-03-18
209516,1787,66,626587.8,2017-03-19
181678,1490,72,567482.966667,2017-03-20
170767,1406,79,541210.533333,2017-03-21
166066,1353,61,519551.966667,2017-03-22
173167,1393,61,543145.55,2017-03-23
193954,1358,46,607003.45,2017-03-24
199051,1496,71,617190.15,2017-03-25
164204,1334,55,504607.233333,2017-03-26
149581,1204,46,469757.15,2017-03-27
152013,1312,44,478520.7,2017-03-28
161368,1282,54,503602.55,2017-03-29
154238,1269,30,487234.366667,2017-03-30
149685,1147,47,478015.8,2017-03-31
157771,1311,30,498836.4,2017-04-01
134615,1125,42,421314.833333,2017-04-02
130182,1088,44,415148.2,2017-04-03
129848,1135,26,416173.95,2017-04-04
132407,1092,23,418180.916667,2017-04-05
136936,1118,42,433265.7,2017-04-06
142313,1021,22,456754.8,2017-04-07
141054,1071,26,453193.9,2017-04-08
120051,889,23,382530.916667,2017-04-09
116151,847,23,374098.516667,2017-04-10
120254,922,20,385673.4,2017-04-11
116419,934,29,370505.116667,2017-04-12
115644,900,34,370760.716667,2017-04-13
128089,968,29,407715.616667,2017-04-14
120964,834,34,381379.3,2017-04-15
110319,754,20,344617.383333,2017-04-16
103358,854,25,322131.383333,2017-04-17
106746,883,31,339175.2,2017-04-18
112186,860,34,353316.583333,2017-04-19
119418,868,38,376820.683333,2017-04-20
125590,866,27,402897.05,2017-04-21
126130,842,33,402101.683333,2017-04-22
106779,795,20,333522.333333,2017-04-23
95121,907,26,302355.75,2017-04-24
94155,790,32,299247.35,2017-04-25
102337,874,19,324599.433333,2017-04-26
103410,754,25,330720.016667,2017-04-27
113287,867,28,364930.816667,2017-04-28
114815,784,23,363540.216667,2017-04-29
97699,784,15,302344.266667,2017-04-30
97100,750,31,307736.716667,2017-05-01
98786,823,28,315732.783333,2017-05-02
96640,845,29,310426.783333,2017-05-03
95654,737,23,305400.833333,2017-05-04
97341,739,16,313651.4,2017-05-05
98169,767,13,312634.283333,2017-05-06
84288,719,14,265342.066667,2017-05-07
83143,693,28,265202.983333,2017-05-08
84326,684,19,268286.55,2017-05-09
81261,684,24,262946.283333,2017-05-10
83017,626,22,267117.7,2017-05-11
94974,709,24,303322.916667,2017-05-12
98278,657,6,311659.2,2017-05-13
84535,577,21,261010.466667,2017-05-14
67342,570,15,214398.133333,2017-05-15
72930,621,23,233106.316667,2017-05-16
75347,580,21,241395.983333,2017-05-17
76879,534,20,245548.95,2017-05-18
83481,620,17,267575.15,2017-05-19
86595,650,7,274995.816667,2017-05-20
63959,541,17,203094.25,2017-05-21
61494,506,22,195614.2,2017-05-22
