dailyViewcount,numShare,numSubscriber,watchTime,date
10446,29,8,29241.3,2014-06-13
20948,61,19,61153.5166667,2014-06-14
28710,55,31,90077.5333333,2014-06-15
35257,75,25,111412.733333,2014-06-16
31287,81,26,99988.45,2014-06-17
33925,66,21,108777.8,2014-06-18
36322,62,24,116758.016667,2014-06-19
38647,64,20,124606.783333,2014-06-20
37323,69,23,119900.7,2014-06-21
34611,48,16,110567.633333,2014-06-22
31397,37,15,102160.783333,2014-06-23
30419,49,18,98080.0333333,2014-06-24
30653,42,18,98656.85,2014-06-25
28618,55,17,94365.85,2014-06-26
30905,36,12,99898.4333333,2014-06-27
31651,42,18,102545.0,2014-06-28
29516,37,16,91926.05,2014-06-29
30563,85,20,95606.5166667,2014-06-30
28895,48,20,89571.9833333,2014-07-01
51473,97,41,124238.116667,2014-07-02
33961,42,27,105195.633333,2014-07-03
33361,36,14,104780.55,2014-07-04
30495,54,20,95303.1,2014-07-05
28016,36,26,87055.4,2014-07-06
27102,62,26,84305.2166667,2014-07-07
30000,48,23,93214.3333333,2014-07-08
28300,37,16,91550.1,2014-07-09
28325,27,10,90423.45,2014-07-10
27128,26,13,88702.5833333,2014-07-11
30152,29,11,96499.9833333,2014-07-12
27005,32,13,85851.15,2014-07-13
28756,41,15,90560.2,2014-07-14
30543,38,20,94996.75,2014-07-15
31899,52,18,101049.55,2014-07-16
31622,40,12,101300.5,2014-07-17
33999,47,5,108526.0,2014-07-18
33242,34,15,104875.3,2014-07-19
29258,24,16,92075.4166667,2014-07-20
30164,55,13,95068.0,2014-07-21
29797,42,14,95702.0166667,2014-07-22
30247,31,9,96916.4833333,2014-07-23
29356,49,10,95920.3833333,2014-07-24
29735,34,13,98530.7166667,2014-07-25
29239,33,5,96933.45,2014-07-26
26134,37,15,83637.1166667,2014-07-27
28014,35,6,89816.1333333,2014-07-28
26673,21,12,87154.1333333,2014-07-29
26359,38,12,85534.55,2014-07-30
26876,30,5,87130.65,2014-07-31
30297,34,6,97454.95,2014-08-01
31280,30,5,98963.2333333,2014-08-02
28511,33,16,89251.3,2014-08-03
27307,38,12,86845.4166667,2014-08-04
