dailyViewcount,numShare,numSubscriber,watchTime,date
47238,98,35,133910.333333,2014-05-01
127947,273,68,320144.016667,2014-05-02
96288,172,46,228598.25,2014-05-03
61855,106,25,153793.766667,2014-05-04
38947,77,22,109174.3,2014-05-05
50077,111,21,154420.433333,2014-05-06
61691,144,31,197180.933333,2014-05-07
59516,141,26,193488.583333,2014-05-08
64479,116,23,213657.383333,2014-05-09
66296,90,23,216774.883333,2014-05-10
56676,93,23,186044.7,2014-05-11
56312,97,30,187266.05,2014-05-12
57105,112,17,190332.683333,2014-05-13
57042,122,29,190025.05,2014-05-14
61147,139,30,203289.933333,2014-05-15
69632,140,23,231832.75,2014-05-16
72179,101,31,239977.8,2014-05-17
63583,83,31,210409.4,2014-05-18
60815,132,30,204413.316667,2014-05-19
62093,156,32,208258.416667,2014-05-20
66736,137,25,223626.266667,2014-05-21
71492,130,33,241863.45,2014-05-22
85174,166,37,282649.85,2014-05-23
84265,123,24,275613.15,2014-05-24
72773,117,26,238110.216667,2014-05-25
62432,102,18,206898.483333,2014-05-26
58092,104,26,196537.516667,2014-05-27
61470,167,42,207320.766667,2014-05-28
67860,124,33,225795.733333,2014-05-29
85864,140,41,281159.566667,2014-05-30
88271,128,41,287822.183333,2014-05-31
75179,104,24,241820.45,2014-06-01
75161,136,33,244356.316667,2014-06-02
81819,133,26,266438.666667,2014-06-03
85649,156,36,277415.883333,2014-06-04
86767,155,52,280664.35,2014-06-05
92930,144,40,303483.45,2014-06-06
93958,123,31,305124.65,2014-06-07
82299,129,30,262481.25,2014-06-08
83055,180,36,266752.783333,2014-06-09
81586,140,37,261793.433333,2014-06-10
85322,483,41,274443.983333,2014-06-11
86155,168,41,279091.55,2014-06-12
94038,158,35,306112.466667,2014-06-13
93300,130,36,303633.05,2014-06-14
90922,132,32,286219.016667,2014-06-15
94852,163,55,300363.45,2014-06-16
91869,193,30,294011.533333,2014-06-17
85548,138,40,275669.183333,2014-06-18
87311,138,21,282018.516667,2014-06-19
95241,123,46,311807.25,2014-06-20
88981,149,29,289674.166667,2014-06-21
81128,108,37,263035.666667,2014-06-22
87845,164,29,284007.183333,2014-06-23
91245,181,33,292453.3,2014-06-24
91235,150,33,291510.883333,2014-06-25
93556,154,30,298332.066667,2014-06-26
99629,161,34,317646.566667,2014-06-27
99671,149,25,317071.333333,2014-06-28
87747,122,21,274022.966667,2014-06-29
88836,147,33,280135.016667,2014-06-30
79575,132,30,251347.016667,2014-07-01
84632,152,32,267332.983333,2014-07-02
87724,158,37,277736.283333,2014-07-03
89799,126,25,285653.683333,2014-07-04
78954,124,35,248054.033333,2014-07-05
75231,116,28,232923.666667,2014-07-06
76376,111,37,238712.433333,2014-07-07
81729,143,34,254737.316667,2014-07-08
79047,116,30,251658.0,2014-07-09
82713,118,26,260540.35,2014-07-10
86110,98,27,274890.666667,2014-07-11
89706,128,27,277538.25,2014-07-12
78543,83,30,241507.616667,2014-07-13
80839,116,28,248664.1,2014-07-14
82714,149,22,255304.333333,2014-07-15
78645,122,33,243946.5,2014-07-16
81757,105,23,254311.016667,2014-07-17
86069,125,35,268600.4,2014-07-18
83215,109,38,257268.8,2014-07-19
73123,94,23,223808.15,2014-07-20
76398,126,32,233560.166667,2014-07-21
76954,115,30,235894.966667,2014-07-22
77481,106,41,237933.416667,2014-07-23
75548,120,31,233620.983333,2014-07-24
79971,106,23,247973.116667,2014-07-25
80553,98,29,248141.05,2014-07-26
70782,82,23,216020.083333,2014-07-27
73439,120,26,223035.65,2014-07-28
74877,107,30,228768.033333,2014-07-29
73705,92,29,223846.066667,2014-07-30
74560,120,25,226901.0,2014-07-31
87082,112,35,263821.633333,2014-08-01
87251,105,26,264650.85,2014-08-02
79189,89,7,235083.766667,2014-08-03
73610,120,20,220613.566667,2014-08-04
70313,103,19,213578.433333,2014-08-05
69370,68,18,212208.316667,2014-08-06
70866,92,26,214412.666667,2014-08-07
80507,81,19,244207.816667,2014-08-08
82442,91,27,246436.066667,2014-08-09
74355,89,25,218583.716667,2014-08-10
72802,101,34,215910.116667,2014-08-11
73978,83,31,219871.3,2014-08-12
73990,103,21,220314.066667,2014-08-13
73749,108,30,220479.533333,2014-08-14
82541,91,23,247937.3,2014-08-15
82582,73,26,245451.466667,2014-08-16
74072,78,23,216723.633333,2014-08-17
69690,71,23,209706.216667,2014-08-18
67660,83,25,205854.15,2014-08-19
70335,99,29,211189.683333,2014-08-20
70573,80,25,212052.033333,2014-08-21
78442,73,25,238579.633333,2014-08-22
82462,97,27,245926.416667,2014-08-23
69802,67,26,205922.166667,2014-08-24
63636,91,23,192124.05,2014-08-25
70977,90,35,209520.983333,2014-08-26
69713,88,22,207213.666667,2014-08-27
70356,69,20,209728.716667,2014-08-28
72567,99,25,221181.15,2014-08-29
74463,72,22,221696.85,2014-08-30
71647,74,31,210076.333333,2014-08-31
67527,82,16,199196.266667,2014-09-01
60259,80,17,180327.483333,2014-09-02
64740,69,24,194778.65,2014-09-03
63319,77,27,192306.716667,2014-09-04
70727,82,21,215245.983333,2014-09-05
79075,64,21,232761.216667,2014-09-06
65092,55,24,189453.316667,2014-09-07
61368,74,25,184770.633333,2014-09-08
62274,68,20,187771.183333,2014-09-09
64474,88,14,192956.916667,2014-09-10
64839,71,18,194992.116667,2014-09-11
71590,87,17,215399.6,2014-09-12
75767,67,21,222397.3,2014-09-13
63613,50,22,183450.95,2014-09-14
57887,49,15,172975.9,2014-09-15
56837,59,26,171806.483333,2014-09-16
57915,78,15,173989.916667,2014-09-17
59203,61,19,175234.783333,2014-09-18
71854,67,24,215678.95,2014-09-19
75390,66,29,221542.7,2014-09-20
62109,65,23,182364.15,2014-09-21
57549,59,23,173699.066667,2014-09-22
61730,75,26,184393.883333,2014-09-23
63139,63,21,189192.666667,2014-09-24
63384,68,22,191205.166667,2014-09-25
69664,68,25,212002.1,2014-09-26
73867,82,21,219081.866667,2014-09-27
60453,43,20,176755.066667,2014-09-28
58245,72,23,173544.85,2014-09-29
57383,69,24,170973.733333,2014-09-30
60440,55,23,181565.916667,2014-10-01
64912,54,21,193544.2,2014-10-02
70923,57,18,212894.466667,2014-10-03
74884,65,28,219499.15,2014-10-04
62938,52,27,182481.183333,2014-10-05
59963,72,26,178085.866667,2014-10-06
61220,70,29,183241.483333,2014-10-07
64298,56,15,191242.666667,2014-10-08
65598,70,25,193169.683333,2014-10-09
75489,71,28,223607.816667,2014-10-10
76523,59,32,223233.25,2014-10-11
63058,49,21,181552.85,2014-10-12
59613,49,26,175379.516667,2014-10-13
60866,74,18,178821.5,2014-10-14
64168,84,26,188996.15,2014-10-15
67227,62,23,198198.533333,2014-10-16
73798,70,29,218555.083333,2014-10-17
77627,72,24,225343.25,2014-10-18
65104,52,17,185870.616667,2014-10-19
65243,68,33,189391.033333,2014-10-20
66017,65,26,193180.083333,2014-10-21
68470,70,31,199283.183333,2014-10-22
71841,76,28,210433.75,2014-10-23
79661,91,23,237030.3,2014-10-24
77794,57,22,228416.233333,2014-10-25
64041,78,31,184048.433333,2014-10-26
63626,71,18,186410.916667,2014-10-27
61407,62,35,180726.816667,2014-10-28
62576,78,14,184906.233333,2014-10-29
62246,60,20,185339.733333,2014-10-30
69276,57,18,207629.9,2014-10-31
71041,41,23,207591.516667,2014-11-01
64207,45,11,182790.533333,2014-11-02
59231,54,19,173282.7,2014-11-03
60633,50,22,178398.183333,2014-11-04
58751,58,20,176012.0,2014-11-05
63085,49,24,185477.55,2014-11-06
70184,67,23,207575.483333,2014-11-07
73043,61,23,212615.033333,2014-11-08
61481,54,21,174987.016667,2014-11-09
56037,48,10,165772.183333,2014-11-10
56235,43,19,165850.366667,2014-11-11
54690,45,14,161521.95,2014-11-12
57717,48,18,169990.55,2014-11-13
65166,57,13,191565.233333,2014-11-14
68346,46,14,197824.683333,2014-11-15
58886,47,15,166464.35,2014-11-16
55484,39,18,161925.85,2014-11-17
56054,50,18,164687.033333,2014-11-18
58888,70,14,173043.516667,2014-11-19
62294,72,17,182810.0,2014-11-20
70575,69,15,205815.433333,2014-11-21
75141,65,24,216699.016667,2014-11-22
64293,50,24,181715.75,2014-11-23
59344,53,23,174436.95,2014-11-24
63189,47,20,182979.833333,2014-11-25
71533,69,15,208515.666667,2014-11-26
70580,45,14,205019.15,2014-11-27
66219,50,13,191885.1,2014-11-28
69480,56,25,199431.816667,2014-11-29
59742,57,23,169304.05,2014-11-30
57639,53,13,168983.1,2014-12-01
59653,55,23,173334.616667,2014-12-02
59028,55,24,174430.85,2014-12-03
60982,55,18,178343.033333,2014-12-04
65847,29,17,192757.5,2014-12-05
72581,43,25,207851.1,2014-12-06
59945,58,16,171520.566667,2014-12-07
55110,51,23,161963.75,2014-12-08
56979,43,18,166434.366667,2014-12-09
59483,48,16,173301.616667,2014-12-10
57993,47,19,170832.533333,2014-12-11
61061,59,21,181951.183333,2014-12-12
63926,40,21,188050.983333,2014-12-13
54458,42,19,157103.45,2014-12-14
53606,47,15,158570.033333,2014-12-15
50248,57,17,149453.716667,2014-12-16
55076,68,22,161944.5,2014-12-17
56660,47,14,167366.566667,2014-12-18
64095,56,20,188475.216667,2014-12-19
65593,58,12,190475.416667,2014-12-20
60763,54,14,172314.233333,2014-12-21
54034,64,24,157729.466667,2014-12-22
59405,54,24,173909.8,2014-12-23
67470,49,21,198546.466667,2014-12-24
60370,27,12,170417.8,2014-12-25
63262,35,12,180117.166667,2014-12-26
64640,33,9,183235.016667,2014-12-27
56025,38,7,156530.383333,2014-12-28
58697,41,18,166922.95,2014-12-29
62266,66,20,176793.016667,2014-12-30
79694,64,23,233232.783333,2014-12-31
58611,41,14,164110.916667,2015-01-01
60840,41,14,175796.766667,2015-01-02
63543,42,18,179903.0,2015-01-03
57215,39,14,158825.766667,2015-01-04
55623,53,12,158166.633333,2015-01-05
56884,39,17,161612.183333,2015-01-06
55202,40,12,158620.916667,2015-01-07
59449,45,19,168473.683333,2015-01-08
68027,40,17,194904.716667,2015-01-09
70793,49,15,198182.183333,2015-01-10
60284,31,8,166179.2,2015-01-11
57279,38,12,163336.733333,2015-01-12
58528,44,16,167330.183333,2015-01-13
60153,12,3,171931.45,2015-01-14
62190,45,18,178372.15,2015-01-15
68736,47,19,196828.0,2015-01-16
71925,50,18,204690.766667,2015-01-17
62407,35,12,173775.35,2015-01-18
60232,38,12,171154.283333,2015-01-19
56481,43,8,162095.85,2015-01-20
55225,49,16,160398.3,2015-01-21
59393,70,22,170846.383333,2015-01-22
65793,63,19,187040.783333,2015-01-23
69411,68,24,196101.0,2015-01-24
58965,94,22,164358.1,2015-01-25
55640,86,15,159879.266667,2015-01-26
57137,68,21,163315.316667,2015-01-27
57505,84,21,164987.316667,2015-01-28
58649,82,15,169446.616667,2015-01-29
64445,85,21,188712.066667,2015-01-30
68024,66,20,194306.766667,2015-01-31
56501,78,21,160450.266667,2015-02-01
52703,89,19,152116.0,2015-02-02
55996,86,13,163014.55,2015-02-03
57909,101,21,166285.466667,2015-02-04
60377,101,14,174701.7,2015-02-05
65578,93,19,192022.45,2015-02-06
70306,75,16,201774.083333,2015-02-07
57246,70,14,165869.6,2015-02-08
56338,90,20,163177.1,2015-02-09
59358,86,16,172394.666667,2015-02-10
60265,93,16,176266.783333,2015-02-11
59642,87,15,175909.033333,2015-02-12
63267,76,14,187747.533333,2015-02-13
64750,71,14,186936.766667,2015-02-14
55154,91,16,158271.966667,2015-02-15
56057,103,14,160824.15,2015-02-16
56964,84,12,163758.1,2015-02-17
55941,88,15,162369.116667,2015-02-18
