dailyViewcount,numShare,numSubscriber,watchTime,date
120219,894,129,282694.983333,2015-08-12
63535,464,64,156426.033333,2015-08-13
43146,230,49,106806.716667,2015-08-14
46007,220,41,111610.35,2015-08-15
40630,237,40,96509.7666667,2015-08-16
34493,195,20,81667.7166667,2015-08-17
41060,220,56,89262.3,2015-08-18
52105,209,60,103465.0,2015-08-19
31265,149,38,74174.7833333,2015-08-20
26529,109,30,65297.55,2015-08-21
31853,142,31,74743.1833333,2015-08-22
29796,130,25,69652.15,2015-08-23
26200,113,38,63066.1666667,2015-08-24
24205,138,30,58670.3166667,2015-08-25
27580,139,27,65172.65,2015-08-26
24228,119,28,59321.55,2015-08-27
22598,113,17,56499.2666667,2015-08-28
21256,73,16,52709.9166667,2015-08-29
21397,128,24,51276.7166667,2015-08-30
23093,106,14,52520.6,2015-08-31
22139,104,24,53242.5166667,2015-09-01
20580,92,17,49633.6833333,2015-09-02
21025,100,19,50825.9,2015-09-03
19698,60,15,48129.1666667,2015-09-04
19975,87,13,47735.3833333,2015-09-05
18926,76,9,45919.4166667,2015-09-06
18001,87,13,43934.45,2015-09-07
16764,76,16,41705.5,2015-09-08
17031,83,13,41502.6833333,2015-09-09
17185,88,9,42784.8,2015-09-10
17116,79,10,43489.3333333,2015-09-11
18540,63,11,45321.9333333,2015-09-12
17600,84,10,41576.1666667,2015-09-13
15604,95,8,37638.9,2015-09-14
15476,55,16,38419.4166667,2015-09-15
16272,73,15,39524.45,2015-09-16
16476,73,15,40413.2833333,2015-09-17
16985,68,14,41534.6333333,2015-09-18
17252,81,17,41497.95,2015-09-19
15579,92,12,36269.8333333,2015-09-20
14527,56,12,35097.7,2015-09-21
15197,60,15,36957.0666667,2015-09-22
15279,66,14,37505.6,2015-09-23
15240,58,5,37968.4,2015-09-24
15235,57,8,37988.0,2015-09-25
15044,45,9,36942.8166667,2015-09-26
13840,72,13,33176.3833333,2015-09-27
13936,44,14,34029.7833333,2015-09-28
13167,61,14,32807.65,2015-09-29
13711,38,12,33661.9,2015-09-30
13473,62,10,32574.9333333,2015-10-01
12981,51,7,32080.8833333,2015-10-02
13653,50,8,33394.05,2015-10-03
12384,54,7,29503.55,2015-10-04
12051,44,6,29369.5333333,2015-10-05
12585,60,5,30436.3666667,2015-10-06
13137,56,5,31804.85,2015-10-07
13369,51,5,32621.9666667,2015-10-08
13410,49,6,32879.9833333,2015-10-09
14359,62,10,34559.55,2015-10-10
12947,36,10,30401.2333333,2015-10-11
12829,59,11,31598.5833333,2015-10-12
12205,69,12,29467.3,2015-10-13
12554,49,5,30741.15,2015-10-14
12867,47,3,31559.3,2015-10-15
12987,38,6,31810.2666667,2015-10-16
12638,45,8,30518.9666667,2015-10-17
11651,45,6,27757.0166667,2015-10-18
11914,52,7,29285.2833333,2015-10-19
11265,37,6,27346.7,2015-10-20
10852,39,6,26005.4833333,2015-10-21
11776,58,4,28777.0833333,2015-10-22
11856,53,7,28723.8833333,2015-10-23
12067,59,12,29081.3333333,2015-10-24
11847,57,14,27293.9333333,2015-10-25
11489,44,7,27426.6833333,2015-10-26
11358,58,12,27151.1666667,2015-10-27
12084,36,8,29785.8833333,2015-10-28
12011,54,3,28907.8166667,2015-10-29
11642,41,8,28875.0833333,2015-10-30
11675,34,5,28518.3166667,2015-10-31
11325,51,5,26673.75,2015-11-01
10309,40,6,24848.6333333,2015-11-02
8925,63,8,21856.8166667,2015-11-03
11220,65,6,27146.4666667,2015-11-04
11567,60,10,27944.6166667,2015-11-05
11480,50,7,27984.55,2015-11-06
11738,39,9,28600.6333333,2015-11-07
10876,53,6,25597.2,2015-11-08
10808,52,5,26520.0,2015-11-09
10951,48,7,26470.5666667,2015-11-10
10706,54,14,26403.4,2015-11-11
10358,42,5,25983.2166667,2015-11-12
10211,48,6,25881.3833333,2015-11-13
10194,31,4,25916.0333333,2015-11-14
9769,43,6,23538.1833333,2015-11-15
9626,40,6,23523.7666667,2015-11-16
