dailyViewcount,numShare,numSubscriber,watchTime,date
47760,112,17,73408.5333333,2016-09-26
14984,83,22,27241.1,2016-09-27
9202,68,21,17155.8,2016-09-28
10717,68,20,19706.7,2016-09-29
10170,54,5,20601.6166667,2016-09-30
11205,90,21,23368.85,2016-10-01
12938,110,20,26656.1333333,2016-10-02
10525,77,21,22311.75,2016-10-03
14797,135,21,32593.45,2016-10-04
18819,175,24,42291.45,2016-10-05
14736,114,22,33082.55,2016-10-06
13723,84,15,31400.85,2016-10-07
14934,97,15,33849.2333333,2016-10-08
13152,106,15,29584.0833333,2016-10-09
12517,90,11,28261.6666667,2016-10-10
11642,88,12,27180.1,2016-10-11
12302,87,9,28962.5666667,2016-10-12
11638,84,11,27347.1,2016-10-13
12658,68,13,29590.8166667,2016-10-14
13104,81,10,30885.2833333,2016-10-15
11843,74,6,27679.1666667,2016-10-16
11361,83,9,27401.1833333,2016-10-17
11122,84,10,26209.0333333,2016-10-18
11776,95,13,28269.2,2016-10-19
12972,100,19,31475.7333333,2016-10-20
14176,81,22,34109.9166667,2016-10-21
14479,72,11,34457.9833333,2016-10-22
11609,86,9,27905.5166667,2016-10-23
10292,80,7,25286.0166667,2016-10-24
10064,66,11,24416.25,2016-10-25
10597,96,12,26661.25,2016-10-26
21106,166,36,45601.8833333,2016-10-27
21946,154,28,48238.15,2016-10-28
27777,178,52,58814.7166667,2016-10-29
20564,133,27,45890.35,2016-10-30
19175,98,24,43570.1666667,2016-10-31
16380,118,23,38331.2333333,2016-11-01
15959,92,29,37449.8833333,2016-11-02
16670,105,18,39002.3666667,2016-11-03
17727,102,32,41275.7166667,2016-11-04
19593,107,22,45561.2333333,2016-11-05
17110,93,15,39868.5666667,2016-11-06
14465,87,12,34482.0333333,2016-11-07
14689,88,13,34255.9333333,2016-11-08
13847,82,11,32640.3166667,2016-11-09
14370,97,14,34351.9333333,2016-11-10
16511,89,13,39190.9666667,2016-11-11
16171,106,23,38271.4,2016-11-12
13848,89,5,32805.4333333,2016-11-13
12960,83,17,31098.8,2016-11-14
13161,101,15,31274.15,2016-11-15
12413,74,8,30371.4,2016-11-16
14139,88,16,33505.05,2016-11-17
15219,105,18,35873.35,2016-11-18
16673,91,15,39604.0666667,2016-11-19
14848,77,10,35176.7,2016-11-20
13882,106,4,32985.2666667,2016-11-21
14359,97,15,33906.4333333,2016-11-22
15926,102,9,37620.1666667,2016-11-23
14837,82,11,35567.9333333,2016-11-24
13819,75,10,33606.0666667,2016-11-25
13342,84,13,32386.2,2016-11-26
11834,103,9,28510.0,2016-11-27
11281,83,9,27928.4,2016-11-28
15076,155,23,35174.3166667,2016-11-29
27871,207,57,59468.6666667,2016-11-30
20177,161,31,46999.3666667,2016-12-01
20384,165,28,48039.1333333,2016-12-02
18959,155,12,44827.3833333,2016-12-03
20525,131,19,46019.4333333,2016-12-04
17958,128,25,42474.7833333,2016-12-05
16301,132,21,39160.6166667,2016-12-06
16256,103,20,39026.65,2016-12-07
15839,93,18,38256.1166667,2016-12-08
16928,115,16,40509.0666667,2016-12-09
18909,123,11,45094.6166667,2016-12-10
16445,148,15,38346.6833333,2016-12-11
14804,131,14,35760.7333333,2016-12-12
13931,116,8,34162.4166667,2016-12-13
14165,108,12,35791.85,2016-12-14
14847,96,9,36126.5833333,2016-12-15
17695,127,6,41952.4166667,2016-12-16
18500,141,12,44112.1166667,2016-12-17
15684,117,9,37282.9666667,2016-12-18
15272,91,15,36915.4666667,2016-12-19
15012,109,10,36575.2166667,2016-12-20
16630,113,11,39704.1333333,2016-12-21
18272,126,17,42591.1,2016-12-22
18784,133,14,44576.1,2016-12-23
19573,132,19,46790.7833333,2016-12-24
17272,115,12,41289.05,2016-12-25
15632,119,14,37616.1,2016-12-26
16038,118,7,38904.7,2016-12-27
16521,108,7,40356.05,2016-12-28
17027,132,11,40990.55,2016-12-29
17835,125,7,44096.5,2016-12-30
19221,116,7,46960.2833333,2016-12-31
15857,108,3,37598.8833333,2017-01-01
15237,101,13,37260.9833333,2017-01-02
14772,137,12,35989.2833333,2017-01-03
