dailyViewcount,numShare,numSubscriber,watchTime,date
293484,3379,316,664175.883333,2016-11-11
179780,1912,146,459963.716667,2016-11-12
106762,1265,81,288068.85,2016-11-13
104547,998,48,295990.833333,2016-11-14
108238,880,48,296835.066667,2016-11-15
115834,933,52,319468.05,2016-11-16
125671,940,38,326257.666667,2016-11-17
121270,786,37,333755.233333,2016-11-18
122645,780,38,342411.716667,2016-11-19
109167,801,32,304434.116667,2016-11-20
112880,777,34,321856.316667,2016-11-21
116025,790,29,332110.75,2016-11-22
156034,922,50,427914.25,2016-11-23
151247,821,49,418772.45,2016-11-24
128841,685,36,367300.65,2016-11-25
130387,709,35,371328.066667,2016-11-26
110058,631,29,316254.15,2016-11-27
116715,649,36,343299.583333,2016-11-28
117664,535,24,345890.683333,2016-11-29
112030,612,18,330472.4,2016-11-30
107745,565,22,319109.233333,2016-12-01
102891,467,23,305681.75,2016-12-02
101675,476,24,299367.916667,2016-12-03
97750,523,26,279175.7,2016-12-04
94788,497,19,278480.833333,2016-12-05
97763,514,22,287603.35,2016-12-06
89534,472,16,266862.2,2016-12-07
90556,486,12,270168.783333,2016-12-08
93731,430,9,278925.466667,2016-12-09
89783,389,14,266741.316667,2016-12-10
71421,437,15,213810.416667,2016-12-11
70848,401,10,216510.7,2016-12-12
74058,378,24,224794.55,2016-12-13
73107,359,15,222230.583333,2016-12-14
68731,328,11,208655.083333,2016-12-15
77946,379,16,234947.95,2016-12-16
75870,348,14,226490.166667,2016-12-17
60812,352,11,183268.4,2016-12-18
61885,328,11,189036.583333,2016-12-19
64080,346,11,195775.716667,2016-12-20
61501,345,11,190266.883333,2016-12-21
60188,296,12,184352.183333,2016-12-22
62791,290,15,192959.3,2016-12-23
60631,304,5,185310.616667,2016-12-24
54961,242,4,163971.483333,2016-12-25
51540,275,8,154922.7,2016-12-26
51853,303,15,155924.183333,2016-12-27
53176,306,8,160525.983333,2016-12-28
53990,297,3,163418.333333,2016-12-29
53072,331,9,162683.433333,2016-12-30
59237,278,4,179299.15,2016-12-31
41753,241,2,124791.516667,2017-01-01
43975,279,14,131152.95,2017-01-02
45063,285,10,132839.35,2017-01-03
