dailyViewcount,numShare,numSubscriber,watchTime,date
2292184,23344,7685,8382321.43333,2014-10-07
1440061,9806,3513,5572260.33333,2014-10-08
1052674,5927,2031,4128404.46667,2014-10-09
817856,4184,1423,3205089.41667,2014-10-10
838548,3941,1591,3225884.55,2014-10-11
749454,3404,1301,2992370.26667,2014-10-12
771696,3768,1403,3168164.43333,2014-10-13
721498,3520,1281,3040957.51667,2014-10-14
680517,3520,1031,2945907.35,2014-10-15
654794,3316,921,2865919.7,2014-10-16
693856,3273,894,2940476.58333,2014-10-17
701668,2945,971,2939534.7,2014-10-18
711476,3237,995,3043978.58333,2014-10-19
717952,3064,921,3123733.95,2014-10-20
768616,3152,1025,3274395.41667,2014-10-21
781560,3175,987,3338926.4,2014-10-22
773059,3133,957,3348696.81667,2014-10-23
784704,2974,958,3305129.2,2014-10-24
876187,3019,1282,3551559.48333,2014-10-25
940500,3723,1209,3873047.41667,2014-10-26
913262,3523,1032,3949268.5,2014-10-27
926889,3591,1105,3963562.08333,2014-10-28
970068,3548,1194,4126668.78333,2014-10-29
983774,3534,1065,4173688.0,2014-10-30
896310,2987,901,3785483.6,2014-10-31
962655,3157,1128,3943880.83333,2014-11-01
1035987,3766,1227,4315299.08333,2014-11-02
978770,3831,1065,4159657.81667,2014-11-03
983511,3800,1122,4165393.83333,2014-11-04
977082,3492,972,4172687.0,2014-11-05
988339,3366,991,4220844.95,2014-11-06
1005082,3447,1046,4165477.1,2014-11-07
1083650,3520,1125,4362992.53333,2014-11-08
1092499,4100,1311,4474302.95,2014-11-09
1086684,4070,1274,4564417.63333,2014-11-10
1117005,4109,1211,4695954.25,2014-11-11
1133617,3837,1144,4708976.76667,2014-11-12
1177564,3938,1100,4805592.21667,2014-11-13
1205282,3742,1210,4797570.41667,2014-11-14
1282482,3639,1187,4985471.81667,2014-11-15
1318532,4081,1376,5200229.65,2014-11-16
1247688,4083,1250,5090949.33333,2014-11-17
1243617,4062,1250,5087885.56667,2014-11-18
1242537,3997,1157,5081418.43333,2014-11-19
1247285,4017,1082,5086422.8,2014-11-20
1290445,3977,1058,5090129.56667,2014-11-21
1368673,4038,1148,5302888.88333,2014-11-22
1332644,4229,1169,5266562.25,2014-11-23
1241240,4056,1075,5100105.31667,2014-11-24
1261128,4147,1091,5170847.71667,2014-11-25
1335077,4368,1095,5427269.1,2014-11-26
1303248,4131,1138,5261395.16667,2014-11-27
1338733,4135,1110,5302327.7,2014-11-28
1478327,4334,1345,5742675.11667,2014-11-29
1446242,4673,1263,5765406.2,2014-11-30
1328325,4455,1249,5565250.76667,2014-12-01
1379358,4454,1171,5689028.5,2014-12-02
1593756,4906,1354,6214613.1,2014-12-03
1550151,4854,1348,6196530.31667,2014-12-04
1526883,4505,1293,6044093.96667,2014-12-05
1586010,4340,1255,6135919.55,2014-12-06
1544233,4250,1360,6087375.66667,2014-12-07
1489054,4542,1247,6105074.35,2014-12-08
1508730,4647,1259,6192636.95,2014-12-09
1605629,4796,1306,6707568.35,2014-12-10
1680360,5026,1445,6954296.45,2014-12-11
1744761,4975,1372,7021353.6,2014-12-12
1826382,4647,1512,7169424.48333,2014-12-13
1776043,4951,1532,7110038.95,2014-12-14
1778533,4997,1497,7348389.26667,2014-12-15
1891564,5562,1499,7696584.23333,2014-12-16
1950996,5474,1612,7967838.41667,2014-12-17
1931250,5268,1601,7869124.88333,2014-12-18
1987672,5255,1544,7894595.2,2014-12-19
2053381,5273,1493,7902261.45,2014-12-20
2015128,5311,1550,7808884.56667,2014-12-21
1954071,5440,1552,7713945.63333,2014-12-22
1098694,5222,1448,4359574.65,2014-12-23
1029864,3375,1206,4012891.53333,2014-12-24
956771,3239,1154,3575856.36667,2014-12-25
1834114,4216,1328,7029970.28333,2014-12-26
1827600,4409,1306,6997071.56667,2014-12-27
1857241,4918,1438,7146648.23333,2014-12-28
2044782,5442,1539,8039434.33333,2014-12-29
2151257,5324,1573,8387396.4,2014-12-30
2308595,3850,1251,8704598.4,2014-12-31
1812752,4094,1282,6750334.95,2015-01-01
2121272,5306,1590,8135561.66667,2015-01-02
2093784,4916,1552,7968387.43333,2015-01-03
2053627,5224,1539,7892831.25,2015-01-04
2148399,5743,1604,8530909.88333,2015-01-05
2089547,5676,1601,8378872.61667,2015-01-06
2146423,5782,1548,8579965.21667,2015-01-07
2350952,6129,1810,9319394.8,2015-01-08
2564653,6634,1841,9963431.95,2015-01-09
2762592,6201,1975,10332209.1333,2015-01-10
2675964,6684,2058,10087616.15,2015-01-11
2589634,6954,1845,10243953.95,2015-01-12
2540401,6027,1632,10069615.6833,2015-01-13
2497437,2203,473,9925475.15,2015-01-14
2584599,5478,1450,10182780.05,2015-01-15
2631147,6659,1797,10119782.6,2015-01-16
2710596,5774,1774,10067707.25,2015-01-17
2567476,6003,1858,9546870.35,2015-01-18
2542793,6302,1758,9858426.18333,2015-01-19
2517912,6374,1813,9861137.0,2015-01-20
2559257,6546,1675,10003151.95,2015-01-21
2719896,7218,1935,10588794.95,2015-01-22
2874205,11541,1899,10985616.2667,2015-01-23
3029318,13153,2070,11201761.1167,2015-01-24
2807977,13898,1868,10557088.65,2015-01-25
2778187,13903,1857,10692275.8,2015-01-26
2798126,14167,1813,10724057.5833,2015-01-27
2851084,15697,1883,10920559.7333,2015-01-28
2940107,15813,1878,11210707.15,2015-01-29
3453712,16141,2185,12757833.2667,2015-01-30
3440495,15541,2089,12381622.1333,2015-01-31
2819442,14159,1697,10330670.9333,2015-02-01
2572503,13752,1610,9865865.66667,2015-02-02
2667297,14101,1584,10199676.7833,2015-02-03
2774018,14080,1605,10539691.2167,2015-02-04
2961164,15631,1812,11214669.8,2015-02-05
3138626,14824,1940,11675949.55,2015-02-06
3333896,14614,1920,12033695.55,2015-02-07
3245980,18726,2110,11674221.0667,2015-02-08
3472494,19185,2629,13154887.0333,2015-02-09
3413125,17268,2288,12959038.9667,2015-02-10
3320466,15494,2033,12618360.5333,2015-02-11
3398578,15656,2010,12787953.6167,2015-02-12
3607940,18280,2015,13377342.8167,2015-02-13
3771622,27475,2019,13534453.0167,2015-02-14
3702078,17554,2327,13071517.9833,2015-02-15
3704095,16405,2328,13357442.45,2015-02-16
3565551,16265,2247,13013811.75,2015-02-17
3613276,16614,2200,13229721.6667,2015-02-18
3510027,16656,2078,12915187.5333,2015-02-19
3268465,14829,1641,12073209.0,2015-02-20
3406401,15599,1647,12286758.0333,2015-02-21
3047196,14933,1589,11088374.35,2015-02-22
2884847,14356,1390,10842470.1167,2015-02-23
3208475,15436,1522,11879283.05,2015-02-24
3277557,17105,1563,12098026.3167,2015-02-25
3222814,16469,1624,11958463.2167,2015-02-26
3250863,14715,1512,11932461.4,2015-02-27
3462275,14953,1706,12354839.2833,2015-02-28
3178811,14578,1480,11391949.7167,2015-03-01
3177071,14683,1565,11680936.9667,2015-03-02
3166906,17777,1541,11665320.1,2015-03-03
3202336,23871,1512,11773677.7,2015-03-04
3158141,19070,1442,11595979.1333,2015-03-05
3222070,18704,1420,11627810.0333,2015-03-06
3357138,19314,1515,11860650.0333,2015-03-07
2937632,18242,1415,10436223.6667,2015-03-08
2826769,17357,1287,10419220.4667,2015-03-09
2836939,18264,1237,10462353.5833,2015-03-10
2889542,18008,1254,10638840.9333,2015-03-11
3029404,18259,1304,11073296.5333,2015-03-12
3055477,17374,1304,11028625.9,2015-03-13
3265397,18180,1423,11464124.5167,2015-03-14
2953378,18224,1391,10402033.4667,2015-03-15
2817251,17159,1309,10270416.0333,2015-03-16
2751309,15986,1302,10082983.3333,2015-03-17
2497999,15408,1042,9171285.43333,2015-03-18
2499781,15565,1041,9081227.1,2015-03-19
2670640,15105,1119,9510163.88333,2015-03-20
3087461,16716,1539,10715082.0167,2015-03-21
2913699,16582,1402,10129746.7333,2015-03-22
2746469,16207,1185,9874550.71667,2015-03-23
2743092,16111,1247,9875732.65,2015-03-24
2708313,15106,1174,9737995.51667,2015-03-25
2746496,16433,1231,9842941.41667,2015-03-26
2965236,15178,1322,10470435.05,2015-03-27
3066976,14575,1327,10572140.4833,2015-03-28
2724075,14233,1179,9404633.96667,2015-03-29
2536308,12524,1057,9065712.93333,2015-03-30
2491417,11819,1058,8921634.55,2015-03-31
2517016,11903,1039,8933320.6,2015-04-01
2574812,11779,1140,9012312.91667,2015-04-02
2585786,11274,1099,8934483.16667,2015-04-03
2527497,11232,1102,8672725.88333,2015-04-04
2411248,11318,985,8189291.76667,2015-04-05
2506199,11608,1072,8739987.28333,2015-04-06
2567059,12136,1034,9046638.55,2015-04-07
2520671,12154,1009,8909194.18333,2015-04-08
2493646,13636,978,8826769.13333,2015-04-09
2484469,12709,997,8720696.96667,2015-04-10
2648834,13039,1062,9009871.38333,2015-04-11
2991651,14466,1105,9558058.16667,2015-04-12
2704906,13802,1023,9042920.73333,2015-04-13
2552416,14067,1013,8863141.15,2015-04-14
2419922,13568,920,8481406.96667,2015-04-15
2476255,13990,891,8691521.41667,2015-04-16
2600973,13185,958,9010303.21667,2015-04-17
2698185,12687,1196,9176000.66667,2015-04-18
2443233,13240,1065,8354950.01667,2015-04-19
2278555,11934,930,8052134.6,2015-04-20
2286142,12510,909,8055354.53333,2015-04-21
2289515,12022,936,8107566.28333,2015-04-22
2321106,12441,945,8177403.08333,2015-04-23
2315454,11938,899,8041953.9,2015-04-24
2485927,11877,1016,8444448.83333,2015-04-25
2322766,11840,934,7938239.08333,2015-04-26
2237640,11831,922,7863021.2,2015-04-27
2312125,12214,843,8147403.16667,2015-04-28
2337975,12530,978,8220192.83333,2015-04-29
2390249,12629,994,8337263.91667,2015-04-30
2516823,12933,1111,8592543.23333,2015-05-01
2333410,11180,994,7953060.56667,2015-05-02
2259348,11852,936,7703252.01667,2015-05-03
2304995,12277,989,8094926.43333,2015-05-04
2361514,12672,981,8289871.8,2015-05-05
2343269,11765,949,8229732.81667,2015-05-06
2348208,11322,865,8257544.68333,2015-05-07
2366523,11078,938,8224312.41667,2015-05-08
2451167,10951,954,8350630.93333,2015-05-09
2262516,11269,978,7669433.15,2015-05-10
2358354,12861,931,8145038.73333,2015-05-11
2526119,14755,1087,8587068.35,2015-05-12
2486751,15068,1069,8427159.33333,2015-05-13
2415702,14935,1033,8290461.36667,2015-05-14
2475863,15929,1152,8446079.66667,2015-05-15
2539017,15243,1245,8511445.33333,2015-05-16
2329956,15000,1020,7763445.36667,2015-05-17
2301772,14399,1088,7936860.13333,2015-05-18
2360517,14273,1100,8167845.36667,2015-05-19
2476542,15273,1132,8578653.76667,2015-05-20
2604184,15456,1169,8956183.06667,2015-05-21
2765137,14902,1177,9329699.71667,2015-05-22
