dailyViewcount,numShare,numSubscriber,watchTime,date
8806,207,28,25281.5666667,2015-11-24
19366,248,32,51268.2333333,2015-11-25
25131,281,49,65890.8166667,2015-11-26
33913,351,87,92132.25,2015-11-27
54567,540,199,150118.216667,2015-11-28
67376,656,263,179732.866667,2015-11-29
44172,385,118,123751.833333,2015-11-30
45169,402,113,129525.983333,2015-12-01
46040,495,115,135436.716667,2015-12-02
40566,481,77,124307.183333,2015-12-03
37094,404,57,114164.5,2015-12-04
41682,407,45,122325.8,2015-12-05
33476,303,56,98006.5,2015-12-06
31391,297,48,94179.3833333,2015-12-07
34493,280,55,103839.516667,2015-12-08
35518,330,28,109444.616667,2015-12-09
33973,275,38,102227.35,2015-12-10
30549,224,29,93375.7333333,2015-12-11
29588,279,22,87930.8166667,2015-12-12
24192,187,22,70993.3,2015-12-13
23608,182,17,71764.7833333,2015-12-14
26566,215,33,78723.8833333,2015-12-15
24145,246,30,74874.0166667,2015-12-16
25959,267,29,79923.7666667,2015-12-17
25481,251,27,79785.0333333,2015-12-18
24935,231,13,77175.0833333,2015-12-19
21329,186,16,63657.4666667,2015-12-20
23623,214,18,73191.4333333,2015-12-21
23872,224,30,73822.5,2015-12-22
26782,240,25,83580.4833333,2015-12-23
26881,199,22,84943.4833333,2015-12-24
23201,161,22,71558.9166667,2015-12-25
22942,194,17,71522.4666667,2015-12-26
20099,165,19,61962.9833333,2015-12-27
21684,193,21,68522.2833333,2015-12-28
21593,206,21,67839.9,2015-12-29
21413,209,14,66291.5166667,2015-12-30
26428,260,19,83525.3166667,2015-12-31
21154,202,14,63131.0333333,2016-01-01
22752,237,18,68824.3333333,2016-01-02
23730,182,29,69266.7666667,2016-01-03
24604,256,37,74208.5333333,2016-01-04
25406,232,42,76874.3,2016-01-05
22731,205,16,69520.3,2016-01-06
22015,228,21,69083.5333333,2016-01-07
22505,228,16,71951.6666667,2016-01-08
22528,177,15,67996.4666667,2016-01-09
20318,178,19,59345.4333333,2016-01-10
22014,236,21,66865.6833333,2016-01-11
21140,225,20,63855.6333333,2016-01-12
24187,275,22,75170.8166667,2016-01-13
24048,285,24,74077.35,2016-01-14
26032,248,22,80492.3833333,2016-01-15
28335,227,25,82722.0333333,2016-01-16
24878,210,30,70804.8333333,2016-01-17
21284,193,21,62116.4333333,2016-01-18
23371,205,25,67636.3666667,2016-01-19
24623,203,19,73058.75,2016-01-20
29071,239,25,86880.9333333,2016-01-21
31235,203,28,91139.3166667,2016-01-22
36378,229,53,104114.616667,2016-01-23
31219,201,48,89037.4666667,2016-01-24
30795,223,35,90308.9,2016-01-25
32297,244,35,93824.6333333,2016-01-26
33630,233,41,101164.516667,2016-01-27
37593,249,51,112043.65,2016-01-28
41061,201,36,122229.7,2016-01-29
42445,201,34,127807.05,2016-01-30
36033,168,37,108029.666667,2016-01-31
28533,151,27,85883.9666667,2016-02-01
39540,185,52,120359.25,2016-02-02
36999,226,42,109223.816667,2016-02-03
36413,239,35,107554.066667,2016-02-04
38369,172,40,115062.066667,2016-02-05
36788,183,34,112374.816667,2016-02-06
34934,184,27,105237.65,2016-02-07
38761,200,32,117960.65,2016-02-08
32608,153,32,99745.2833333,2016-02-09
30579,184,29,93440.2833333,2016-02-10
28094,161,17,83992.6166667,2016-02-11
28515,144,20,86210.2,2016-02-12
29219,134,30,88089.9833333,2016-02-13
23469,137,20,68904.8166667,2016-02-14
19677,130,15,57450.8,2016-02-15
18204,140,12,53829.1333333,2016-02-16
18408,142,11,54777.6833333,2016-02-17
19024,130,17,57757.1,2016-02-18
18835,146,9,56360.3333333,2016-02-19
20715,124,16,61191.4,2016-02-20
17846,111,16,50883.05,2016-02-21
21639,159,14,61585.7666667,2016-02-22
22884,187,18,63013.7166667,2016-02-23
21169,160,25,59958.3166667,2016-02-24
19874,173,15,56504.4,2016-02-25
20238,191,12,58636.3666667,2016-02-26
19318,133,9,55607.2166667,2016-02-27
16849,111,14,47500.5166667,2016-02-28
15125,136,4,43975.05,2016-02-29
14031,133,7,41261.5666667,2016-03-01
14565,111,9,40543.0,2016-03-02
16058,108,6,46142.0166667,2016-03-03
18646,117,14,54735.3166667,2016-03-04
19174,119,15,55347.6166667,2016-03-05
15728,87,13,44313.35,2016-03-06
17828,139,15,53244.4333333,2016-03-07
15948,128,11,47894.4166667,2016-03-08
15012,97,11,44869.1666667,2016-03-09
15524,110,10,46414.4833333,2016-03-10
18636,131,13,55465.7833333,2016-03-11
20128,126,11,60796.2833333,2016-03-12
13580,129,8,39719.65,2016-03-13
14109,87,5,42292.5666667,2016-03-14
13746,107,4,40663.4,2016-03-15
14474,126,10,43718.5333333,2016-03-16
14181,100,8,42011.3833333,2016-03-17
13023,101,10,38504.9,2016-03-18
13268,101,11,37745.1833333,2016-03-19
10861,88,7,30734.7,2016-03-20
10927,74,6,31300.2,2016-03-21
10356,71,5,30004.7833333,2016-03-22
10070,97,8,29584.0,2016-03-23
10146,85,3,29777.2666667,2016-03-24
10834,84,5,31006.65,2016-03-25
10581,76,7,29760.0166667,2016-03-26
9158,67,2,25077.4,2016-03-27
9541,93,2,26259.25,2016-03-28
9316,76,11,26614.0833333,2016-03-29
9824,61,11,27483.2666667,2016-03-30
12875,108,14,34260.2666667,2016-03-31
15095,123,14,40445.05,2016-04-01
14759,86,16,39685.7833333,2016-04-02
11482,83,11,30789.4833333,2016-04-03
11065,85,12,31362.9333333,2016-04-04
11189,100,4,30720.8833333,2016-04-05
11495,90,6,31760.8333333,2016-04-06
11256,87,14,30711.1833333,2016-04-07
11150,68,4,31871.55,2016-04-08
10798,73,4,30150.15,2016-04-09
8910,54,6,24628.55,2016-04-10
8711,63,6,23945.5833333,2016-04-11
8554,85,5,24332.1666667,2016-04-12
7972,65,0,22659.9666667,2016-04-13
8530,87,8,24335.2166667,2016-04-14
9073,58,7,26718.9333333,2016-04-15
9549,53,5,27224.15,2016-04-16
7861,60,4,21870.1333333,2016-04-17
7955,58,4,22608.2166667,2016-04-18
7813,49,6,22550.9333333,2016-04-19
7289,75,0,21123.6666667,2016-04-20
7591,66,5,22067.3666667,2016-04-21
7980,60,5,22844.7166667,2016-04-22
7710,56,2,22402.5833333,2016-04-23
6459,69,4,17805.45,2016-04-24
6589,48,2,19001.5666667,2016-04-25
6534,54,6,18619.05,2016-04-26
6574,58,3,18159.1833333,2016-04-27
6532,81,2,18457.35,2016-04-28
7108,64,1,20253.5333333,2016-04-29
7437,55,2,21004.6166667,2016-04-30
6182,66,3,16791.9833333,2016-05-01
6281,85,4,17466.7833333,2016-05-02
6046,74,3,17088.2666667,2016-05-03
6243,82,5,17210.0333333,2016-05-04
6273,76,2,17580.4666667,2016-05-05
6159,62,6,17580.2166667,2016-05-06
6234,57,3,17668.8666667,2016-05-07
5167,56,0,13922.1833333,2016-05-08
5238,69,4,14400.4,2016-05-09
5663,97,4,15643.6,2016-05-10
5397,74,4,15068.2833333,2016-05-11
5439,62,2,14974.8666667,2016-05-12
5891,67,3,16279.5,2016-05-13
5827,55,7,16139.2833333,2016-05-14
5255,50,1,14057.85,2016-05-15
4844,55,3,13530.9666667,2016-05-16
4906,69,4,13856.7833333,2016-05-17
5219,74,2,14680.0333333,2016-05-18
5372,69,2,15136.5666667,2016-05-19
6409,92,6,17868.75,2016-05-20
5865,75,5,15993.3,2016-05-21
4980,56,3,13533.2166667,2016-05-22
5138,65,1,14599.2666667,2016-05-23
5540,69,3,15853.45,2016-05-24
5391,51,5,15164.35,2016-05-25
5453,64,6,16096.9,2016-05-26
5750,70,4,15780.95,2016-05-27
5410,43,3,15377.9666667,2016-05-28
5330,52,3,14914.3,2016-05-29
4915,65,3,13958.0833333,2016-05-30
4804,55,2,13462.6,2016-05-31
4791,50,3,13920.1666667,2016-06-01
5057,67,2,14397.7,2016-06-02
5080,63,2,14786.75,2016-06-03
5415,49,4,15433.7166667,2016-06-04
4640,63,3,12716.7666667,2016-06-05
4708,53,2,13594.2,2016-06-06
4776,50,2,13372.45,2016-06-07
4343,46,2,12127.25,2016-06-08
4630,58,2,13149.65,2016-06-09
4852,57,1,13721.4666667,2016-06-10
4579,52,1,12799.7166667,2016-06-11
3911,33,2,10606.2,2016-06-12
3743,52,2,10252.2,2016-06-13
4053,41,2,11446.7166667,2016-06-14
4063,49,1,11268.8,2016-06-15
4032,41,2,10894.4166667,2016-06-16
4285,37,3,12037.7833333,2016-06-17
4318,42,2,12248.3666667,2016-06-18
3567,43,1,10036.7333333,2016-06-19
3658,33,2,10439.3666667,2016-06-20
3872,49,5,10964.45,2016-06-21
3567,41,0,9954.61666667,2016-06-22
3860,68,1,10643.2,2016-06-23
4023,34,2,11499.8333333,2016-06-24
4121,46,1,11203.95,2016-06-25
3504,42,4,9159.91666667,2016-06-26
3645,37,4,9900.91666667,2016-06-27
3514,36,-1,9496.06666667,2016-06-28
3596,43,2,10065.5,2016-06-29
3857,37,3,10468.9833333,2016-06-30
4124,41,2,11334.65,2016-07-01
4045,29,0,10654.0666667,2016-07-02
3779,39,3,9729.83333333,2016-07-03
3732,30,1,10004.3666667,2016-07-04
3299,39,2,8822.31666667,2016-07-05
3294,36,1,8895.36666667,2016-07-06
3175,47,1,8313.03333333,2016-07-07
3404,30,0,9236.5,2016-07-08
3366,34,0,9217.31666667,2016-07-09
2950,32,0,7857.68333333,2016-07-10
3234,51,1,8536.28333333,2016-07-11
3319,47,1,8872.23333333,2016-07-12
3405,43,1,9307.8,2016-07-13
3404,34,1,9445.5,2016-07-14
3439,38,2,9895.8,2016-07-15
3559,26,2,10143.9333333,2016-07-16
2998,32,1,8109.08333333,2016-07-17
2825,48,1,7791.05,2016-07-18
2894,34,1,8123.98333333,2016-07-19
3047,34,1,8348.2,2016-07-20
3044,36,0,8348.01666667,2016-07-21
3315,40,0,9301.76666667,2016-07-22
3292,15,1,9199.51666667,2016-07-23
3049,46,2,8077.76666667,2016-07-24
2984,36,0,7954.31666667,2016-07-25
3148,36,2,8413.66666667,2016-07-26
3101,42,3,8143.85,2016-07-27
3304,47,1,8808.33333333,2016-07-28
3547,29,3,9418.21666667,2016-07-29
3539,40,4,9656.51666667,2016-07-30
3257,39,5,8370.41666667,2016-07-31
3318,39,2,8887.75,2016-08-01
3079,52,2,8161.23333333,2016-08-02
3016,35,0,8211.2,2016-08-03
2978,27,2,8164.65,2016-08-04
3030,26,4,8400.28333333,2016-08-05
2909,24,4,8059.76666667,2016-08-06
2591,28,0,7198.95,2016-08-07
3123,34,5,7956.21666667,2016-08-08
2895,37,0,7355.15,2016-08-09
2923,23,4,7920.83333333,2016-08-10
2828,34,1,7692.23333333,2016-08-11
3704,49,0,9559.38333333,2016-08-12
3316,26,1,8654.21666667,2016-08-13
2937,34,4,7565.66666667,2016-08-14
2682,33,2,6957.16666667,2016-08-15
2988,52,1,7903.45,2016-08-16
3181,42,2,7842.51666667,2016-08-17
3305,38,2,8591.85,2016-08-18
3397,37,1,9429.88333333,2016-08-19
3035,37,1,8403.2,2016-08-20
2633,29,4,7100.8,2016-08-21
2974,34,1,8149.45,2016-08-22
2830,48,3,7983.61666667,2016-08-23
2778,31,3,7823.41666667,2016-08-24
3186,31,3,8567.91666667,2016-08-25
3742,32,1,10029.7833333,2016-08-26
3653,47,0,9567.11666667,2016-08-27
3184,35,3,7906.8,2016-08-28
3267,38,2,8226.56666667,2016-08-29
3231,27,2,8296.66666667,2016-08-30
3121,45,2,8665.46666667,2016-08-31
3041,53,0,8753.08333333,2016-09-01
3481,44,0,9536.43333333,2016-09-02
3233,22,1,8680.25,2016-09-03
2805,19,1,7300.23333333,2016-09-04
2807,26,2,7255.93333333,2016-09-05
2627,37,3,6958.86666667,2016-09-06
2656,23,1,7163.01666667,2016-09-07
2755,38,1,7203.96666667,2016-09-08
3449,38,2,8797.86666667,2016-09-09
3576,33,1,9064.48333333,2016-09-10
2680,18,1,6670.1,2016-09-11
3005,27,1,7902.18333333,2016-09-12
2614,26,2,7161.73333333,2016-09-13
2752,34,0,7203.26666667,2016-09-14
2797,24,1,7600.23333333,2016-09-15
3810,38,2,9833.55,2016-09-16
4747,57,2,11531.9833333,2016-09-17
5145,61,3,11438.5333333,2016-09-18
4951,57,0,12166.3833333,2016-09-19
4954,73,2,11769.9,2016-09-20
4926,65,1,12237.7,2016-09-21
4728,74,4,11375.5333333,2016-09-22
5359,68,1,13692.9666667,2016-09-23
5853,47,5,14116.5833333,2016-09-24
5030,54,4,11684.8,2016-09-25
4717,61,0,12068.4,2016-09-26
4662,38,1,12120.6,2016-09-27
4612,59,4,11449.4,2016-09-28
4511,58,2,11885.7833333,2016-09-29
4731,57,2,12431.5166667,2016-09-30
