dailyViewcount,numShare,numSubscriber,watchTime,date
316477,7549,351,1190632.35,2016-07-29
2121350,21960,1272,5760194.06667,2016-07-30
2321921,21096,1364,5874783.2,2016-07-31
1631485,14141,1236,4438157.26667,2016-08-01
1329694,10562,859,3591175.56667,2016-08-02
1142252,8376,690,3065815.21667,2016-08-03
1133423,7563,556,3040919.71667,2016-08-04
1082086,6528,524,2942493.6,2016-08-05
1082825,5714,446,2948597.41667,2016-08-06
892040,4780,393,2449371.15,2016-08-07
858440,4459,410,2391060.03333,2016-08-08
845097,4038,426,2386067.95,2016-08-09
819594,3711,417,2344230.83333,2016-08-10
795713,3559,330,2291298.7,2016-08-11
804174,3146,290,2347864.0,2016-08-12
764578,2865,268,2244137.01667,2016-08-13
630516,2514,201,1831103.31667,2016-08-14
591779,2554,265,1739854.63333,2016-08-15
660973,2726,236,1941826.43333,2016-08-16
667666,2811,237,1968917.1,2016-08-17
661920,2664,271,1970359.25,2016-08-18
716820,2644,258,2144722.85,2016-08-19
713310,2238,218,2135687.78333,2016-08-20
634707,2145,198,1858709.55,2016-08-21
616634,2131,204,1839870.1,2016-08-22
600592,1940,222,1797314.2,2016-08-23
637409,2088,206,1916596.7,2016-08-24
641941,2102,193,1906527.13333,2016-08-25
661025,2019,174,2019168.28333,2016-08-26
630900,1844,169,1922663.18333,2016-08-27
541565,1686,179,1612755.3,2016-08-28
535869,1620,177,1623439.65,2016-08-29
537063,1592,160,1634490.36667,2016-08-30
532256,1534,162,1638520.16667,2016-08-31
534910,1530,151,1648341.71667,2016-09-01
561480,1412,147,1775494.01667,2016-09-02
564297,1408,140,1757479.75,2016-09-03
509527,1437,144,1547013.36667,2016-09-04
480634,1370,110,1473940.7,2016-09-05
459844,1500,132,1401868.61667,2016-09-06
469739,1341,124,1447654.88333,2016-09-07
480813,1348,132,1491564.18333,2016-09-08
540089,1277,136,1693594.35,2016-09-09
578693,1286,154,1814839.58333,2016-09-10
468647,1191,150,1448622.58333,2016-09-11
449953,1182,128,1409497.48333,2016-09-12
459981,1184,110,1447511.48333,2016-09-13
468367,1120,93,1466332.1,2016-09-14
455757,1114,116,1435795.31667,2016-09-15
459984,1164,117,1459329.15,2016-09-16
478535,1125,119,1499566.86667,2016-09-17
394494,1108,78,1220779.83333,2016-09-18
383840,974,93,1224381.93333,2016-09-19
373196,970,94,1185604.15,2016-09-20
370252,1038,81,1173154.68333,2016-09-21
384539,1108,85,1227289.3,2016-09-22
413238,1108,69,1331829.5,2016-09-23
424155,1061,109,1360493.61667,2016-09-24
359018,972,92,1121060.53333,2016-09-25
332109,909,98,1055366.71667,2016-09-26
324716,847,76,1028594.48333,2016-09-27
333600,850,88,1055682.88333,2016-09-28
345758,964,93,1094628.21667,2016-09-29
400752,952,92,1288716.68333,2016-09-30
435260,938,88,1412003.11667,2016-10-01
313254,825,89,980800.333333,2016-10-02
284658,764,67,901802.0,2016-10-03
281488,746,82,895062.1,2016-10-04
299847,805,91,943511.466667,2016-10-05
305727,788,74,962359.033333,2016-10-06
344252,812,78,1095930.38333,2016-10-07
338095,704,73,1061034.81667,2016-10-08
282291,738,65,872053.85,2016-10-09
283047,706,59,882455.45,2016-10-10
297892,730,85,936784.766667,2016-10-11
298274,748,80,937893.05,2016-10-12
290073,736,93,911718.433333,2016-10-13
318813,678,63,998070.95,2016-10-14
336229,692,76,1059020.46667,2016-10-15
272768,666,67,843491.216667,2016-10-16
269009,661,60,841390.3,2016-10-17
270899,647,64,852313.583333,2016-10-18
279128,707,72,875605.65,2016-10-19
283181,655,55,893065.05,2016-10-20
315554,672,49,1005601.31667,2016-10-21
323767,661,57,1030547.1,2016-10-22
246046,601,56,764337.966667,2016-10-23
227354,594,61,705999.516667,2016-10-24
225580,613,49,707392.533333,2016-10-25
228204,535,63,721283.233333,2016-10-26
245063,627,67,771119.65,2016-10-27
271231,623,66,854971.1,2016-10-28
277997,536,51,876051.25,2016-10-29
226067,546,48,694195.15,2016-10-30
221901,480,52,706444.5,2016-10-31
220540,555,65,686074.733333,2016-11-01
232301,547,61,724727.116667,2016-11-02
237913,580,58,743821.35,2016-11-03
281838,646,92,895660.166667,2016-11-04
285928,616,58,892766.883333,2016-11-05
227532,640,54,700918.483333,2016-11-06
200205,556,41,628490.75,2016-11-07
201311,535,51,630875.6,2016-11-08
196026,464,54,617486.583333,2016-11-09
206770,537,45,650904.45,2016-11-10
236555,508,50,749772.9,2016-11-11
241278,583,46,760036.9,2016-11-12
188614,526,36,581006.066667,2016-11-13
180753,492,44,560155.016667,2016-11-14
178963,546,52,555326.533333,2016-11-15
182510,488,33,567259.116667,2016-11-16
176313,443,40,550515.55,2016-11-17
193626,494,37,611275.366667,2016-11-18
204290,423,45,639621.6,2016-11-19
153747,457,41,463549.25,2016-11-20
146432,457,32,448877.783333,2016-11-21
148984,455,38,460216.083333,2016-11-22
160222,477,38,499388.666667,2016-11-23
154068,447,28,481256.966667,2016-11-24
157055,414,30,492122.016667,2016-11-25
164418,435,31,513057.316667,2016-11-26
117751,432,35,361146.25,2016-11-27
116610,381,33,362978.466667,2016-11-28
118784,357,24,368143.783333,2016-11-29
119614,382,32,366339.233333,2016-11-30
123912,377,36,380836.416667,2016-12-01
148719,373,37,466064.95,2016-12-02
155785,372,24,486052.316667,2016-12-03
126529,379,25,384066.533333,2016-12-04
119994,359,30,370559.45,2016-12-05
125916,384,37,392491.716667,2016-12-06
125971,378,38,392702.816667,2016-12-07
125043,353,28,393891.966667,2016-12-08
131677,327,29,419865.066667,2016-12-09
131801,368,29,416416.2,2016-12-10
101378,358,35,314748.633333,2016-12-11
101205,332,30,318239.133333,2016-12-12
104337,303,24,330641.9,2016-12-13
109658,349,31,348469.483333,2016-12-14
109004,334,23,344721.883333,2016-12-15
118532,352,23,378149.283333,2016-12-16
117888,334,21,370616.2,2016-12-17
95554,355,16,294104.0,2016-12-18
97596,311,25,302406.583333,2016-12-19
95483,316,19,299158.85,2016-12-20
103116,287,27,327465.566667,2016-12-21
108467,310,17,348846.866667,2016-12-22
