dailyViewcount,numShare,numSubscriber,watchTime,date
238365,777,280,801281.433333,2014-06-30
211612,609,209,759879.75,2014-07-01
162411,324,80,645516.883333,2014-07-02
140584,244,62,575549.116667,2014-07-03
146141,204,57,598042.283333,2014-07-04
149316,245,56,602549.5,2014-07-05
148459,223,62,596680.516667,2014-07-06
157310,258,76,634937.533333,2014-07-07
200478,271,76,804205.683333,2014-07-08
205265,317,73,834352.05,2014-07-09
227121,274,88,908901.05,2014-07-10
251712,370,85,1010413.3,2014-07-11
273104,299,98,1080985.7,2014-07-12
252962,258,72,987795.333333,2014-07-13
262499,359,85,1028820.76667,2014-07-14
266126,375,90,1044224.46667,2014-07-15
275465,378,78,1078784.13333,2014-07-16
296171,314,100,1148459.46667,2014-07-17
331383,360,88,1278454.61667,2014-07-18
334271,337,97,1271968.21667,2014-07-19
302145,316,79,1139973.33333,2014-07-20
314758,353,108,1181682.41667,2014-07-21
328197,374,108,1235592.83333,2014-07-22
334915,409,75,1263063.76667,2014-07-23
359493,408,97,1358464.21667,2014-07-24
398359,418,105,1511450.11667,2014-07-25
402976,393,85,1545015.15,2014-07-26
357329,363,104,1356201.45,2014-07-27
389916,405,115,1479698.78333,2014-07-28
398835,415,103,1502482.28333,2014-07-29
400443,411,115,1509591.3,2014-07-30
417984,405,102,1573119.55,2014-07-31
464471,466,103,1742897.88333,2014-08-01
480151,381,125,1787928.4,2014-08-02
442856,349,102,1638359.31667,2014-08-03
451667,436,96,1688712.26667,2014-08-04
438010,466,89,1643709.35,2014-08-05
441060,442,96,1642400.73333,2014-08-06
453245,415,117,1669468.51667,2014-08-07
513770,438,116,1876639.35,2014-08-08
534883,389,103,1923364.25,2014-08-09
481095,379,104,1710863.1,2014-08-10
482225,440,126,1725913.45,2014-08-11
471920,432,103,1681535.7,2014-08-12
473161,391,105,1690544.45,2014-08-13
489601,425,106,1749669.81667,2014-08-14
562518,447,114,1997798.41667,2014-08-15
584162,359,107,2048823.11667,2014-08-16
514032,401,126,1785261.76667,2014-08-17
480392,393,114,1696617.58333,2014-08-18
476919,453,123,1686793.46667,2014-08-19
495792,508,126,1740375.2,2014-08-20
496705,423,111,1755852.41667,2014-08-21
558325,346,113,1972377.81667,2014-08-22
608149,404,133,2100732.11667,2014-08-23
505817,342,110,1746171.68333,2014-08-24
458825,451,115,1618023.66667,2014-08-25
493922,468,125,1720788.86667,2014-08-26
523112,474,141,1818547.61667,2014-08-27
542335,454,127,1883878.26667,2014-08-28
590617,436,130,2062046.7,2014-08-29
636865,384,147,2156583.43333,2014-08-30
588297,380,108,1970313.61667,2014-08-31
551056,412,119,1851996.63333,2014-09-01
489355,393,91,1679844.9,2014-09-02
481622,433,139,1671116.96667,2014-09-03
462022,395,122,1619386.78333,2014-09-04
553034,434,118,1908210.68333,2014-09-05
650792,415,117,2160213.56667,2014-09-06
535547,359,121,1786623.61667,2014-09-07
488663,363,125,1667963.7,2014-09-08
501059,392,131,1715119.36667,2014-09-09
516507,420,116,1754866.5,2014-09-10
542767,473,138,1845321.65,2014-09-11
618507,481,139,2085689.11667,2014-09-12
