dailyViewcount,numShare,numSubscriber,watchTime,date
36166,179,26,89265.2833333,2014-10-06
39945,100,37,122709.633333,2014-10-07
42137,77,31,130549.283333,2014-10-08
32494,66,14,116587.866667,2014-10-09
44436,64,15,135578.3,2014-10-10
52164,66,27,144281.55,2014-10-11
45023,59,28,126758.55,2014-10-12
41366,69,22,128181.266667,2014-10-13
42157,58,24,133150.266667,2014-10-14
40695,51,15,128535.8,2014-10-15
39966,45,29,129617.966667,2014-10-16
43780,58,15,137138.75,2014-10-17
44280,47,15,134814.966667,2014-10-18
37308,33,17,116324.216667,2014-10-19
35709,48,13,117789.433333,2014-10-20
33630,56,17,117017.1,2014-10-21
31466,35,13,113596.25,2014-10-22
32850,43,17,120900.383333,2014-10-23
34274,40,14,122505.4,2014-10-24
35791,32,14,120632.7,2014-10-25
32076,36,8,109938.583333,2014-10-26
32575,36,19,120364.666667,2014-10-27
24921,42,12,93980.9666667,2014-10-28
33780,38,19,125077.6,2014-10-29
36214,47,17,134847.283333,2014-10-30
36164,34,12,137273.2,2014-10-31
38792,32,15,140814.983333,2014-11-01
39948,42,25,145048.833333,2014-11-02
36117,46,15,141686.65,2014-11-03
44215,47,23,172552.666667,2014-11-04
47910,52,24,191150.466667,2014-11-05
52011,49,19,208695.533333,2014-11-06
59446,51,30,231358.283333,2014-11-07
64648,51,26,242550.35,2014-11-08
60808,44,31,228637.7,2014-11-09
63049,59,25,252290.683333,2014-11-10
66628,67,28,261242.016667,2014-11-11
66308,56,22,264684.216667,2014-11-12
70141,66,23,283697.383333,2014-11-13
85842,76,20,318758.383333,2014-11-14
89826,75,27,320818.483333,2014-11-15
85996,73,38,306066.95,2014-11-16
89455,83,35,339338.416667,2014-11-17
92180,78,33,348692.866667,2014-11-18
96933,46,31,362949.483333,2014-11-19
104583,74,40,395003.333333,2014-11-20
117678,79,37,434932.916667,2014-11-21
136423,94,66,467094.333333,2014-11-22
124517,107,58,428846.766667,2014-11-23
117864,111,60,432255.716667,2014-11-24
125831,95,43,451573.916667,2014-11-25
141379,80,47,502447.183333,2014-11-26
138673,107,51,474476.35,2014-11-27
132154,111,29,452654.533333,2014-11-28
199383,99,61,545515.7,2014-11-29
162519,89,58,492689.6,2014-11-30
162496,109,68,545521.266667,2014-12-01
171422,124,75,574339.466667,2014-12-02
168733,123,76,583318.233333,2014-12-03
163663,118,65,564878.866667,2014-12-04
191466,117,78,647891.95,2014-12-05
210036,111,75,688015.05,2014-12-06
187831,98,88,616737.85,2014-12-07
208586,115,82,659364.733333,2014-12-08
216018,139,80,696898.016667,2014-12-09
216881,125,93,713559.166667,2014-12-10
221099,126,86,721339.366667,2014-12-11
233289,117,86,754404.6,2014-12-12
244018,106,80,772896.666667,2014-12-13
228056,146,96,718074.133333,2014-12-14
225118,161,124,754305.25,2014-12-15
219374,137,99,741192.15,2014-12-16
221715,131,102,743049.683333,2014-12-17
234225,160,100,791919.55,2014-12-18
254883,167,109,865214.066667,2014-12-19
264424,171,100,870868.666667,2014-12-20
247121,166,106,795497.633333,2014-12-21
231976,136,112,775005.783333,2014-12-22
171538,139,86,568513.666667,2014-12-23
158503,101,75,524364.85,2014-12-24
147818,90,83,457559.45,2014-12-25
249464,133,75,796207.783333,2014-12-26
256300,84,77,810018.966667,2014-12-27
238556,85,93,736464.633333,2014-12-28
267350,139,97,847788.866667,2014-12-29
291141,142,102,895175.583333,2014-12-30
322882,129,86,1020995.55,2014-12-31
253740,102,92,744438.266667,2015-01-01
260630,104,84,818387.366667,2015-01-02
273290,107,101,824824.45,2015-01-03
251384,84,91,756317.466667,2015-01-04
265953,134,100,826667.183333,2015-01-05
254940,101,88,811046.8,2015-01-06
251141,141,84,812408.783333,2015-01-07
272853,136,93,866503.933333,2015-01-08
302676,139,109,951176.683333,2015-01-09
324457,133,136,994693.733333,2015-01-10
292460,90,106,880495.583333,2015-01-11
283839,154,114,898161.7,2015-01-12
295119,106,137,929362.35,2015-01-13
302598,35,27,953348.5,2015-01-14
320035,118,105,995662.433333,2015-01-15
343458,154,147,1044717.38333,2015-01-16
363133,134,145,1066279.46667,2015-01-17
323432,128,132,935994.833333,2015-01-18
316528,128,128,955526.316667,2015-01-19
294436,138,103,903680.466667,2015-01-20
291600,154,128,899720.616667,2015-01-21
312519,170,128,958787.95,2015-01-22
343802,275,127,1042173.51667,2015-01-23
379100,330,154,1111451.66667,2015-01-24
336993,288,123,977367.783333,2015-01-25
328143,383,137,978872.0,2015-01-26
329584,361,139,984964.033333,2015-01-27
332897,389,131,1000642.28333,2015-01-28
363956,414,178,1085833.76667,2015-01-29
389552,418,148,1158546.08333,2015-01-30
436730,401,165,1254284.85,2015-01-31
369365,365,141,1061087.85,2015-02-01
343121,376,121,1034337.65,2015-02-02
355983,382,131,1075673.6,2015-02-03
368155,458,139,1118405.11667,2015-02-04
384075,382,132,1170203.45,2015-02-05
416884,407,153,1255154.01667,2015-02-06
457887,423,168,1340459.36667,2015-02-07
376251,425,136,1122719.78333,2015-02-08
367990,408,144,1132184.9,2015-02-09
389665,450,150,1191968.9,2015-02-10
402362,406,131,1239286.11667,2015-02-11
401637,420,156,1242677.98333,2015-02-12
435989,442,125,1331628.01667,2015-02-13
455132,407,140,1354314.96667,2015-02-14
393609,389,127,1159206.6,2015-02-15
407630,459,133,1216396.21667,2015-02-16
392882,466,141,1187329.36667,2015-02-17
397969,429,107,1215388.4,2015-02-18
404056,421,126,1226625.93333,2015-02-19
438195,410,156,1313549.48333,2015-02-20
464091,387,111,1356764.15,2015-02-21
402742,404,122,1174880.95,2015-02-22
382384,400,150,1167034.91667,2015-02-23
394176,371,134,1195459.61667,2015-02-24
397984,444,135,1211837.93333,2015-02-25
398493,401,124,1220711.43333,2015-02-26
443423,346,126,1335224.06667,2015-02-27
479006,372,156,1400379.16667,2015-02-28
407021,374,132,1203231.53333,2015-03-01
393255,414,108,1194516.9,2015-03-02
399903,607,123,1211869.85,2015-03-03
413804,743,135,1253882.55,2015-03-04
428343,786,130,1292666.7,2015-03-05
464727,823,128,1393588.33333,2015-03-06
502055,798,132,1463531.43333,2015-03-07
413454,731,119,1201672.3,2015-03-08
409015,789,134,1238869.91667,2015-03-09
414412,844,131,1253727.73333,2015-03-10
422526,837,149,1285238.78333,2015-03-11
442910,773,116,1344823.48333,2015-03-12
480453,822,121,1444395.78333,2015-03-13
531718,757,130,1547460.21667,2015-03-14
461225,779,165,1341135.65,2015-03-15
446894,780,139,1347884.23333,2015-03-16
465010,768,155,1403975.65,2015-03-17
479739,749,118,1434219.1,2015-03-18
490727,800,134,1459443.31667,2015-03-19
520419,781,124,1530655.13333,2015-03-20
554518,736,149,1600179.16667,2015-03-21
471415,703,140,1362522.86667,2015-03-22
450773,744,149,1356768.36667,2015-03-23
464688,825,118,1393894.38333,2015-03-24
475521,708,135,1429259.23333,2015-03-25
477393,698,150,1431671.4,2015-03-26
491907,602,132,1456519.55,2015-03-27
507283,586,129,1462108.83333,2015-03-28
431727,535,117,1232412.76667,2015-03-29
434627,487,120,1277330.23333,2015-03-30
438433,509,120,1285599.63333,2015-03-31
452740,529,114,1320053.25,2015-04-01
519436,545,160,1492897.2,2015-04-02
523407,495,149,1497119.35,2015-04-03
484382,481,117,1387714.61667,2015-04-04
429033,483,115,1226378.51667,2015-04-05
441335,476,117,1287992.76667,2015-04-06
445947,423,120,1307095.18333,2015-04-07
445226,470,131,1307476.88333,2015-04-08
443026,549,102,1293088.88333,2015-04-09
448312,615,132,1310102.16667,2015-04-10
461105,621,112,1320415.63333,2015-04-11
403050,610,100,1146756.78333,2015-04-12
380832,557,97,1109153.53333,2015-04-13
383228,494,81,1120891.15,2015-04-14
383419,516,93,1130908.66667,2015-04-15
397187,563,109,1169822.98333,2015-04-16
421366,471,109,1235860.13333,2015-04-17
447624,495,112,1291134.81667,2015-04-18
387860,546,100,1108704.26667,2015-04-19
363167,466,108,1064065.76667,2015-04-20
367768,511,96,1072490.08333,2015-04-21
386123,494,96,1129105.93333,2015-04-22
405479,479,89,1193869.83333,2015-04-23
432595,496,103,1269088.93333,2015-04-24
455926,484,111,1308137.83333,2015-04-25
398777,444,97,1147789.63333,2015-04-26
376877,478,96,1115833.76667,2015-04-27
379600,434,96,1111806.28333,2015-04-28
397615,460,105,1158835.98333,2015-04-29
410086,458,81,1184446.73333,2015-04-30
438829,456,87,1242783.08333,2015-05-01
432799,402,107,1229495.93333,2015-05-02
385183,381,89,1090606.85,2015-05-03
382988,368,94,1115018.15,2015-05-04
378846,447,91,1098132.38333,2015-05-05
384036,418,105,1111680.26667,2015-05-06
385438,391,74,1124646.58333,2015-05-07
398195,419,87,1156052.08333,2015-05-08
416500,377,96,1193112.55,2015-05-09
369144,346,99,1056132.68333,2015-05-10
359065,403,77,1057768.11667,2015-05-11
351771,441,88,1032409.93333,2015-05-12
361160,680,73,1054361.83333,2015-05-13
354229,592,90,1018446.9,2015-05-14
361076,642,96,1030630.38333,2015-05-15
396557,663,80,1124540.28333,2015-05-16
347361,601,90,983533.983333,2015-05-17
328985,625,88,952775.566667,2015-05-18
331631,597,82,957336.4,2015-05-19
336737,643,86,981602.05,2015-05-20
318687,587,72,924491.65,2015-05-21
335735,576,75,963721.166667,2015-05-22
344922,630,76,974079.066667,2015-05-23
316054,623,60,886191.05,2015-05-24
304825,593,78,869349.716667,2015-05-25
294624,571,76,857482.5,2015-05-26
297625,567,76,867308.183333,2015-05-27
308631,577,67,901684.566667,2015-05-28
316575,562,77,919901.9,2015-05-29
319165,526,72,916224.266667,2015-05-30
281544,524,71,801610.8,2015-05-31
282507,504,54,823345.5,2015-06-01
290830,626,69,847310.8,2015-06-02
298950,572,76,870920.333333,2015-06-03
304991,514,74,891034.133333,2015-06-04
313672,567,76,919149.583333,2015-06-05
310689,566,69,898844.65,2015-06-06
281414,533,60,811963.416667,2015-06-07
284838,511,68,842895.316667,2015-06-08
292722,522,66,862241.15,2015-06-09
297541,572,73,876169.15,2015-06-10
307773,491,54,906346.616667,2015-06-11
314991,543,83,926244.333333,2015-06-12
314915,538,71,914959.3,2015-06-13
285024,613,70,821511.0,2015-06-14
299717,534,73,881050.566667,2015-06-15
291915,513,65,848215.666667,2015-06-16
289329,526,88,836899.066667,2015-06-17
303525,484,71,888008.45,2015-06-18
323719,528,66,956147.216667,2015-06-19
307313,501,77,896317.383333,2015-06-20
267996,435,46,774366.166667,2015-06-21
279911,501,66,822114.05,2015-06-22
271189,506,60,796846.3,2015-06-23
260299,497,53,770281.5,2015-06-24
250286,468,57,742164.383333,2015-06-25
264408,492,60,791870.333333,2015-06-26
267068,495,64,784270.583333,2015-06-27
238666,584,61,678702.8,2015-06-28
260707,496,65,767395.816667,2015-06-29
264689,527,70,783779.05,2015-06-30
261948,466,52,772765.866667,2015-07-01
265144,455,71,779550.833333,2015-07-02
268773,494,56,787297.116667,2015-07-03
247949,436,62,728858.133333,2015-07-04
226132,444,43,647703.433333,2015-07-05
241186,457,47,702382.483333,2015-07-06
244571,438,53,716617.333333,2015-07-07
248991,467,66,734003.633333,2015-07-08
247032,475,57,724342.016667,2015-07-09
252536,484,35,743792.283333,2015-07-10
244549,482,45,713689.816667,2015-07-11
217842,453,54,622562.766667,2015-07-12
233812,459,60,679029.6,2015-07-13
233909,413,57,685459.3,2015-07-14
235015,454,55,693334.166667,2015-07-15
236372,461,58,691183.333333,2015-07-16
241857,442,65,709519.316667,2015-07-17
232012,396,41,674337.85,2015-07-18
202342,404,39,579619.816667,2015-07-19
216366,407,51,632755.283333,2015-07-20
218500,403,53,641138.4,2015-07-21
220901,409,40,652076.333333,2015-07-22
220852,431,43,653073.566667,2015-07-23
234961,467,45,697545.85,2015-07-24
210178,411,42,614133.133333,2015-07-25
185783,373,41,531026.033333,2015-07-26
196095,418,56,572712.333333,2015-07-27
206310,385,33,610063.683333,2015-07-28
209618,396,50,629412.9,2015-07-29
217509,370,53,649061.05,2015-07-30
214268,367,50,634121.4,2015-07-31
196860,347,37,576142.05,2015-08-01
175334,372,28,507331.0,2015-08-02
192658,372,39,568123.766667,2015-08-03
197058,396,52,585732.683333,2015-08-04
189120,408,45,559025.616667,2015-08-05
188656,365,34,556022.95,2015-08-06
195515,360,34,571750.266667,2015-08-07
189755,336,50,556351.583333,2015-08-08
170648,363,31,494370.216667,2015-08-09
178597,378,47,527596.566667,2015-08-10
176704,340,40,523636.716667,2015-08-11
169292,355,37,505542.683333,2015-08-12
170822,376,47,505619.833333,2015-08-13
184529,390,40,545557.066667,2015-08-14
177590,359,39,519484.866667,2015-08-15
162733,375,41,475476.783333,2015-08-16
175601,355,40,521062.816667,2015-08-17
180000,383,36,533890.166667,2015-08-18
180795,415,42,537841.95,2015-08-19
188624,398,36,560769.833333,2015-08-20
198343,383,52,591414.116667,2015-08-21
192566,370,45,570175.283333,2015-08-22
166278,345,31,479583.216667,2015-08-23
184114,399,41,556654.4,2015-08-24
188233,345,48,566931.916667,2015-08-25
185831,400,39,560779.616667,2015-08-26
177894,380,38,533670.816667,2015-08-27
187131,419,45,555729.2,2015-08-28
186434,369,45,549332.983333,2015-08-29
170863,383,33,505610.966667,2015-08-30
166472,389,52,477897.233333,2015-08-31
203442,398,49,592728.066667,2015-09-01
