dailyViewcount,numShare,numSubscriber,watchTime,date
261332,2538,1298,916425.883333,2013-06-06
691302,2109,1149,2338923.16667,2013-06-07
392071,1237,706,1574283.26667,2013-06-08
286366,1258,626,1176681.5,2013-06-09
297362,1258,625,1161516.95,2013-06-10
238464,1034,469,969228.966667,2013-06-11
247470,994,446,1006059.75,2013-06-12
233291,825,402,966848.416667,2013-06-13
252575,914,425,1023740.76667,2013-06-14
287074,944,433,1155149.96667,2013-06-15
301165,1377,460,1222908.8,2013-06-16
358866,1264,718,1322059.68333,2013-06-17
307492,1021,489,1230002.48333,2013-06-18
300825,974,468,1247606.53333,2013-06-19
275388,963,391,1151254.51667,2013-06-20
300787,931,355,1207787.13333,2013-06-21
335284,938,462,1326129.88333,2013-06-22
344020,983,493,1377483.8,2013-06-23
282380,894,400,1155074.85,2013-06-24
286929,770,354,1166849.91667,2013-06-25
327519,814,383,1320599.8,2013-06-26
346009,943,419,1362943.65,2013-06-27
378351,965,397,1459014.7,2013-06-28
409121,888,425,1550911.91667,2013-06-29
356736,819,339,1357230.73333,2013-06-30
361994,911,386,1402055.85,2013-07-01
338112,883,349,1318867.5,2013-07-02
373966,906,396,1447294.7,2013-07-03
388271,950,415,1498656.68333,2013-07-04
394584,872,396,1484643.53333,2013-07-05
406593,899,425,1501019.58333,2013-07-06
380932,836,418,1421632.41667,2013-07-07
397591,928,437,1497932.4,2013-07-08
393889,886,408,1486988.16667,2013-07-09
384633,807,403,1446945.93333,2013-07-10
425487,915,396,1508239.6,2013-07-11
485212,956,467,1641909.2,2013-07-12
488890,923,434,1615054.36667,2013-07-13
451220,830,420,1519747.45,2013-07-14
449525,834,444,1544651.1,2013-07-15
441038,891,372,1511200.11667,2013-07-16
429960,841,378,1468378.33333,2013-07-17
441687,800,356,1495984.95,2013-07-18
481056,860,335,1681695.36667,2013-07-19
517095,800,372,1777600.31667,2013-07-20
455958,850,339,1575217.25,2013-07-21
461110,806,372,1623266.18333,2013-07-22
437648,824,344,1554187.51667,2013-07-23
455758,817,378,1600088.41667,2013-07-24
457491,623,332,1599784.86667,2013-07-25
489990,854,408,1666225.28333,2013-07-26
483028,882,362,1611434.13333,2013-07-27
447425,818,353,1497822.36667,2013-07-28
468954,809,410,1621085.2,2013-07-29
478344,856,393,1646058.41667,2013-07-30
459071,874,383,1583583.65,2013-07-31
452775,850,371,1551087.36667,2013-08-01
459898,774,357,1567077.7,2013-08-02
451947,756,344,1516246.13333,2013-08-03
421288,699,274,1419467.18333,2013-08-04
430235,688,333,1473787.21667,2013-08-05
430573,738,315,1460006.91667,2013-08-06
471227,710,341,1589323.85,2013-08-07
449400,711,284,1500556.38333,2013-08-08
457490,680,323,1513725.9,2013-08-09
447675,708,314,1473957.01667,2013-08-10
430598,728,325,1428416.25,2013-08-11
441666,763,342,1478347.13333,2013-08-12
450584,827,407,1511834.9,2013-08-13
474865,769,347,1602678.06667,2013-08-14
446732,727,368,1499518.08333,2013-08-15
466797,822,381,1566699.36667,2013-08-16
464843,775,329,1553528.41667,2013-08-17
482876,874,392,1618423.66667,2013-08-18
530763,1034,473,1802978.36667,2013-08-19
503967,940,397,1717497.61667,2013-08-20
499769,879,363,1693778.56667,2013-08-21
513037,911,418,1722667.98333,2013-08-22
547806,957,405,1806759.58333,2013-08-23
584367,944,482,1882275.95,2013-08-24
565711,919,470,1821977.35,2013-08-25
534697,802,478,1758027.85,2013-08-26
533077,920,462,1746944.96667,2013-08-27
548276,918,478,1803229.6,2013-08-28
535769,934,442,1760631.75,2013-08-29
590108,887,437,1938297.58333,2013-08-30
603633,922,478,1966172.2,2013-08-31
554474,874,450,1824776.23333,2013-09-01
527534,856,426,1752358.83333,2013-09-02
481474,747,435,1614231.65,2013-09-03
509530,816,429,1700982.33333,2013-09-04
468060,841,387,1572293.21667,2013-09-05
519000,868,387,1696374.9,2013-09-06
645275,913,455,2071526.7,2013-09-07
572056,1015,492,1858626.46667,2013-09-08
472692,879,381,1567091.18333,2013-09-09
483075,812,418,1601688.2,2013-09-10
531005,843,434,1763645.76667,2013-09-11
455635,833,348,1525859.8,2013-09-12
517445,813,417,1692222.91667,2013-09-13
692369,995,490,2203378.21667,2013-09-14
587711,890,423,1893918.13333,2013-09-15
429827,783,298,1438541.63333,2013-09-16
440904,749,338,1473438.26667,2013-09-17
511927,808,342,1687771.66667,2013-09-18
460703,628,402,1539672.91667,2013-09-19
527214,853,379,1730343.86667,2013-09-20
660043,893,564,2125353.23333,2013-09-21
571068,869,479,1847776.73333,2013-09-22
431732,776,352,1430661.9,2013-09-23
442578,810,340,1464313.45,2013-09-24
491781,783,371,1620541.6,2013-09-25
454692,764,353,1508268.03333,2013-09-26
540620,830,413,1752335.78333,2013-09-27
672850,900,514,2136474.06667,2013-09-28
606093,915,452,1943865.3,2013-09-29
442954,678,398,1466680.03333,2013-09-30
446170,696,326,1465019.66667,2013-10-01
497838,725,365,1618111.91667,2013-10-02
445323,723,322,1458081.06667,2013-10-03
524551,721,368,1677670.06667,2013-10-04
671347,876,433,2128009.53333,2013-10-05
575256,852,451,1858388.03333,2013-10-06
428761,754,301,1423222.13333,2013-10-07
444448,668,352,1466388.83333,2013-10-08
490507,672,336,1596342.85,2013-10-09
462667,709,337,1505640.08333,2013-10-10
529645,730,365,1704289.63333,2013-10-11
656621,793,421,2087025.85,2013-10-12
577904,807,368,1869944.4,2013-10-13
463519,741,344,1522821.35,2013-10-14
470738,705,327,1534945.06667,2013-10-15
508689,718,398,1647561.46667,2013-10-16
476010,741,410,1562363.76667,2013-10-17
559200,815,420,1803528.28333,2013-10-18
680807,859,525,2158770.55,2013-10-19
592194,821,445,1895629.5,2013-10-20
496147,848,379,1600332.63333,2013-10-21
477793,679,414,1540437.66667,2013-10-22
498172,686,397,1600148.0,2013-10-23
496505,699,387,1602100.4,2013-10-24
546801,711,425,1740005.7,2013-10-25
605401,810,481,1896938.63333,2013-10-26
547600,744,442,1743328.1,2013-10-27
489408,695,391,1558066.05,2013-10-28
