dailyViewcount,numShare,numSubscriber,watchTime,date
1595218,16798,672,4637678.08333,2015-11-14
2203896,14249,1099,6598580.11667,2015-11-15
2423171,15861,1459,8102584.11667,2015-11-16
2547307,15180,1170,9049272.51667,2015-11-17
2540754,14678,1111,9353712.88333,2015-11-18
2413361,12614,845,8981502.26667,2015-11-19
2484050,12506,907,8901688.8,2015-11-20
2576444,12528,831,9203295.81667,2015-11-21
2488130,12870,767,9123856.6,2015-11-22
2425818,11858,754,9160607.95,2015-11-23
2450802,11692,648,9251001.08333,2015-11-24
2517278,11394,584,9434490.75,2015-11-25
2487108,10842,612,9194697.71667,2015-11-26
2583250,10631,614,9221249.8,2015-11-27
2736141,11460,643,9679372.18333,2015-11-28
2574907,12355,596,9558711.01667,2015-11-29
2828517,11381,685,10393381.9833,2015-11-30
2885255,11427,636,10554613.4333,2015-12-01
2660028,10552,594,9964108.18333,2015-12-02
2546756,10301,572,9600236.36667,2015-12-03
2682062,10421,541,9730175.46667,2015-12-04
3059525,10976,650,10678426.35,2015-12-05
2781898,11406,619,9966303.41667,2015-12-06
2521898,11544,598,9451244.76667,2015-12-07
2499291,11349,548,9318731.85,2015-12-08
2634357,11914,597,9704072.38333,2015-12-09
2781340,11680,555,10047223.3333,2015-12-10
2915010,11325,606,10263292.6833,2015-12-11
3027844,11865,606,10549238.7,2015-12-12
2657671,12114,580,9591980.98333,2015-12-13
2556674,11163,542,9398411.63333,2015-12-14
2619246,11582,580,9523273.05,2015-12-15
2642725,11764,531,9565148.26667,2015-12-16
2736320,12251,524,9841107.16667,2015-12-17
2891478,12699,591,10190776.3167,2015-12-18
2972933,12772,608,10337904.6167,2015-12-19
3088866,13925,660,10677937.05,2015-12-20
3463071,14132,694,12070087.4667,2015-12-21
3581550,13897,678,12355777.6667,2015-12-22
3563900,13918,625,12350696.0,2015-12-23
3501031,12034,574,11939485.5333,2015-12-24
3228195,12608,531,10375021.7333,2015-12-25
3162758,13302,571,10480853.2667,2015-12-26
2952458,13023,521,9945559.88333,2015-12-27
3062078,13446,525,10465000.35,2015-12-28
3122765,14476,560,10628961.6833,2015-12-29
3229791,14006,546,10989310.85,2015-12-30
3602772,11233,446,11979726.7833,2015-12-31
2718608,11589,473,8751745.15,2016-01-01
3082510,13734,534,10114262.0333,2016-01-02
2935271,15457,543,9801047.15,2016-01-03
3101387,15160,541,10577137.9167,2016-01-04
3145936,14919,604,10720116.2333,2016-01-05
3360286,16352,655,11415575.3333,2016-01-06
3508871,16912,696,11918379.0667,2016-01-07
3763872,16979,706,12545412.1667,2016-01-08
4025776,17907,699,13140694.3,2016-01-09
3713307,19457,662,12216397.2333,2016-01-10
3628830,17043,614,12125173.8333,2016-01-11
3644536,17099,647,12217368.0,2016-01-12
3575350,17146,695,12035006.25,2016-01-13
3542647,17203,691,11934081.3333,2016-01-14
3917638,17618,727,12822866.8333,2016-01-15
4137108,18561,702,13320172.5667,2016-01-16
3640158,18372,652,11811093.2667,2016-01-17
3589561,17359,673,11821694.3833,2016-01-18
3495664,17168,675,11555894.1667,2016-01-19
3557087,17495,652,11707806.7667,2016-01-20
3619693,17998,618,11885395.4667,2016-01-21
3908529,18208,670,12584584.4,2016-01-22
4187561,19570,733,13278558.0167,2016-01-23
3691467,20500,632,11794691.4167,2016-01-24
3520580,17615,677,11571573.8333,2016-01-25
3566670,17499,730,11756979.35,2016-01-26
3581240,18077,674,11858215.45,2016-01-27
3642443,18546,755,11995978.4,2016-01-28
4025682,18599,759,13004853.05,2016-01-29
4294065,20149,814,13606361.8833,2016-01-30
3917038,21634,730,12540585.4333,2016-01-31
3754716,19282,749,12255253.7667,2016-02-01
3795316,18623,725,12428077.85,2016-02-02
3812830,19349,691,12473305.0,2016-02-03
3980284,19927,737,12875320.0833,2016-02-04
4363527,19940,762,13728557.85,2016-02-05
4713430,21826,845,14487137.0333,2016-02-06
4112378,21506,744,12732235.6833,2016-02-07
3622937,18759,622,11523774.4,2016-02-08
3715921,18478,672,11830646.65,2016-02-09
3741790,18654,652,12006934.3833,2016-02-10
3780933,18553,700,12183556.45,2016-02-11
4105561,18606,744,13064695.9167,2016-02-12
4472736,21212,869,14003122.5,2016-02-13
3640565,21242,691,11735189.2667,2016-02-14
3479664,19257,671,11374256.7667,2016-02-15
3458210,19821,698,11368434.5333,2016-02-16
3398426,19226,676,11188237.9,2016-02-17
3593914,19666,714,11742093.3,2016-02-18
3988764,19719,793,12664766.6667,2016-02-19
4432790,21655,910,13723595.3,2016-02-20
3917741,21338,801,12176800.3167,2016-02-21
3738469,18243,698,11851169.3333,2016-02-22
3977420,18972,713,12454400.8167,2016-02-23
4131353,19619,716,12887357.4667,2016-02-24
4148014,21025,848,13091468.1167,2016-02-25
4427194,20790,721,13886572.3667,2016-02-26
4687719,21712,866,14531156.4667,2016-02-27
4026750,21427,801,12581799.9,2016-02-28
3824835,18019,693,12142899.7167,2016-02-29
3974580,19578,734,12556768.55,2016-03-01
3891191,18297,719,12442238.8833,2016-03-02
4053617,18389,730,13008300.75,2016-03-03
4687170,19623,778,14652921.2667,2016-03-04
5268911,21690,915,15962603.0667,2016-03-05
4304056,20409,670,13606610.35,2016-03-06
3593171,17225,647,11632348.7167,2016-03-07
3202411,15973,593,10312988.2667,2016-03-08
3329863,16628,623,10638971.95,2016-03-09
3716420,17005,666,11917536.3667,2016-03-10
4266729,17657,721,13468738.2667,2016-03-11
4888415,20370,910,14762651.5833,2016-03-12
3711814,18402,635,11629603.4333,2016-03-13
3556772,15851,574,11478052.0333,2016-03-14
3790517,16186,628,12133528.2,2016-03-15
