dailyViewcount,numShare,numSubscriber,watchTime,date
1335,14,1,15702.6333333,2016-03-09
714,9,2,10861.4,2016-03-10
551,4,2,7494.91666667,2016-03-11
480,4,1,5676.68333333,2016-03-12
527,4,0,7185.21666667,2016-03-13
524,3,2,9198.76666667,2016-03-14
536,5,1,8407.45,2016-03-15
707,4,2,9874.83333333,2016-03-16
716,8,1,10998.8,2016-03-17
893,10,4,14071.2666667,2016-03-18
935,3,2,12279.75,2016-03-19
1086,5,2,14362.1833333,2016-03-20
1189,5,2,19658.2,2016-03-21
2150,9,8,37818.0666667,2016-03-22
2484,7,15,44078.9166667,2016-03-23
3390,6,9,55590.75,2016-03-24
4903,14,20,93255.85,2016-03-25
5245,15,19,93053.3333333,2016-03-26
4837,15,20,82080.9666667,2016-03-27
5514,8,20,108400.5,2016-03-28
5888,13,29,123673.866667,2016-03-29
5455,10,21,120084.566667,2016-03-30
5961,19,19,128539.5,2016-03-31
7968,24,25,161010.6,2016-04-01
11859,31,58,219303.883333,2016-04-02
12436,33,44,239353.266667,2016-04-03
22681,52,110,493739.766667,2016-04-04
11372,39,33,241268.083333,2016-04-05
20388,64,64,421323.966667,2016-04-06
32784,81,131,654877.033333,2016-04-07
44757,98,187,832542.566667,2016-04-08
25330,56,75,461633.333333,2016-04-09
16467,29,48,297944.683333,2016-04-10
12550,19,26,261351.333333,2016-04-11
14041,26,32,289266.516667,2016-04-12
13198,23,23,254429.466667,2016-04-13
19916,46,28,381375.5,2016-04-14
21105,45,53,367851.566667,2016-04-15
27941,68,54,449902.966667,2016-04-16
23427,63,60,371561.633333,2016-04-17
20549,51,45,375944.2,2016-04-18
36365,72,143,678593.116667,2016-04-19
20547,37,54,391696.766667,2016-04-20
25235,73,62,465319.25,2016-04-21
18009,31,35,325087.466667,2016-04-22
16768,28,47,278887.4,2016-04-23
19964,56,59,321755.133333,2016-04-24
19255,47,41,348334.05,2016-04-25
18189,40,49,336404.566667,2016-04-26
18745,39,45,350756.383333,2016-04-27
17725,37,38,325761.233333,2016-04-28
33040,109,91,595178.55,2016-04-29
20739,48,55,342457.0,2016-04-30
26977,90,88,425725.183333,2016-05-01
20204,59,35,364804.7,2016-05-02
30527,92,75,541764.116667,2016-05-03
22975,64,41,416921.65,2016-05-04
27303,73,57,483298.533333,2016-05-05
29793,83,65,514795.916667,2016-05-06
24347,73,51,396235.266667,2016-05-07
30036,95,83,494237.766667,2016-05-08
20087,42,26,394469.083333,2016-05-09
18789,43,33,369042.533333,2016-05-10
20826,55,23,405964.016667,2016-05-11
32180,74,81,592065.666667,2016-05-12
38694,110,125,689985.95,2016-05-13
36094,124,91,589040.1,2016-05-14
24466,68,53,411824.283333,2016-05-15
28309,59,77,513432.783333,2016-05-16
28552,71,72,531914.4,2016-05-17
40249,94,107,733883.5,2016-05-18
41649,120,101,722072.316667,2016-05-19
41612,119,82,709497.9,2016-05-20
41570,112,95,660926.316667,2016-05-21
24210,75,53,390628.316667,2016-05-22
31580,100,67,551657.783333,2016-05-23
38874,100,95,678829.35,2016-05-24
30039,66,69,523038.066667,2016-05-25
32166,95,52,528857.683333,2016-05-26
25150,61,30,439035.166667,2016-05-27
30842,74,46,467307.516667,2016-05-28
26320,88,54,414888.15,2016-05-29
36543,103,88,627461.15,2016-05-30
39495,108,105,675716.0,2016-05-31
23956,73,32,425741.9,2016-06-01
24187,58,35,430863.516667,2016-06-02
