dailyViewcount,numShare,numSubscriber,watchTime,date
179289,250,316,566688.5,2014-08-11
170519,115,116,548572.15,2014-08-12
188527,93,95,608728.7,2014-08-13
206430,109,110,691093.966667,2014-08-14
216286,98,117,729371.633333,2014-08-15
207874,84,84,713215.316667,2014-08-16
187215,97,100,638122.183333,2014-08-17
185659,123,143,642566.833333,2014-08-18
175630,121,122,612965.016667,2014-08-19
187949,140,127,647572.25,2014-08-20
198810,109,152,688027.316667,2014-08-21
212464,74,136,735053.416667,2014-08-22
235227,104,133,797460.233333,2014-08-23
206193,90,94,700301.216667,2014-08-24
183705,125,100,639454.066667,2014-08-25
372033,298,300,1199974.73333,2014-08-26
444086,302,372,1428390.7,2014-08-27
447001,312,329,1450963.06667,2014-08-28
379279,202,272,1269634.11667,2014-08-29
486879,239,283,1571793.6,2014-08-30
454312,175,259,1450780.7,2014-08-31
411132,185,238,1318627.38333,2014-09-01
359546,228,235,1166231.61667,2014-09-02
364988,227,251,1187419.81667,2014-09-03
383964,246,252,1252866.76667,2014-09-04
463213,238,274,1490198.7,2014-09-05
560271,231,297,1766758.5,2014-09-06
440374,199,245,1393690.15,2014-09-07
393250,190,232,1246763.18333,2014-09-08
399415,236,217,1283763.35,2014-09-09
415595,214,213,1323028.46667,2014-09-10
414880,227,220,1322284.95,2014-09-11
481043,215,242,1511074.76667,2014-09-12
546627,220,271,1712828.31667,2014-09-13
428138,207,225,1345944.06667,2014-09-14
366856,187,190,1165054.21667,2014-09-15
363134,168,191,1164582.41667,2014-09-16
369098,207,191,1178134.71667,2014-09-17
398061,183,209,1232053.4,2014-09-18
478521,191,252,1472102.6,2014-09-19
566704,214,277,1724838.96667,2014-09-20
472446,194,230,1429852.01667,2014-09-21
395429,181,233,1217811.48333,2014-09-22
428255,224,244,1300429.81667,2014-09-23
463016,255,233,1398285.08333,2014-09-24
506585,221,236,1515841.26667,2014-09-25
518926,245,246,1575637.23333,2014-09-26
597789,225,266,1799649.93333,2014-09-27
