dailyViewcount,numShare,numSubscriber,watchTime,date
226852,5456,0,754924.383333,2017-01-26
305278,3128,0,928497.5,2017-01-27
239485,1821,236,718857.766667,2017-01-28
206787,1443,209,617857.65,2017-01-29
207968,1173,173,622962.55,2017-01-30
185831,911,160,554678.35,2017-01-31
182393,811,114,540542.25,2017-02-01
181342,827,133,522789.833333,2017-02-02
193230,729,106,535245.233333,2017-02-03
182132,686,108,507559.316667,2017-02-04
154655,594,90,440064.9,2017-02-05
144075,595,77,409807.733333,2017-02-06
143821,467,57,409781.15,2017-02-07
137950,472,67,393220.1,2017-02-08
145401,450,67,409230.4,2017-02-09
150378,457,51,415028.483333,2017-02-10
149409,435,56,409862.583333,2017-02-11
129172,405,63,360321.866667,2017-02-12
141798,449,57,403120.716667,2017-02-13
129633,347,48,371299.816667,2017-02-14
122470,322,51,348350.966667,2017-02-15
121326,359,46,344294.9,2017-02-16
127545,324,51,361139.783333,2017-02-17
124232,324,30,348944.816667,2017-02-18
110124,321,36,314542.8,2017-02-19
110456,297,44,318275.866667,2017-02-20
107857,351,37,309803.416667,2017-02-21
117246,368,63,325058.166667,2017-02-22
109724,338,58,315036.383333,2017-02-23
114842,300,33,325611.983333,2017-02-24
120772,341,49,339215.866667,2017-02-25
106884,336,32,306352.166667,2017-02-26
101948,255,33,294027.75,2017-02-27
104975,275,34,301135.683333,2017-02-28
101855,276,35,291671.833333,2017-03-01
103666,273,40,295215.883333,2017-03-02
117620,297,44,327559.483333,2017-03-03
127350,345,41,356091.016667,2017-03-04
114218,326,40,324451.8,2017-03-05
108270,331,48,308267.45,2017-03-06
106718,293,43,303244.6,2017-03-07
105387,291,31,301054.716667,2017-03-08
109061,296,33,311807.483333,2017-03-09
118430,251,31,333352.533333,2017-03-10
131350,296,45,371616.716667,2017-03-11
114457,316,37,327926.416667,2017-03-12
106666,274,29,307247.95,2017-03-13
110294,240,37,318188.95,2017-03-14
110638,280,32,319403.283333,2017-03-15
115266,274,31,330441.35,2017-03-16
127368,291,34,362119.966667,2017-03-17
131758,297,43,371718.466667,2017-03-18
110924,291,32,313199.6,2017-03-19
103639,245,30,294760.383333,2017-03-20
107117,281,28,302495.4,2017-03-21
104000,251,30,295930.583333,2017-03-22
108805,236,18,311638.5,2017-03-23
120010,224,28,337385.633333,2017-03-24
130193,228,30,368135.35,2017-03-25
110579,219,23,315436.216667,2017-03-26
101884,224,23,293676.45,2017-03-27
104231,239,40,300581.733333,2017-03-28
110172,238,30,316491.816667,2017-03-29
115281,241,35,330554.9,2017-03-30
143299,235,33,400176.533333,2017-03-31
130180,259,32,363515.7,2017-04-01
111357,233,38,313012.95,2017-04-02
109074,227,28,308224.35,2017-04-03
109113,225,29,308693.316667,2017-04-04
111917,197,21,316281.75,2017-04-05
121793,260,36,337791.283333,2017-04-06
128882,224,29,357616.783333,2017-04-07
127876,272,17,354063.4,2017-04-08
115154,236,23,318054.933333,2017-04-09
110240,226,24,307246.766667,2017-04-10
116593,227,24,325879.916667,2017-04-11
112012,191,23,312111.516667,2017-04-12
123799,235,22,344746.766667,2017-04-13
127967,223,24,352574.933333,2017-04-14
124272,218,21,344006.166667,2017-04-15
115304,176,19,316295.9,2017-04-16
109331,229,32,302769.45,2017-04-17
111383,208,25,306520.316667,2017-04-18
112655,228,28,309299.7,2017-04-19
121404,214,26,330275.616667,2017-04-20
132889,229,32,360048.55,2017-04-21
140834,259,25,380319.583333,2017-04-22
127956,241,27,350298.0,2017-04-23
127268,218,23,350039.0,2017-04-24
131013,210,31,360779.733333,2017-04-25
126005,222,22,346021.7,2017-04-26
129657,226,25,356725.6,2017-04-27
145408,216,26,394678.5,2017-04-28
155803,241,32,421236.666667,2017-04-29
141061,231,26,381108.5,2017-04-30
136110,190,23,376086.0,2017-05-01
122071,184,24,335071.983333,2017-05-02
122738,169,29,334785.883333,2017-05-03
120088,208,22,329112.4,2017-05-04
140864,254,25,382124.5,2017-05-05
156766,253,24,424568.416667,2017-05-06
145704,232,26,399005.666667,2017-05-07
132582,218,31,362481.083333,2017-05-08
135599,207,24,371111.6,2017-05-09
133251,180,16,363512.266667,2017-05-10
118421,179,28,326733.833333,2017-05-11
147110,219,17,408685.833333,2017-05-12
166527,232,32,460723.483333,2017-05-13
138752,239,24,388235.683333,2017-05-14
114250,187,25,320463.2,2017-05-15
119504,213,21,335039.516667,2017-05-16
118613,211,31,329336.8,2017-05-17
123219,203,23,338592.616667,2017-05-18
136093,195,25,371529.55,2017-05-19
165213,223,24,452907.583333,2017-05-20
137682,200,20,381764.25,2017-05-21
125496,184,29,344641.45,2017-05-22
