dailyViewcount,numShare,numSubscriber,watchTime,date
303954,8885,684,839041.916667,2016-10-21
459692,10471,807,1227948.6,2016-10-22
421165,10252,682,1189338.68333,2016-10-23
466305,8929,594,1382591.63333,2016-10-24
555255,10050,647,1655594.26667,2016-10-25
657467,11168,641,1985503.33333,2016-10-26
781947,11627,754,2308309.23333,2016-10-27
692708,10468,519,2097437.96667,2016-10-28
720629,10261,554,2169821.65,2016-10-29
709821,10693,601,2152924.48333,2016-10-30
711420,9577,421,2255702.56667,2016-10-31
716569,10507,441,2283116.98333,2016-11-01
753239,11713,471,2459615.48333,2016-11-02
801811,11700,491,2624506.18333,2016-11-03
874439,11902,446,2858188.86667,2016-11-04
953990,11932,476,3119664.11667,2016-11-05
924305,12605,433,3047822.55,2016-11-06
846674,11367,353,2878352.53333,2016-11-07
892029,11355,385,3021172.15,2016-11-08
933588,11462,377,3159190.25,2016-11-09
1021332,12565,431,3444055.31667,2016-11-10
1116321,13199,410,3715572.23333,2016-11-11
1248054,13824,523,4107314.91667,2016-11-12
1168998,13806,481,3871874.85,2016-11-13
1138792,13163,452,3822408.0,2016-11-14
1233327,13060,456,4107990.51667,2016-11-15
1334900,14155,509,4437850.45,2016-11-16
1504271,14984,517,4975500.16667,2016-11-17
1680913,15708,611,5480402.48333,2016-11-18
1882951,16848,668,6065947.68333,2016-11-19
1693601,17408,593,5509582.9,2016-11-20
1498796,15131,525,5044609.1,2016-11-21
1556051,15509,482,5218110.03333,2016-11-22
1643304,15898,563,5488870.6,2016-11-23
1689182,16364,480,5635603.7,2016-11-24
1903011,17001,541,6220230.56667,2016-11-25
2196032,19006,643,7099365.91667,2016-11-26
1958335,21066,594,6363818.5,2016-11-27
1833376,18655,558,6129016.65,2016-11-28
1937320,19574,620,6371750.81667,2016-11-29
2019089,19329,581,6646098.88333,2016-11-30
2110768,19501,649,6918306.38333,2016-12-01
2277523,19994,661,7420785.33333,2016-12-02
2542129,22067,701,8186570.23333,2016-12-03
2275399,22575,683,7384391.53333,2016-12-04
2081692,19457,600,6899853.08333,2016-12-05
2132042,20387,630,7032869.83333,2016-12-06
2261388,20557,676,7417135.31667,2016-12-07
2424008,21707,717,7904892.61667,2016-12-08
2663573,21879,737,8589550.35,2016-12-09
2958185,24375,784,9459670.46667,2016-12-10
2475680,23750,702,7956726.21667,2016-12-11
2260274,20972,597,7410875.16667,2016-12-12
2297341,20243,602,7531337.31667,2016-12-13
2416785,21295,670,7899004.28333,2016-12-14
2558018,23231,649,8316629.95,2016-12-15
2908107,25356,760,9333821.48333,2016-12-16
3264449,28298,833,10373251.8667,2016-12-17
2863728,28107,785,9124053.43333,2016-12-18
2752110,24966,741,8880255.38333,2016-12-19
2826918,25250,737,9098355.71667,2016-12-20
2947332,25688,842,9481998.36667,2016-12-21
3082865,26507,834,9881850.28333,2016-12-22
3332538,28362,825,10549263.0333,2016-12-23
3311139,25930,779,10406774.5667,2016-12-24
3054358,27183,761,9254623.26667,2016-12-25
3147767,28410,791,9753782.48333,2016-12-26
3260451,29096,811,10181819.7333,2016-12-27
3371125,29172,817,10544767.5167,2016-12-28
3417492,29644,872,10684394.6833,2016-12-29
3638783,31829,872,11303271.4333,2016-12-30
5010165,30010,853,15620516.6167,2016-12-31
2785778,25788,737,8377645.48333,2017-01-01
3305758,31274,911,10213528.9,2017-01-02
3264741,29958,889,10160144.5167,2017-01-03
3539967,31810,948,11003362.0833,2017-01-04
3659711,31278,749,11384930.45,2017-01-05
3911432,34006,784,11969310.95,2017-01-06
4196721,36521,861,12734240.9667,2017-01-07
3691589,36941,749,11252656.7333,2017-01-08
3459674,31721,725,10808987.1167,2017-01-09
3608931,31857,828,11274825.2667,2017-01-10
3928220,34108,806,12146496.4333,2017-01-11
4149709,34563,847,12818943.1833,2017-01-12
4578841,36894,858,13982067.25,2017-01-13
5142524,42162,1027,15580860.85,2017-01-14
4302319,41649,834,13027818.8833,2017-01-15
3811442,33377,724,11791801.9333,2017-01-16
3920461,33389,0,12112598.35,2017-01-17
4014644,33377,0,12403022.0,2017-01-18
4173428,34231,0,12807257.9333,2017-01-19
4462745,35352,0,13541150.5667,2017-01-20
5008505,40320,0,15024211.8333,2017-01-21
4350178,38714,0,13057505.2,2017-01-22
4158122,32810,0,12796580.9667,2017-01-23
4197581,33512,0,12993030.25,2017-01-24
4384962,34482,0,13535013.7833,2017-01-25
4517801,34415,0,13912234.4667,2017-01-26
4865360,36253,0,14787641.2833,2017-01-27
5409586,41563,1364,16174843.3,2017-01-28
4734970,39649,1246,14151561.0167,2017-01-29
4607648,34128,1275,14050476.05,2017-01-30
4558704,34524,1202,13962340.0167,2017-01-31
4835894,35677,1218,14831009.6333,2017-02-01
4908831,35384,1170,14990582.9167,2017-02-02
5253813,36411,1325,15982339.25,2017-02-03
5696816,40839,1305,17208216.75,2017-02-04
4954171,39528,1244,14885477.75,2017-02-05
4889168,34325,1285,14955343.4167,2017-02-06
5076510,37822,1267,15573171.8833,2017-02-07
5286737,38553,1379,16250173.2667,2017-02-08
5314711,38871,1314,16256784.9,2017-02-09
5474606,37497,1312,16601849.4167,2017-02-10
5808260,41214,1388,17460144.45,2017-02-11
5091729,40529,1281,15255394.6833,2017-02-12
4825182,32407,1119,14825460.0667,2017-02-13
4789194,30360,1124,14789351.5167,2017-02-14
4890802,33367,1271,15060119.85,2017-02-15
5163025,33670,1255,15813403.7833,2017-02-16
5679063,36425,1343,17189868.65,2017-02-17
6269738,40439,1544,18817182.0833,2017-02-18
5623329,39660,1354,16878993.4333,2017-02-19
5215617,32961,1310,15953270.3,2017-02-20
5170068,32389,1237,15787930.8167,2017-02-21
6269172,38056,1945,18600308.25,2017-02-22
5925902,33682,1437,18217655.8333,2017-02-23
6352736,36850,1426,19328685.3667,2017-02-24
6765281,38681,1532,20429364.5333,2017-02-25
5836665,37111,1403,17541574.2167,2017-02-26
5350191,32021,1225,16401097.8667,2017-02-27
5429428,31958,1307,16637012.4,2017-02-28
5510984,32157,1329,16880185.7667,2017-03-01
5711345,33061,1360,17470925.75,2017-03-02
6311751,35401,1451,19067163.2,2017-03-03
6912498,39184,1654,20787592.5167,2017-03-04
5982487,37206,1488,17917591.5,2017-03-05
5450506,31190,1233,16721620.9,2017-03-06
5565118,30963,1260,17076163.1833,2017-03-07
