dailyViewcount,numShare,numSubscriber,watchTime,date
32038,596,9,66947.6166667,2017-03-30
145680,1869,62,353064.716667,2017-03-31
104805,1005,28,254800.583333,2017-04-01
104585,1005,17,249514.583333,2017-04-02
91584,777,34,240729.833333,2017-04-03
90733,668,30,241746.116667,2017-04-04
84144,545,38,230795.2,2017-04-05
77775,382,28,213416.316667,2017-04-06
55711,256,9,164495.366667,2017-04-07
47185,201,2,136031.633333,2017-04-08
41490,207,5,119503.7,2017-04-09
46937,218,10,135513.816667,2017-04-10
44140,180,6,126300.766667,2017-04-11
40716,213,13,116297.333333,2017-04-12
24415,133,4,69822.15,2017-04-13
40,0,0,103.116666667,2017-04-14
7,0,0,6.78333333333,2017-04-15
5,0,0,12.4166666667,2017-04-16
7,0,0,12.2333333333,2017-04-17
1,0,0,8.05,2017-04-18
1,0,0,1.03333333333,2017-04-19
1,0,0,2.01666666667,2017-04-20
0,0,0,0.0,2017-04-21
1,0,0,3.63333333333,2017-04-22
3,0,0,12.3166666667,2017-04-23
0,0,0,0.0,2017-04-24
1,0,0,0.0,2017-04-25
1,0,0,0.05,2017-04-26
0,0,0,0.0,2017-04-27
1,0,0,0.966666666667,2017-04-28
1,0,0,2.98333333333,2017-04-29
0,0,0,0.0,2017-04-30
3,0,0,2.95,2017-05-01
0,0,0,0.0,2017-05-02
2010,18,0,4336.51666667,2017-05-03
4954,44,0,12403.6,2017-05-04
7820,61,3,19940.15,2017-05-05
8595,68,1,22367.0833333,2017-05-06
7892,80,6,20796.1333333,2017-05-07
9758,75,2,25885.6333333,2017-05-08
10252,78,8,28547.6,2017-05-09
10079,70,2,27990.1166667,2017-05-10
11270,88,1,31125.2166667,2017-05-11
14801,99,6,39851.3,2017-05-12
13446,83,1,35787.1,2017-05-13
12098,70,2,32934.3666667,2017-05-14
12180,98,5,32808.7166667,2017-05-15
15278,95,4,41134.2833333,2017-05-16
14975,97,6,39817.5333333,2017-05-17
15884,99,7,42303.8666667,2017-05-18
17123,92,8,45313.5666667,2017-05-19
15250,75,2,40320.9166667,2017-05-20
11054,64,1,30600.0333333,2017-05-21
13539,90,6,37458.7166667,2017-05-22
