dailyViewcount,numShare,numSubscriber,watchTime,date
30324,681,25,64455.35,2016-08-26
21502,510,19,43990.9666667,2016-08-27
26614,523,31,54813.65,2016-08-28
32606,699,52,68304.9333333,2016-08-29
39373,705,48,86806.1166667,2016-08-30
63437,1187,101,132929.45,2016-08-31
83551,1564,119,178224.3,2016-09-01
49331,664,56,120481.916667,2016-09-02
54177,681,51,125957.15,2016-09-03
55797,728,76,126922.1,2016-09-04
49523,684,78,115658.616667,2016-09-05
46412,562,43,110673.8,2016-09-06
48912,574,65,116121.766667,2016-09-07
51692,644,44,122152.216667,2016-09-08
73252,801,84,162838.2,2016-09-09
65947,707,67,153434.466667,2016-09-10
57880,706,60,135986.85,2016-09-11
53244,624,44,128311.683333,2016-09-12
55768,637,54,132586.25,2016-09-13
51505,564,27,125800.1,2016-09-14
77034,982,135,174700.15,2016-09-15
62038,582,46,149861.616667,2016-09-16
63521,639,45,151338.033333,2016-09-17
62266,629,53,146946.933333,2016-09-18
58817,544,56,140471.083333,2016-09-19
58274,541,43,140384.566667,2016-09-20
54141,540,28,132225.933333,2016-09-21
50920,459,40,125348.5,2016-09-22
52035,464,21,126434.583333,2016-09-23
66720,768,72,153224.766667,2016-09-24
47176,492,41,115962.183333,2016-09-25
43731,481,18,106525.516667,2016-09-26
46656,536,38,111646.55,2016-09-27
45898,498,29,112203.066667,2016-09-28
49428,569,38,123177.4,2016-09-29
52314,487,31,131625.5,2016-09-30
49431,478,23,120177.75,2016-10-01
43452,510,27,103174.416667,2016-10-02
42107,467,32,101857.183333,2016-10-03
35915,380,28,90646.5666667,2016-10-04
41283,491,19,98099.1666667,2016-10-05
43048,453,27,103083.283333,2016-10-06
43707,406,23,105366.466667,2016-10-07
43657,411,24,105685.633333,2016-10-08
38935,377,18,94591.0833333,2016-10-09
38542,451,24,95500.5333333,2016-10-10
36502,392,17,89551.45,2016-10-11
37763,423,23,92128.4333333,2016-10-12
35382,343,14,87363.9333333,2016-10-13
36502,331,14,91008.8666667,2016-10-14
39646,311,18,96055.9833333,2016-10-15
36018,412,25,85665.2,2016-10-16
37101,373,19,87704.3,2016-10-17
37605,388,23,89995.55,2016-10-18
36856,384,19,88031.4,2016-10-19
34875,337,22,86167.6,2016-10-20
37464,307,22,91686.25,2016-10-21
39063,323,23,94364.7333333,2016-10-22
31102,350,15,75270.7166667,2016-10-23
30336,286,19,74943.8,2016-10-24
29483,289,11,72770.5,2016-10-25
29599,250,13,73398.7166667,2016-10-26
31368,270,20,77396.4666667,2016-10-27
31929,297,20,79476.8333333,2016-10-28
33412,318,17,81502.8,2016-10-29
28480,258,18,68979.7333333,2016-10-30
28471,250,9,71128.8666667,2016-10-31
28438,247,13,69844.2833333,2016-11-01
30615,262,12,74907.3333333,2016-11-02
32216,296,13,78123.2833333,2016-11-03
34971,296,12,85751.8833333,2016-11-04
36649,283,13,87513.3333333,2016-11-05
32279,317,17,77355.0,2016-11-06
29629,282,11,73170.4833333,2016-11-07
31754,293,21,77020.5666667,2016-11-08
29893,255,12,72538.7666667,2016-11-09
32557,253,13,78441.7833333,2016-11-10
35985,311,18,86846.4166667,2016-11-11
33607,306,9,80831.6333333,2016-11-12
29647,291,8,70808.1666667,2016-11-13
28294,274,8,69280.2833333,2016-11-14
29122,281,14,70489.95,2016-11-15
29057,258,17,70001.55,2016-11-16
29448,263,19,72483.65,2016-11-17
31100,219,4,75554.2166667,2016-11-18
31892,243,16,76045.55,2016-11-19
28137,242,9,66418.0333333,2016-11-20
27227,259,9,66695.5833333,2016-11-21
28936,263,17,70411.8833333,2016-11-22
33023,244,13,79445.4333333,2016-11-23
29157,244,16,70809.7,2016-11-24
30390,243,18,73456.6,2016-11-25
30883,256,13,74299.2833333,2016-11-26
27016,244,14,64576.4666667,2016-11-27
26086,244,14,64413.3666667,2016-11-28
26885,224,8,65151.9,2016-11-29
27636,266,10,65908.3,2016-11-30
26687,253,10,64308.4333333,2016-12-01
30091,255,11,72852.9666667,2016-12-02
30497,251,8,72179.5333333,2016-12-03
28623,273,9,66096.4166667,2016-12-04
28022,271,17,66208.2833333,2016-12-05
28873,250,12,69000.8833333,2016-12-06
29384,322,15,70225.1333333,2016-12-07
27657,275,9,66544.2333333,2016-12-08
29078,234,7,70306.5833333,2016-12-09
29394,230,2,69736.25,2016-12-10
28448,308,9,67443.2166667,2016-12-11
27121,298,12,65991.2,2016-12-12
27719,236,13,67668.3333333,2016-12-13
26861,244,16,65346.1333333,2016-12-14
27125,220,9,65484.9166667,2016-12-15
28533,236,12,68117.5166667,2016-12-16
30073,274,7,70235.5,2016-12-17
26843,300,13,62411.05,2016-12-18
26670,255,6,62644.5666667,2016-12-19
26450,254,6,62676.0,2016-12-20
26806,263,13,63776.85,2016-12-21
26654,213,10,63908.4833333,2016-12-22
28682,235,6,68569.0,2016-12-23
27247,190,6,64661.3333333,2016-12-24
23614,215,4,54532.9,2016-12-25
22666,241,8,53335.6833333,2016-12-26
22476,245,2,53264.1333333,2016-12-27
23342,242,8,54682.7,2016-12-28
24820,260,6,58115.0833333,2016-12-29
25843,246,7,60775.25,2016-12-30
30182,211,5,71878.0333333,2016-12-31
19234,167,4,43626.9,2017-01-01
20971,185,6,48387.05,2017-01-02
21850,243,6,50066.4666667,2017-01-03
