dailyViewcount,numShare,numSubscriber,watchTime,date
68,0,0,176.866666667,2016-03-27
86,0,0,431.916666667,2016-03-28
81,1,0,256.6,2016-03-29
82,4,0,234.3,2016-03-30
121,1,0,448.066666667,2016-03-31
130,2,0,360.45,2016-04-01
117,1,0,402.05,2016-04-02
142,1,0,413.3,2016-04-03
195,0,0,716.116666667,2016-04-04
191,1,0,641.766666667,2016-04-05
106,0,0,334.65,2016-04-06
125,0,0,415.8,2016-04-07
109,0,0,360.283333333,2016-04-08
55,0,0,148.066666667,2016-04-09
50,0,0,139.116666667,2016-04-10
49,0,0,120.15,2016-04-11
64,0,0,172.55,2016-04-12
51,0,0,135.066666667,2016-04-13
50,0,0,150.683333333,2016-04-14
83,0,0,192.083333333,2016-04-15
178,0,0,475.633333333,2016-04-16
500,1,0,1581.18333333,2016-04-17
272,0,0,829.216666667,2016-04-18
181,1,0,462.55,2016-04-19
199,0,0,679.383333333,2016-04-20
176,1,0,501.916666667,2016-04-21
201,0,0,620.3,2016-04-22
148,0,0,398.966666667,2016-04-23
119,0,0,335.5,2016-04-24
136,1,0,376.383333333,2016-04-25
150,2,0,435.25,2016-04-26
130,0,0,360.633333333,2016-04-27
120,1,0,318.5,2016-04-28
85,1,0,243.433333333,2016-04-29
67,0,0,154.633333333,2016-04-30
53,0,0,104.533333333,2016-05-01
76,2,0,174.633333333,2016-05-02
89,0,0,192.233333333,2016-05-03
72,1,0,190.866666667,2016-05-04
56,0,0,133.65,2016-05-05
59,4,0,160.133333333,2016-05-06
63,0,0,145.383333333,2016-05-07
155,0,0,357.683333333,2016-05-08
177,0,0,441.2,2016-05-09
207,1,0,559.666666667,2016-05-10
221,0,0,507.15,2016-05-11
228,0,0,579.766666667,2016-05-12
171,0,0,413.95,2016-05-13
265,0,0,766.216666667,2016-05-14
251,0,0,614.1,2016-05-15
308,0,0,956.516666667,2016-05-16
285,0,0,882.683333333,2016-05-17
185,1,0,469.0,2016-05-18
182,1,0,509.9,2016-05-19
216,0,0,508.883333333,2016-05-20
168,2,0,431.15,2016-05-21
92,1,0,228.666666667,2016-05-22
118,1,0,322.183333333,2016-05-23
93,0,0,219.45,2016-05-24
83,1,0,227.283333333,2016-05-25
98,11,0,243.083333333,2016-05-26
127,1,0,305.166666667,2016-05-27
121,2,0,290.95,2016-05-28
119,2,0,304.416666667,2016-05-29
109,4,0,240.4,2016-05-30
142,3,0,385.05,2016-05-31
145,3,0,466.85,2016-06-01
140,3,0,382.433333333,2016-06-02
224,6,0,558.583333333,2016-06-03
345,4,0,894.683333333,2016-06-04
328,7,0,842.083333333,2016-06-05
1369,20,0,4314.5,2016-06-06
1509,32,0,4884.7,2016-06-07
1418,21,0,4558.56666667,2016-06-08
1425,25,0,4696.81666667,2016-06-09
1927,31,1,6177.93333333,2016-06-10
1873,32,0,5973.46666667,2016-06-11
1872,29,1,6136.41666667,2016-06-12
2319,34,0,7725.96666667,2016-06-13
2931,44,0,9873.28333333,2016-06-14
4981,79,1,16998.1666667,2016-06-15
2855,36,1,10110.3166667,2016-06-16
2070,14,0,7148.03333333,2016-06-17
1677,14,0,5685.4,2016-06-18
1449,7,0,4692.78333333,2016-06-19
1478,13,0,4659.86666667,2016-06-20
1451,12,0,4682.76666667,2016-06-21
1463,19,0,4589.11666667,2016-06-22
21071,540,6,69544.05,2016-06-23
40972,878,13,153762.55,2016-06-24
36743,606,4,138194.983333,2016-06-25
33108,569,3,121906.25,2016-06-26
34580,570,6,129620.5,2016-06-27
34521,588,4,129463.583333,2016-06-28
35555,539,3,133907.133333,2016-06-29
35185,472,4,131973.016667,2016-06-30
34453,438,5,126921.833333,2016-07-01
34455,336,5,122615.216667,2016-07-02
29486,337,0,104773.0,2016-07-03
31129,345,0,108327.0,2016-07-04
29340,439,1,106533.316667,2016-07-05
41986,504,5,144289.083333,2016-07-06
39751,530,2,142306.483333,2016-07-07
36272,435,3,130022.133333,2016-07-08
34766,408,3,123074.05,2016-07-09
34668,397,4,120121.9,2016-07-10
39219,462,2,139190.133333,2016-07-11
35109,467,4,126589.216667,2016-07-12
36332,519,4,130952.266667,2016-07-13
38017,499,1,135601.533333,2016-07-14
37234,463,3,131891.7,2016-07-15
35717,467,5,124648.9,2016-07-16
32494,473,4,115861.566667,2016-07-17
34600,491,5,123415.75,2016-07-18
36216,527,7,130292.033333,2016-07-19
36206,567,3,131361.133333,2016-07-20
38029,581,6,138250.166667,2016-07-21
42451,530,3,150316.233333,2016-07-22
41777,536,3,146846.133333,2016-07-23
38340,578,3,133759.216667,2016-07-24
42306,623,3,150583.933333,2016-07-25
43841,675,3,158569.583333,2016-07-26
45534,700,9,165883.783333,2016-07-27
47684,776,4,175435.983333,2016-07-28
49498,699,2,181571.85,2016-07-29
45407,610,2,165027.683333,2016-07-30
41604,549,5,149274.566667,2016-07-31
43674,646,4,159657.183333,2016-08-01
45619,647,7,164808.716667,2016-08-02
46235,639,6,168871.716667,2016-08-03
48461,713,6,174483.983333,2016-08-04
50749,644,0,182582.8,2016-08-05
49275,641,2,175723.383333,2016-08-06
45641,674,2,162785.25,2016-08-07
46754,767,3,168953.716667,2016-08-08
47619,735,4,176202.25,2016-08-09
47678,739,3,174079.95,2016-08-10
51731,747,1,188976.316667,2016-08-11
54334,857,5,195199.366667,2016-08-12
53082,751,5,190708.166667,2016-08-13
47935,703,1,169663.633333,2016-08-14
49977,750,6,182576.816667,2016-08-15
51457,813,4,187331.633333,2016-08-16
54046,815,4,197592.75,2016-08-17
53796,808,1,196677.0,2016-08-18
56202,762,8,207409.383333,2016-08-19
56760,700,5,203033.733333,2016-08-20
52732,712,8,186022.566667,2016-08-21
54873,779,9,201396.966667,2016-08-22
55716,780,3,205451.4,2016-08-23
55181,767,2,204125.783333,2016-08-24
55103,788,5,202602.133333,2016-08-25
55856,752,9,204385.433333,2016-08-26
56487,808,3,202307.033333,2016-08-27
51769,736,3,182101.416667,2016-08-28
51624,698,6,188918.716667,2016-08-29
54323,764,5,199374.833333,2016-08-30
57255,788,3,208613.85,2016-08-31
58034,774,3,212927.416667,2016-09-01
61056,826,1,220386.933333,2016-09-02
61595,763,7,213689.566667,2016-09-03
57016,709,2,197542.866667,2016-09-04
58410,775,6,202102.716667,2016-09-05
55924,773,4,202209.483333,2016-09-06
57852,799,5,208408.85,2016-09-07
60625,761,5,218680.483333,2016-09-08
65744,840,7,232967.466667,2016-09-09
66342,781,4,228831.033333,2016-09-10
61590,788,7,211815.3,2016-09-11
61972,790,5,223964.5,2016-09-12
63827,795,4,231385.416667,2016-09-13
63851,848,5,229926.116667,2016-09-14
68627,834,2,246556.066667,2016-09-15
75809,829,7,269234.533333,2016-09-16
81888,987,11,279086.633333,2016-09-17
72734,1013,4,250769.0,2016-09-18
76142,988,6,275802.533333,2016-09-19
74304,976,7,268050.816667,2016-09-20
74410,1012,7,266411.5,2016-09-21
78288,992,5,283153.616667,2016-09-22
81730,958,8,289995.85,2016-09-23
82993,1053,10,287178.216667,2016-09-24
77240,966,6,264606.833333,2016-09-25
74723,992,2,268376.1,2016-09-26
75700,1053,9,268467.6,2016-09-27
80748,1075,8,285820.916667,2016-09-28
79801,1052,10,283435.983333,2016-09-29
83432,1013,6,294303.8,2016-09-30
87004,1092,8,299800.7,2016-10-01
78228,1050,11,266805.283333,2016-10-02
78605,1051,4,280053.316667,2016-10-03
77723,1001,6,278515.9,2016-10-04
67842,556,4,232674.533333,2016-10-05
84827,1006,6,297007.416667,2016-10-06
92238,1022,6,320453.283333,2016-10-07
83814,897,4,285211.033333,2016-10-08
75966,872,4,256441.9,2016-10-09
85670,1030,8,300221.55,2016-10-10
85652,991,6,302970.3,2016-10-11
88431,1075,6,309391.733333,2016-10-12
91417,981,8,320568.4,2016-10-13
96254,1018,4,337968.016667,2016-10-14
98550,975,5,332564.75,2016-10-15
85650,1010,2,289896.883333,2016-10-16
91644,1085,8,320513.883333,2016-10-17
91582,1134,8,321388.433333,2016-10-18
94058,1148,13,325946.55,2016-10-19
92468,1158,10,322847.283333,2016-10-20
98705,877,8,340875.6,2016-10-21
99266,1017,9,333690.7,2016-10-22
87691,923,5,297808.016667,2016-10-23
91645,983,6,318654.166667,2016-10-24
93062,1048,8,324979.916667,2016-10-25
92523,1034,4,321582.866667,2016-10-26
93936,1061,13,330099.133333,2016-10-27
99636,962,5,341631.416667,2016-10-28
98648,933,7,330801.35,2016-10-29
84947,907,9,284314.216667,2016-10-30
84140,811,6,294610.916667,2016-10-31
91697,1015,4,320947.05,2016-11-01
98881,1037,10,339992.9,2016-11-02
99643,1014,3,341651.65,2016-11-03
103134,937,1,351928.933333,2016-11-04
106998,1054,8,350991.633333,2016-11-05
98839,1121,6,320667.75,2016-11-06
94914,1048,7,321334.65,2016-11-07
90165,878,8,306230.583333,2016-11-08
92355,1003,7,309599.6,2016-11-09
102198,1041,13,344529.116667,2016-11-10
110307,1037,6,367273.4,2016-11-11
104986,1033,7,350123.316667,2016-11-12
89131,972,6,297449.4,2016-11-13
91443,973,11,315145.95,2016-11-14
92699,967,8,318616.966667,2016-11-15
95747,941,4,323738.9,2016-11-16
98656,938,9,332977.183333,2016-11-17
106607,950,8,355980.65,2016-11-18
107279,940,11,347992.766667,2016-11-19
93847,948,4,301822.283333,2016-11-20
98368,887,5,327830.266667,2016-11-21
100709,939,8,334914.533333,2016-11-22
122131,1069,11,396474.116667,2016-11-23
114603,746,7,366209.783333,2016-11-24
93733,827,5,303074.1,2016-11-25
100723,894,2,323042.45,2016-11-26
89743,939,3,290138.2,2016-11-27
94262,846,9,314310.966667,2016-11-28
101308,929,9,334700.566667,2016-11-29
103001,970,7,337076.983333,2016-11-30
100851,913,4,334254.416667,2016-12-01
107229,941,15,348500.733333,2016-12-02
112390,915,13,358921.1,2016-12-03
96577,867,12,307366.9,2016-12-04
95098,934,8,314939.016667,2016-12-05
91549,931,6,303023.666667,2016-12-06
93820,842,8,306978.05,2016-12-07
95926,922,8,313366.783333,2016-12-08
95370,791,9,313260.483333,2016-12-09
99139,890,3,315656.883333,2016-12-10
91744,907,7,290945.55,2016-12-11
88624,859,9,290660.066667,2016-12-12
89066,815,11,294230.05,2016-12-13
89251,859,14,292554.283333,2016-12-14
89948,820,6,295608.316667,2016-12-15
93656,826,2,307321.933333,2016-12-16
98329,822,4,312910.966667,2016-12-17
86456,767,3,271790.433333,2016-12-18
85809,768,11,277687.266667,2016-12-19
89123,801,3,291206.1,2016-12-20
88885,865,7,289594.65,2016-12-21
89366,789,2,293570.516667,2016-12-22
92330,724,5,300475.85,2016-12-23
92964,709,3,298400.616667,2016-12-24
85231,703,4,264818.016667,2016-12-25
80901,757,5,255662.316667,2016-12-26
83463,769,5,267407.266667,2016-12-27
88574,890,4,284748.666667,2016-12-28
91464,783,6,293506.866667,2016-12-29
90447,749,11,289542.916667,2016-12-30
95913,669,3,303354.216667,2016-12-31
72410,626,5,224581.566667,2017-01-01
77686,777,7,241374.566667,2017-01-02
77642,742,6,247000.516667,2017-01-03
79680,756,4,252092.2,2017-01-04
