dailyViewcount,numShare,numSubscriber,watchTime,date
127354,2508,144,216516.716667,2015-11-06
167113,1733,231,271482.366667,2015-11-07
153388,1643,140,252692.283333,2015-11-08
116714,1314,115,217909.4,2015-11-09
118716,1273,118,229840.033333,2015-11-10
123420,1334,114,243879.3,2015-11-11
109586,1263,96,222428.9,2015-11-12
93287,934,54,190931.683333,2015-11-13
95307,851,72,195228.266667,2015-11-14
87255,913,56,180576.283333,2015-11-15
79870,776,54,166951.833333,2015-11-16
79522,799,56,166146.75,2015-11-17
81095,797,63,172530.4,2015-11-18
78526,708,57,168942.716667,2015-11-19
88041,821,82,185297.866667,2015-11-20
94460,832,53,199442.416667,2015-11-21
79074,769,57,170383.566667,2015-11-22
74308,712,39,166068.05,2015-11-23
76052,726,52,168273.55,2015-11-24
79147,725,40,178100.833333,2015-11-25
80590,689,49,182515.533333,2015-11-26
88858,725,49,198026.85,2015-11-27
99054,820,58,220226.766667,2015-11-28
91759,766,42,205297.283333,2015-11-29
93624,795,67,210355.783333,2015-11-30
100450,878,72,228512.2,2015-12-01
101858,830,74,232069.75,2015-12-02
102684,777,48,238753.083333,2015-12-03
118976,935,75,272927.65,2015-12-04
130534,957,67,296208.866667,2015-12-05
118981,983,95,275873.55,2015-12-06
121160,944,68,287679.85,2015-12-07
123978,874,88,291652.1,2015-12-08
135339,1003,92,319152.483333,2015-12-09
140273,1021,90,330053.2,2015-12-10
153122,1065,86,355377.933333,2015-12-11
163535,1033,87,376521.5,2015-12-12
153094,1134,90,352261.416667,2015-12-13
155214,1109,87,359003.383333,2015-12-14
163463,1088,98,379164.816667,2015-12-15
169382,1121,108,393904.5,2015-12-16
184075,1371,123,422536.2,2015-12-17
205971,1332,107,463511.966667,2015-12-18
218092,1392,91,494082.383333,2015-12-19
195827,1351,109,444911.45,2015-12-20
208754,1465,107,480270.883333,2015-12-21
214985,1509,96,489037.5,2015-12-22
229533,1605,130,532210.9,2015-12-23
234604,1416,105,540928.283333,2015-12-24
215629,1477,120,481684.866667,2015-12-25
235240,1586,104,533189.45,2015-12-26
230618,1749,131,519832.133333,2015-12-27
253939,1831,121,578587.933333,2015-12-28
270165,2074,142,611840.183333,2015-12-29
289460,2012,150,650947.416667,2015-12-30
383449,1865,114,863101.25,2015-12-31
229645,1615,107,499402.733333,2016-01-01
302306,2017,164,670807.683333,2016-01-02
291795,2328,176,650194.1,2016-01-03
295879,2070,175,670289.766667,2016-01-04
301368,2017,156,683591.033333,2016-01-05
326173,2382,189,739492.95,2016-01-06
336418,2302,185,769396.533333,2016-01-07
395200,2625,214,879885.316667,2016-01-08
451370,2969,221,1001628.66667,2016-01-09
406869,3123,229,909484.816667,2016-01-10
390067,2872,205,887111.5,2016-01-11
426137,3056,210,957120.166667,2016-01-12
452498,3334,226,1020081.85,2016-01-13
464845,3444,245,1038718.66667,2016-01-14
516810,3658,220,1137722.58333,2016-01-15
594047,4066,282,1305777.05,2016-01-16
524618,4229,240,1155115.25,2016-01-17
493194,3689,251,1108479.93333,2016-01-18
484144,3870,246,1101179.88333,2016-01-19
523391,4071,260,1188054.8,2016-01-20
533754,3926,269,1205821.2,2016-01-21
591700,4245,264,1309775.28333,2016-01-22
692726,5051,302,1529050.46667,2016-01-23
611543,5318,344,1357221.36667,2016-01-24
587368,4639,306,1326933.1,2016-01-25
602258,4604,293,1365388.66667,2016-01-26
633571,4968,305,1432433.4,2016-01-27
657019,5249,328,1485112.68333,2016-01-28
735631,5476,394,1641688.35,2016-01-29
831164,6080,378,1838514.53333,2016-01-30
721251,6339,372,1593911.81667,2016-01-31
671739,5238,317,1516263.65,2016-02-01
678656,5187,307,1527945.11667,2016-02-02
726830,5654,334,1634932.75,2016-02-03
739337,5715,362,1651553.11667,2016-02-04
831289,5897,379,1807845.86667,2016-02-05
931200,6784,382,2033707.6,2016-02-06
799515,6659,337,1746918.5,2016-02-07
769479,6030,367,1700551.63333,2016-02-08
784937,5928,344,1736021.68333,2016-02-09
810731,6222,385,1796767.61667,2016-02-10
821902,6073,409,1827339.06667,2016-02-11
903186,6314,367,1977235.85,2016-02-12
996680,7109,457,2179219.96667,2016-02-13
866073,6698,403,1896605.68333,2016-02-14
867131,6800,405,1914614.0,2016-02-15
864411,6132,400,1912672.93333,2016-02-16
929587,7258,461,2041158.31667,2016-02-17
996953,7238,513,2188331.51667,2016-02-18
1103927,7500,492,2390565.91667,2016-02-19
1255945,8702,606,2687772.73333,2016-02-20
1125020,9275,593,2415401.51667,2016-02-21
1084993,7717,545,2373889.08333,2016-02-22
1111973,7598,499,2430277.71667,2016-02-23
1175049,8182,536,2561365.18333,2016-02-24
1205275,8247,588,2626325.51667,2016-02-25
1336158,8771,563,2853110.71667,2016-02-26
1511287,9517,678,3206581.23333,2016-02-27
1314986,9417,606,2794294.1,2016-02-28
1212978,8066,552,2619550.8,2016-02-29
1213092,8081,530,2610700.85,2016-03-01
1099879,7870,456,2400392.13333,2016-03-02
1215468,7748,470,2651121.35,2016-03-03
1551713,9024,603,3340016.18333,2016-03-04
1913758,10229,817,4092979.75,2016-03-05
1786944,10952,892,3795943.96667,2016-03-06
1699678,9091,770,3685994.23333,2016-03-07
1570920,8736,681,3425903.95,2016-03-08
1730480,9434,828,3749687.05,2016-03-09
1810237,9654,769,3926466.56667,2016-03-10
2044707,9772,839,4367714.48333,2016-03-11
2441740,12260,1095,5194082.66667,2016-03-12
1374515,10032,525,2956312.71667,2016-03-13
980587,8113,345,2139464.03333,2016-03-14
886040,7397,322,1935338.95,2016-03-15
759077,7112,322,1659754.88333,2016-03-16
709382,6760,292,1545797.73333,2016-03-17
749717,7308,336,1598279.7,2016-03-18
1025657,8899,392,2201076.81667,2016-03-19
871953,8419,339,1862317.3,2016-03-20
988299,8348,459,2087870.83333,2016-03-21
993139,8031,480,2107341.13333,2016-03-22
1043217,8869,433,2199906.81667,2016-03-23
1062736,8560,471,2244464.63333,2016-03-24
1049108,8204,415,2190180.06667,2016-03-25
1300924,8805,530,2712571.48333,2016-03-26
1535147,8968,687,3199710.31667,2016-03-27
1620593,9057,731,3439672.7,2016-03-28
1621410,8463,705,3511867.25,2016-03-29
1669910,8736,738,3623930.18333,2016-03-30
1579977,8461,673,3453108.8,2016-03-31
1556800,8480,639,3345685.0,2016-04-01
1736673,9399,737,3711003.06667,2016-04-02
1590259,9762,697,3405609.31667,2016-04-03
1542796,8734,657,3353151.5,2016-04-04
1560000,8573,598,3401716.8,2016-04-05
1736333,8977,686,3802048.08333,2016-04-06
1854810,9089,749,4066380.26667,2016-04-07
1873622,9879,748,4041019.01667,2016-04-08
2086052,10803,817,4503128.53333,2016-04-09
1919788,10865,802,4144604.28333,2016-04-10
1810685,9279,668,3978073.1,2016-04-11
1624624,8608,601,3584486.58333,2016-04-12
1621465,8509,586,3576685.3,2016-04-13
1733394,8483,627,3802045.71667,2016-04-14
1883321,9054,689,4069763.71667,2016-04-15
2189570,10098,849,4708028.13333,2016-04-16
1954450,10128,750,4190143.91667,2016-04-17
1925095,8770,757,4180824.21667,2016-04-18
1900152,8318,746,4161726.0,2016-04-19
1695719,8844,638,3737812.03333,2016-04-20
1804131,8880,629,3929096.96667,2016-04-21
1785443,9029,616,3858230.71667,2016-04-22
1995617,9990,709,4283840.9,2016-04-23
1834410,10258,738,3916759.05,2016-04-24
1751939,8856,650,3820405.51667,2016-04-25
1834599,8361,630,4034524.13333,2016-04-26
1900703,8874,644,4164300.23333,2016-04-27
1999844,9689,708,4364843.68333,2016-04-28
2159137,10969,764,4695259.95,2016-04-29
2287874,11637,772,4934514.26667,2016-04-30
1987678,11685,726,4224963.18333,2016-05-01
1929939,10383,684,4166536.25,2016-05-02
1951438,10841,676,4165662.68333,2016-05-03
2149469,11390,684,4531910.98333,2016-05-04
2264693,12101,807,4791021.16667,2016-05-05
2285583,12072,714,4854567.78333,2016-05-06
2385172,12698,714,5046286.25,2016-05-07
1900629,11893,581,4021606.36667,2016-05-08
1667676,9757,445,3608370.9,2016-05-09
917637,7599,301,1963518.83333,2016-05-10
764275,7164,267,1634461.81667,2016-05-11
603396,6695,222,1280641.43333,2016-05-12
621833,7078,209,1301303.68333,2016-05-13
653855,7382,270,1356886.53333,2016-05-14
528069,6969,217,1086515.06667,2016-05-15
482252,6201,184,1009739.08333,2016-05-16
470879,5768,176,987815.766667,2016-05-17
475379,5986,211,994593.166667,2016-05-18
480965,5926,199,1004883.61667,2016-05-19
515674,6315,246,1066854.28333,2016-05-20
561609,6842,211,1159013.35,2016-05-21
465756,6811,217,948512.733333,2016-05-22
410730,5528,198,859243.05,2016-05-23
417529,5605,186,871163.066667,2016-05-24
421730,5748,183,874464.333333,2016-05-25
409661,5587,176,844908.683333,2016-05-26
444246,5757,186,904820.733333,2016-05-27
