dailyViewcount,numShare,numSubscriber,watchTime,date
747045,6438,284,2399846.2,2013-12-09
347517,1065,114,1082723.36667,2013-12-10
231830,754,70,728548.55,2013-12-11
190754,880,61,594043.666667,2013-12-12
162281,393,52,480062.733333,2013-12-13
199243,368,65,533082.066667,2013-12-14
165778,303,73,460693.266667,2013-12-15
128709,259,47,368321.95,2013-12-16
115473,237,49,331457.883333,2013-12-17
126603,242,51,360737.066667,2013-12-18
116601,163,33,329950.25,2013-12-19
100974,159,31,266930.366667,2013-12-20
85538,157,34,242436.416667,2013-12-21
75207,121,27,205513.133333,2013-12-22
81706,157,45,215540.916667,2013-12-23
63939,89,22,171854.216667,2013-12-24
58650,70,30,151886.85,2013-12-25
64966,106,26,176643.4,2013-12-26
61961,129,26,170499.05,2013-12-27
60242,68,20,162654.95,2013-12-28
58417,73,18,158085.333333,2013-12-29
59646,86,29,163974.233333,2013-12-30
53170,60,17,149224.033333,2013-12-31
49561,64,13,131368.316667,2014-01-01
57706,79,26,155994.033333,2014-01-02
60065,66,24,159281.316667,2014-01-03
57438,74,14,155382.566667,2014-01-04
57551,72,20,153646.15,2014-01-05
88448,201,56,199523.233333,2014-01-06
94348,233,59,203218.383333,2014-01-07
72378,142,34,172303.933333,2014-01-08
70998,165,27,173876.033333,2014-01-09
67780,135,23,165766.8,2014-01-10
71588,86,22,172029.05,2014-01-11
72542,98,31,174450.35,2014-01-12
69209,108,26,176253.5,2014-01-13
66323,95,26,169428.633333,2014-01-14
64167,95,28,167067.083333,2014-01-15
62992,80,20,164799.2,2014-01-16
62203,72,27,163374.466667,2014-01-17
69903,113,29,176331.416667,2014-01-18
63624,68,21,164731.866667,2014-01-19
60457,98,23,159259.683333,2014-01-20
56899,76,15,152695.466667,2014-01-21
57977,96,27,156972.0,2014-01-22
62797,81,26,161175.233333,2014-01-23
64712,88,25,166074.1,2014-01-24
68714,91,18,181017.583333,2014-01-25
58211,65,32,157675.783333,2014-01-26
54757,108,20,153533.383333,2014-01-27
79552,193,30,228602.45,2014-01-28
323367,682,327,738251.25,2014-01-29
274345,290,150,764024.533333,2014-01-30
177844,203,78,663011.35,2014-01-31
163429,137,50,626786.433333,2014-02-01
149444,138,55,586521.366667,2014-02-02
145096,125,29,586852.9,2014-02-03
134135,123,31,538185.6,2014-02-04
129534,122,39,526360.0,2014-02-05
123230,99,33,502651.783333,2014-02-06
123120,109,30,473924.766667,2014-02-07
133964,86,32,511202.133333,2014-02-08
123614,87,30,476996.666667,2014-02-09
111597,89,17,441724.683333,2014-02-10
108019,74,24,425889.816667,2014-02-11
108376,69,24,424367.933333,2014-02-12
111562,86,31,433184.9,2014-02-13
118820,77,25,447642.116667,2014-02-14
127393,93,41,468173.0,2014-02-15
118296,78,21,434358.6,2014-02-16
114272,73,31,426426.866667,2014-02-17
103160,62,33,394799.35,2014-02-18
101299,80,27,391470.216667,2014-02-19
104321,87,18,397955.233333,2014-02-20
108252,81,30,401864.333333,2014-02-21
116762,77,26,428585.1,2014-02-22
109366,59,31,401100.8,2014-02-23
103548,73,31,385980.516667,2014-02-24
103856,78,26,385730.45,2014-02-25
104293,72,22,383053.133333,2014-02-26
110045,63,39,402441.183333,2014-02-27
115183,75,33,410443.866667,2014-02-28
126194,84,33,443807.366667,2014-03-01
110023,61,33,393398.383333,2014-03-02
102167,59,32,372243.516667,2014-03-03
97002,68,21,354863.833333,2014-03-04
100994,73,42,370300.983333,2014-03-05
101645,81,33,371231.316667,2014-03-06
105242,61,25,373372.016667,2014-03-07
112248,78,23,391273.383333,2014-03-08
98733,62,24,349419.883333,2014-03-09
93276,50,28,339030.283333,2014-03-10
93128,61,26,340907.883333,2014-03-11
92333,51,29,335544.416667,2014-03-12
90365,48,22,329372.25,2014-03-13
93469,71,21,331999.166667,2014-03-14
104759,66,30,364545.966667,2014-03-15
91804,48,15,323568.0,2014-03-16
79298,54,27,287365.066667,2014-03-17
77500,34,21,285186.883333,2014-03-18
81696,43,19,297036.65,2014-03-19
80340,41,19,288925.316667,2014-03-20
83564,53,31,292181.733333,2014-03-21
96510,54,31,336912.666667,2014-03-22
86600,63,28,303945.166667,2014-03-23
76984,53,19,280238.666667,2014-03-24
77918,38,19,280676.633333,2014-03-25
81336,39,21,288263.216667,2014-03-26
79191,53,20,283761.683333,2014-03-27
82543,56,17,288266.5,2014-03-28
86864,55,29,296265.45,2014-03-29
77841,38,30,271549.383333,2014-03-30
70610,32,21,250649.5,2014-03-31
66945,50,26,238208.966667,2014-04-01
70354,35,27,249219.533333,2014-04-02
72213,49,17,251472.266667,2014-04-03
77905,46,17,264233.283333,2014-04-04
84171,50,30,280626.483333,2014-04-05
75839,44,28,259771.75,2014-04-06
69688,47,18,240618.533333,2014-04-07
69114,38,22,239936.75,2014-04-08
69907,37,26,246638.416667,2014-04-09
85262,49,25,286367.016667,2014-04-10
74409,37,29,249177.033333,2014-04-11
87165,25,25,278385.866667,2014-04-12
80308,41,28,263097.466667,2014-04-13
78060,31,17,258902.716667,2014-04-14
73802,37,21,248922.666667,2014-04-15
72397,48,12,245846.2,2014-04-16
72398,34,20,242956.35,2014-04-17
67778,29,13,223322.0,2014-04-18
66674,33,13,221603.166667,2014-04-19
64097,42,21,210491.866667,2014-04-20
64962,39,10,218332.1,2014-04-21
62291,43,17,210873.25,2014-04-22
62093,38,20,209877.85,2014-04-23
59850,28,20,206335.6,2014-04-24
62512,28,29,209760.516667,2014-04-25
65713,58,12,215757.216667,2014-04-26
59317,34,15,197655.65,2014-04-27
56322,27,13,192175.033333,2014-04-28
55603,40,14,188389.533333,2014-04-29
56976,34,15,194691.816667,2014-04-30
59428,39,18,198566.516667,2014-05-01
57968,33,21,191873.783333,2014-05-02
59077,27,21,192783.75,2014-05-03
53004,30,16,175256.866667,2014-05-04
48836,22,15,167203.216667,2014-05-05
45562,25,19,158783.45,2014-05-06
46237,18,11,158537.683333,2014-05-07
46359,25,12,158027.216667,2014-05-08
49754,22,13,166503.55,2014-05-09
51780,14,9,171784.133333,2014-05-10
46088,13,17,153791.45,2014-05-11
43687,34,13,149878.383333,2014-05-12
44733,14,6,150673.116667,2014-05-13
45614,20,12,155918.15,2014-05-14
48081,22,9,162791.466667,2014-05-15
48413,28,17,162274.533333,2014-05-16
54078,27,19,174077.383333,2014-05-17
47335,10,21,152871.35,2014-05-18
44071,22,12,147000.733333,2014-05-19
43742,17,16,148532.65,2014-05-20
45381,25,14,151129.75,2014-05-21
43958,23,11,149879.716667,2014-05-22
45374,22,11,149696.816667,2014-05-23
48381,17,16,157521.016667,2014-05-24
41992,10,7,138854.116667,2014-05-25
41065,24,9,137347.883333,2014-05-26
41662,20,11,141645.666667,2014-05-27
44322,24,15,148559.366667,2014-05-28
43122,25,12,147538.666667,2014-05-29
44311,26,11,149652.55,2014-05-30
46228,13,15,151982.233333,2014-05-31
40303,21,19,134816.116667,2014-06-01
37990,20,7,129847.716667,2014-06-02
41132,19,12,135614.083333,2014-06-03
40639,15,12,133092.766667,2014-06-04
39137,26,12,131514.583333,2014-06-05
38372,22,12,127620.583333,2014-06-06
38603,15,10,127451.033333,2014-06-07
37417,18,12,122524.733333,2014-06-08
36306,15,13,121020.016667,2014-06-09
34654,18,8,115437.9,2014-06-10
35175,16,16,117515.783333,2014-06-11
33055,15,2,110838.366667,2014-06-12
34564,18,12,113553.533333,2014-06-13
35662,16,7,114556.066667,2014-06-14
36325,13,14,113209.216667,2014-06-15
36568,15,8,117387.2,2014-06-16
36154,18,13,115287.833333,2014-06-17
35484,21,8,114339.183333,2014-06-18
34827,21,11,112362.4,2014-06-19
35138,21,17,113249.083333,2014-06-20
33987,20,2,108506.133333,2014-06-21
31177,18,11,99442.3833333,2014-06-22
31343,9,6,100795.85,2014-06-23
30818,11,5,98995.6,2014-06-24
31969,20,16,104894.216667,2014-06-25
30661,20,9,99566.7833333,2014-06-26
31527,9,14,103076.533333,2014-06-27
29806,12,6,95789.95,2014-06-28
27293,11,9,86977.35,2014-06-29
29247,10,8,95814.8833333,2014-06-30
27140,11,8,88425.7666667,2014-07-01
28297,4,11,90821.1,2014-07-02
28569,7,7,92202.5166667,2014-07-03
25938,10,9,81738.7666667,2014-07-04
26293,6,10,81887.6,2014-07-05
25779,11,8,81875.5,2014-07-06
28284,13,7,90807.35,2014-07-07
27227,10,9,86947.7666667,2014-07-08
27388,11,12,87477.9166667,2014-07-09
29024,16,7,94265.6,2014-07-10
28734,12,9,91271.9166667,2014-07-11
27463,16,13,87381.75,2014-07-12
24767,9,6,77226.3166667,2014-07-13
27163,14,11,86206.8666667,2014-07-14
27940,11,9,89612.9166667,2014-07-15
29139,8,6,91037.6666667,2014-07-16
28622,11,12,89229.4666667,2014-07-17
28380,5,16,88446.6333333,2014-07-18
26574,14,9,80890.0333333,2014-07-19
23728,10,10,73425.0,2014-07-20
29218,12,6,88800.3166667,2014-07-21
33174,16,8,100706.366667,2014-07-22
33068,17,14,100866.416667,2014-07-23
29121,17,11,93089.1333333,2014-07-24
29314,7,6,91329.45,2014-07-25
27504,15,7,85080.8166667,2014-07-26
25299,14,9,78130.8666667,2014-07-27
27927,10,6,86425.1166667,2014-07-28
27381,10,4,85673.1833333,2014-07-29
27550,13,7,86070.4833333,2014-07-30
27350,11,10,85187.65,2014-07-31
26778,4,4,83385.1833333,2014-08-01
25910,8,7,80258.8333333,2014-08-02
23485,12,8,72101.8833333,2014-08-03
24121,9,10,77352.2833333,2014-08-04
24131,15,9,75831.15,2014-08-05
24444,10,8,75371.2166667,2014-08-06
25285,6,16,79871.5166667,2014-08-07
25775,11,7,79825.4,2014-08-08
24862,9,8,76173.5833333,2014-08-09
23190,4,3,70205.1333333,2014-08-10
24600,14,7,76567.6833333,2014-08-11
23720,7,7,72850.5166667,2014-08-12
24424,11,1,73906.25,2014-08-13
25575,19,3,78600.4833333,2014-08-14
25204,10,9,78208.55,2014-08-15
25398,16,6,76877.55,2014-08-16
23978,12,10,71361.6,2014-08-17
25225,9,11,76691.5666667,2014-08-18
24277,8,4,74952.1333333,2014-08-19
24439,5,8,75899.7333333,2014-08-20
24901,15,10,76351.0333333,2014-08-21
25476,9,9,76154.2,2014-08-22
27130,7,9,80498.9666667,2014-08-23
23950,10,12,70759.3333333,2014-08-24
22928,24,4,70219.45,2014-08-25
22799,9,6,69571.4666667,2014-08-26
23279,17,12,73717.2333333,2014-08-27
22274,7,8,71013.7166667,2014-08-28
23771,10,6,74326.75,2014-08-29
23936,10,11,72358.8833333,2014-08-30
22902,6,6,68915.85,2014-08-31
21918,7,4,68396.4666667,2014-09-01
20533,4,5,64914.3,2014-09-02
21298,8,8,67010.5333333,2014-09-03
20689,9,5,65702.3833333,2014-09-04
21270,11,7,65454.7333333,2014-09-05
24877,5,8,75061.4,2014-09-06
21790,6,10,66560.3333333,2014-09-07
19299,11,5,60695.6833333,2014-09-08
19752,13,4,62821.1333333,2014-09-09
20725,7,12,66391.3333333,2014-09-10
20335,4,9,64871.1666667,2014-09-11
21319,14,4,67078.9666667,2014-09-12
23908,16,8,72830.75,2014-09-13
21703,6,3,66997.25,2014-09-14
19191,5,7,60435.9833333,2014-09-15
18790,4,7,60111.2,2014-09-16
19467,7,3,63212.0166667,2014-09-17
20078,20,6,64162.9333333,2014-09-18
20704,7,7,63480.0333333,2014-09-19
24030,5,10,72727.6833333,2014-09-20
21612,11,6,66125.95,2014-09-21
19352,13,5,62041.9,2014-09-22
19376,8,3,61186.1666667,2014-09-23
19521,8,7,62392.9833333,2014-09-24
20080,9,8,63334.0833333,2014-09-25
20945,9,5,65322.7666667,2014-09-26
23287,9,5,70332.3333333,2014-09-27
20752,5,8,65937.6333333,2014-09-28
18296,5,3,58331.25,2014-09-29
17913,11,6,58892.9166667,2014-09-30
18459,11,3,61687.15,2014-10-01
19883,7,0,64199.15,2014-10-02
20497,6,0,64848.0833333,2014-10-03
22809,6,7,70110.4666667,2014-10-04
20831,4,8,63558.8833333,2014-10-05
18582,7,3,58630.45,2014-10-06
18697,6,2,60109.0833333,2014-10-07
18986,6,2,59803.9666667,2014-10-08
19608,6,3,62000.85,2014-10-09
19453,10,3,60336.3833333,2014-10-10
21124,3,5,63984.6833333,2014-10-11
19424,11,9,60847.1333333,2014-10-12
17789,13,2,57146.1833333,2014-10-13
17569,1,8,56487.8166667,2014-10-14
18750,8,9,60574.95,2014-10-15
19040,9,7,60953.9166667,2014-10-16
19280,3,0,61606.4,2014-10-17
21312,4,9,66189.2166667,2014-10-18
19553,12,3,61243.2666667,2014-10-19
17451,2,4,55905.0666667,2014-10-20
17516,1,3,57057.7166667,2014-10-21
18966,16,5,59370.6,2014-10-22
20614,7,5,65083.45,2014-10-23
20883,6,7,64835.3833333,2014-10-24
22398,7,5,68950.4,2014-10-25
20167,7,7,61719.4333333,2014-10-26
18801,1,1,59496.0166667,2014-10-27
17375,11,4,55909.1166667,2014-10-28
19435,11,5,61924.0,2014-10-29
18954,9,6,59655.3333333,2014-10-30
19491,6,8,60463.55,2014-10-31
20843,3,9,64271.4833333,2014-11-01
20310,5,5,61879.45,2014-11-02
17390,4,2,54921.45,2014-11-03
17860,8,6,56523.0666667,2014-11-04
17922,7,4,56995.1166667,2014-11-05
18495,6,5,57656.6166667,2014-11-06
19136,11,9,58448.65,2014-11-07
21979,6,6,66100.35,2014-11-08
19638,3,4,58331.6833333,2014-11-09
18988,7,1,59736.55,2014-11-10
19997,4,3,62094.65,2014-11-11
