dailyViewcount,numShare,numSubscriber,watchTime,date
7621,53,7,55370.3,2016-12-29
10634,41,14,76073.1166667,2016-12-30
7132,21,11,48031.1666667,2016-12-31
5063,19,6,38947.9166667,2017-01-01
8006,17,13,86873.2833333,2017-01-02
9890,22,20,161115.066667,2017-01-03
14126,25,16,253538.683333,2017-01-04
17375,44,20,355546.333333,2017-01-05
11848,24,19,193066.566667,2017-01-06
13388,26,14,205547.716667,2017-01-07
10503,24,20,166873.916667,2017-01-08
10913,22,8,182084.266667,2017-01-09
11077,16,13,170697.8,2017-01-10
10324,24,14,141169.166667,2017-01-11
9074,22,16,115587.233333,2017-01-12
9918,22,13,119195.016667,2017-01-13
13265,30,16,180877.933333,2017-01-14
10069,16,11,132134.35,2017-01-15
7422,13,15,88321.7,2017-01-16
8257,17,0,101098.816667,2017-01-17
7528,21,0,106970.933333,2017-01-18
9921,24,0,132766.683333,2017-01-19
8503,18,0,107657.716667,2017-01-20
10782,34,0,122114.483333,2017-01-21
7874,17,0,103276.933333,2017-01-22
7469,11,0,124612.516667,2017-01-23
8294,13,0,136869.95,2017-01-24
6540,28,0,94017.45,2017-01-25
5561,8,0,84430.0333333,2017-01-26
4907,10,0,66309.0833333,2017-01-27
3025,0,7,42248.65,2017-01-28
2893,6,5,41104.8833333,2017-01-29
2738,3,1,41138.85,2017-01-30
2524,5,2,37990.6666667,2017-01-31
2602,7,3,38165.8833333,2017-02-01
2772,8,5,39593.9166667,2017-02-02
2986,5,2,40819.9333333,2017-02-03
3147,7,6,39921.9833333,2017-02-04
3272,2,3,42888.0666667,2017-02-05
2915,7,5,42095.2833333,2017-02-06
3465,10,4,49183.3,2017-02-07
2658,4,6,38621.15,2017-02-08
2764,7,3,38639.5833333,2017-02-09
2605,1,2,32899.1,2017-02-10
2985,11,4,38365.75,2017-02-11
2581,11,2,33767.1666667,2017-02-12
2398,7,6,34189.5333333,2017-02-13
2622,3,6,35438.5166667,2017-02-14
2262,6,2,30205.45,2017-02-15
2028,4,2,27734.3333333,2017-02-16
1730,0,3,23150.7833333,2017-02-17
1756,5,1,23841.3666667,2017-02-18
2078,7,1,27146.85,2017-02-19
1556,1,1,21852.5,2017-02-20
1408,2,2,21104.5666667,2017-02-21
2841,7,0,31537.65,2017-02-22
1925,2,5,26928.4833333,2017-02-23
2760,6,4,35260.4333333,2017-02-24
1922,4,4,24837.9166667,2017-02-25
2166,2,3,27655.7666667,2017-02-26
1711,3,2,24405.7166667,2017-02-27
1436,7,0,20545.45,2017-02-28
1423,5,0,21769.8333333,2017-03-01
1227,3,1,18319.1666667,2017-03-02
1421,2,1,19779.55,2017-03-03
1402,5,1,20041.35,2017-03-04
1289,0,0,16692.9833333,2017-03-05
1248,4,1,17554.7833333,2017-03-06
1427,3,3,20728.5666667,2017-03-07
1463,6,1,19986.2333333,2017-03-08
1441,1,0,20151.9166667,2017-03-09
1412,5,0,19728.9833333,2017-03-10
1429,4,2,17987.9833333,2017-03-11
1466,2,2,17916.2333333,2017-03-12
1475,3,1,20266.4,2017-03-13
2359,9,2,28475.5166667,2017-03-14
2816,11,3,33639.0166667,2017-03-15
2612,5,0,32493.3,2017-03-16
3988,7,1,51985.0166667,2017-03-17
5323,9,8,70017.5,2017-03-18
7190,6,11,109039.0,2017-03-19
6879,16,9,112674.7,2017-03-20
7764,13,15,135468.966667,2017-03-21
6180,18,10,92749.5666667,2017-03-22
7222,8,17,101210.016667,2017-03-23
6188,10,9,91327.4666667,2017-03-24
6977,8,12,97166.45,2017-03-25
6295,7,7,91351.4166667,2017-03-26
8431,9,13,127030.6,2017-03-27
12131,31,22,178558.25,2017-03-28
13724,32,23,199900.116667,2017-03-29
17910,42,36,254504.333333,2017-03-30
22840,54,35,287894.466667,2017-03-31
26800,68,54,332020.8,2017-04-01
23651,51,45,301333.116667,2017-04-02
20196,40,37,279646.1,2017-04-03
24345,43,48,321864.15,2017-04-04
30584,65,59,389921.516667,2017-04-05
34039,61,64,423599.3,2017-04-06
31853,60,36,421645.15,2017-04-07
31554,79,41,383901.366667,2017-04-08
31075,60,59,402986.916667,2017-04-09
35057,81,52,486847.3,2017-04-10
28399,46,30,415757.0,2017-04-11
34375,80,48,480576.85,2017-04-12
36012,75,50,535649.75,2017-04-13
32782,58,45,470750.033333,2017-04-14
30869,47,46,409130.916667,2017-04-15
34732,75,58,451733.55,2017-04-16
40499,71,62,573144.616667,2017-04-17
39395,58,59,598525.716667,2017-04-18
33007,68,47,550371.333333,2017-04-19
