dailyViewcount,numShare,numSubscriber,watchTime,date
213291,1861,90,516374.45,2015-03-23
318119,2278,237,844059.133333,2015-03-24
331194,1901,180,915333.0,2015-03-25
279263,1379,134,800864.833333,2015-03-26
283314,1257,128,802627.033333,2015-03-27
311851,1188,140,842115.533333,2015-03-28
298475,1126,133,805377.65,2015-03-29
334222,1222,143,906381.733333,2015-03-30
329812,1164,134,900495.416667,2015-03-31
324325,1171,124,897948.75,2015-04-01
330212,1233,121,916583.866667,2015-04-02
356358,1376,152,965365.233333,2015-04-03
331118,1108,132,921133.15,2015-04-04
305835,1030,139,843368.633333,2015-04-05
405550,1325,318,1068373.45,2015-04-06
383386,1403,243,1059362.88333,2015-04-07
400346,1644,201,1103511.51667,2015-04-08
405456,1910,195,1139715.65,2015-04-09
409214,1862,158,1150673.26667,2015-04-10
426313,1667,169,1177603.25,2015-04-11
391666,1508,179,1097981.85,2015-04-12
385245,1906,150,1116623.25,2015-04-13
391866,1820,130,1136767.95,2015-04-14
394289,1822,130,1156832.96667,2015-04-15
419596,2056,146,1218977.38333,2015-04-16
452730,2004,157,1290568.81667,2015-04-17
483855,1969,154,1340722.33333,2015-04-18
436772,1869,168,1215593.23333,2015-04-19
424339,1769,156,1227064.73333,2015-04-20
439333,2091,131,1291021.43333,2015-04-21
441222,1996,163,1294724.83333,2015-04-22
462413,2095,156,1349642.33333,2015-04-23
497071,2260,168,1421352.33333,2015-04-24
553796,2369,182,1558260.38333,2015-04-25
515711,2202,151,1455928.93333,2015-04-26
481542,2266,156,1413806.58333,2015-04-27
500022,2652,170,1458207.75,2015-04-28
529855,3952,181,1555890.83333,2015-04-29
554613,3183,175,1618768.48333,2015-04-30
605692,2646,201,1720154.85,2015-05-01
593408,2236,177,1676905.26667,2015-05-02
552609,2259,186,1551203.15,2015-05-03
548796,2237,167,1591106.13333,2015-05-04
558073,2431,177,1616134.21667,2015-05-05
571058,2483,203,1655476.23333,2015-05-06
622012,2628,197,1795161.0,2015-05-07
701166,2744,164,1989638.15,2015-05-08
735365,2538,214,2062138.51667,2015-05-09
666196,2509,197,1874081.61667,2015-05-10
657581,2677,152,1891169.6,2015-05-11
675475,2788,174,1925094.33333,2015-05-12
699565,3363,185,1990327.23333,2015-05-13
742305,3786,223,2098646.28333,2015-05-14
779908,3662,219,2190216.26667,2015-05-15
790034,3370,219,2189941.75,2015-05-16
710993,3581,202,1978138.2,2015-05-17
678422,3259,180,1925077.51667,2015-05-18
698565,3418,217,1975559.33333,2015-05-19
721637,3523,238,2054749.46667,2015-05-20
815269,4328,240,2272554.28333,2015-05-21
893405,4400,260,2490955.73333,2015-05-22
916547,4120,286,2514035.78333,2015-05-23
840866,4061,216,2251192.78333,2015-05-24
792714,3738,273,2171453.08333,2015-05-25
775897,3658,212,2164912.81667,2015-05-26
805433,3685,253,2233288.96667,2015-05-27
830940,3794,249,2297219.16667,2015-05-28
869715,4009,226,2379934.98333,2015-05-29
987594,4345,275,2656743.3,2015-05-30
909124,4306,272,2429944.01667,2015-05-31
946289,4276,255,2568232.83333,2015-06-01
986328,4418,246,2690116.33333,2015-06-02
1000294,4217,260,2750478.33333,2015-06-03
