dailyViewcount,numShare,numSubscriber,watchTime,date
236371,704,518,431831.633333,2013-10-01
121142,287,185,215891.516667,2013-10-02
87649,221,160,161251.55,2013-10-03
61574,152,104,114363.716667,2013-10-04
62221,138,117,117410.366667,2013-10-05
62590,90,114,119010.683333,2013-10-06
56327,128,97,107799.983333,2013-10-07
43492,98,71,87629.3,2013-10-08
29875,55,30,71009.9166667,2013-10-09
36712,33,36,80575.2,2013-10-10
44367,48,47,96213.15,2013-10-11
48290,65,47,106874.916667,2013-10-12
37557,56,33,82961.3166667,2013-10-13
54794,65,62,114547.083333,2013-10-14
36779,58,29,79310.3333333,2013-10-15
33289,42,38,74544.3833333,2013-10-16
33258,46,30,73852.9,2013-10-17
40112,43,44,88990.5,2013-10-18
43771,42,42,97540.0333333,2013-10-19
44589,44,65,97330.5666667,2013-10-20
37447,68,30,83483.7,2013-10-21
33548,38,31,73650.4333333,2013-10-22
34910,32,33,76664.75,2013-10-23
38276,48,35,84270.8166667,2013-10-24
42035,49,43,95003.6833333,2013-10-25
48579,43,58,108295.433333,2013-10-26
37595,47,44,82953.5,2013-10-27
33821,35,42,75595.95,2013-10-28
41310,43,52,91024.4,2013-10-29
43545,69,54,95538.0666667,2013-10-30
59085,67,52,128227.85,2013-10-31
65907,83,79,141558.95,2013-11-01
46455,51,45,103766.533333,2013-11-02
39117,44,49,85277.55,2013-11-03
35927,51,41,78685.7,2013-11-04
34129,44,31,76501.0333333,2013-11-05
31818,51,36,70077.25,2013-11-06
31694,44,36,70330.8333333,2013-11-07
37446,48,33,82653.5333333,2013-11-08
42264,41,51,92916.6333333,2013-11-09
35926,37,33,78121.65,2013-11-10
32210,52,29,70737.0166667,2013-11-11
28456,26,27,62330.2666667,2013-11-12
29530,39,36,64987.9166667,2013-11-13
29093,48,15,65063.3333333,2013-11-14
33339,74,22,73370.55,2013-11-15
37574,69,31,82265.1333333,2013-11-16
31088,68,37,68660.95,2013-11-17
37994,109,38,82650.05,2013-11-18
