dailyViewcount,numShare,numSubscriber,watchTime,date
43,2,0,48.7166666667,2016-10-04
39,0,0,66.9666666667,2016-10-05
60,0,0,74.25,2016-10-06
75,0,0,102.55,2016-10-07
159,1,0,232.733333333,2016-10-08
180,3,0,352.716666667,2016-10-09
213,0,0,337.433333333,2016-10-10
248,0,1,346.85,2016-10-11
327,4,0,558.7,2016-10-12
366,5,1,627.35,2016-10-13
335,2,0,488.233333333,2016-10-14
442,5,0,575.283333333,2016-10-15
745,6,0,1091.41666667,2016-10-16
705,11,1,1257.88333333,2016-10-17
437,5,0,771.883333333,2016-10-18
324,1,0,618.05,2016-10-19
280,2,0,579.0,2016-10-20
464,4,0,980.1,2016-10-21
485,7,0,1089.23333333,2016-10-22
512,5,0,1090.4,2016-10-23
582,1,0,1234.9,2016-10-24
535,3,0,1094.78333333,2016-10-25
385,3,0,788.016666667,2016-10-26
451,7,0,999.616666667,2016-10-27
461,4,0,1015.81666667,2016-10-28
482,1,0,938.3,2016-10-29
499,3,0,842.55,2016-10-30
579,4,0,992.566666667,2016-10-31
770,4,0,1409.93333333,2016-11-01
696,5,1,1281.43333333,2016-11-02
530,2,0,1004.9,2016-11-03
560,2,0,1075.95,2016-11-04
373,1,0,721.15,2016-11-05
304,4,0,556.066666667,2016-11-06
259,1,0,479.7,2016-11-07
239,3,0,469.683333333,2016-11-08
276,1,0,572.066666667,2016-11-09
398,3,0,708.35,2016-11-10
353,2,0,662.3,2016-11-11
351,3,0,695.45,2016-11-12
336,2,0,546.25,2016-11-13
395,1,0,727.05,2016-11-14
353,2,0,626.0,2016-11-15
366,4,0,770.2,2016-11-16
390,1,0,804.366666667,2016-11-17
347,4,0,663.033333333,2016-11-18
343,1,0,618.166666667,2016-11-19
342,1,0,605.083333333,2016-11-20
354,2,0,671.416666667,2016-11-21
343,3,0,676.183333333,2016-11-22
314,4,0,654.516666667,2016-11-23
310,0,0,506.316666667,2016-11-24
250,1,0,453.783333333,2016-11-25
289,4,0,552.566666667,2016-11-26
342,2,0,612.516666667,2016-11-27
378,2,0,552.233333333,2016-11-28
424,1,0,770.616666667,2016-11-29
446,2,0,766.033333333,2016-11-30
466,2,0,1004.48333333,2016-12-01
594,5,0,1184.6,2016-12-02
483,2,0,852.833333333,2016-12-03
558,0,0,1001.23333333,2016-12-04
583,2,0,974.283333333,2016-12-05
515,3,0,926.116666667,2016-12-06
540,2,1,949.016666667,2016-12-07
483,3,0,887.383333333,2016-12-08
472,3,0,973.35,2016-12-09
432,3,0,837.1,2016-12-10
463,2,0,771.233333333,2016-12-11
571,1,1,1210.0,2016-12-12
582,5,0,1139.08333333,2016-12-13
581,3,0,1093.41666667,2016-12-14
570,0,0,1038.75,2016-12-15
560,5,0,1108.61666667,2016-12-16
626,5,0,1288.05,2016-12-17
536,3,0,913.633333333,2016-12-18
569,2,0,1015.16666667,2016-12-19
626,6,0,1240.25,2016-12-20
552,1,0,1054.35,2016-12-21
578,3,0,1128.85,2016-12-22
534,1,0,1081.55,2016-12-23
518,3,0,906.216666667,2016-12-24
484,4,0,920.383333333,2016-12-25
549,2,0,949.1,2016-12-26
542,5,0,1009.18333333,2016-12-27
612,4,0,1165.28333333,2016-12-28
630,7,0,1137.78333333,2016-12-29
701,10,0,1389.13333333,2016-12-30
655,6,0,1419.11666667,2016-12-31
717,3,0,1172.96666667,2017-01-01
623,4,0,1133.31666667,2017-01-02
559,1,0,1108.31666667,2017-01-03
