dailyViewcount,numShare,numSubscriber,watchTime,date
296871,4434,291,590399.9,2016-06-13
341234,3584,343,681637.15,2016-06-14
318190,3077,275,644778.416667,2016-06-15
322972,2980,296,655794.25,2016-06-16
288606,2305,212,597342.366667,2016-06-17
247171,2044,167,542241.133333,2016-06-18
225025,1992,185,488626.2,2016-06-19
235445,1879,164,510708.133333,2016-06-20
219124,1792,124,482434.966667,2016-06-21
228350,1820,138,509656.033333,2016-06-22
235622,1563,130,554055.233333,2016-06-23
228168,1454,140,552578.866667,2016-06-24
218738,1353,149,531599.433333,2016-06-25
190572,1365,128,466531.833333,2016-06-26
193580,1337,123,480806.55,2016-06-27
200889,1392,104,496259.85,2016-06-28
202651,1417,108,504430.033333,2016-06-29
205711,1329,109,512818.45,2016-06-30
191931,1253,89,483726.866667,2016-07-01
179401,1147,97,457007.716667,2016-07-02
175369,1149,79,440664.333333,2016-07-03
178226,1121,85,451848.2,2016-07-04
148837,1048,72,382083.0,2016-07-05
130453,967,53,338444.966667,2016-07-06
133644,963,69,344581.116667,2016-07-07
143908,982,74,374098.65,2016-07-08
159743,1074,75,412088.433333,2016-07-09
146458,1033,69,376651.316667,2016-07-10
158294,1064,87,409425.45,2016-07-11
160320,1108,71,420179.733333,2016-07-12
164047,1037,72,433214.8,2016-07-13
162213,1051,75,430348.233333,2016-07-14
171689,991,73,459963.65,2016-07-15
171135,998,74,456377.6,2016-07-16
159766,995,63,421567.066667,2016-07-17
180823,1009,70,481639.416667,2016-07-18
177243,1064,71,474881.966667,2016-07-19
151156,952,74,411104.733333,2016-07-20
138870,929,53,375164.883333,2016-07-21
146471,987,74,397130.233333,2016-07-22
144967,903,54,392116.1,2016-07-23
129718,892,54,347073.0,2016-07-24
137273,914,67,369597.066667,2016-07-25
132641,922,59,360815.133333,2016-07-26
124364,880,52,341475.25,2016-07-27
135394,875,54,359283.066667,2016-07-28
138423,782,60,368470.433333,2016-07-29
132517,891,60,357103.166667,2016-07-30
121340,946,61,323849.4,2016-07-31
128640,955,52,346519.266667,2016-08-01
132750,977,66,357928.15,2016-08-02
131259,935,48,353793.55,2016-08-03
134174,942,69,365043.883333,2016-08-04
138497,917,47,383212.316667,2016-08-05
138741,946,51,382039.733333,2016-08-06
126463,965,45,343026.766667,2016-08-07
140742,1013,65,373087.183333,2016-08-08
139858,1084,39,368105.516667,2016-08-09
142690,1025,56,375478.116667,2016-08-10
140541,997,56,374592.983333,2016-08-11
177445,1347,59,472020.866667,2016-08-12
177543,1308,52,477312.0,2016-08-13
161418,1274,67,439662.116667,2016-08-14
163171,1236,57,455966.116667,2016-08-15
162563,1195,45,458841.85,2016-08-16
171912,1285,53,481329.333333,2016-08-17
179832,1343,46,500097.85,2016-08-18
184331,1215,43,517354.3,2016-08-19
179426,1199,50,496578.683333,2016-08-20
164734,1143,66,453118.15,2016-08-21
165421,1138,42,461571.1,2016-08-22
171591,1234,46,479822.316667,2016-08-23
192426,1319,48,534866.216667,2016-08-24
190392,1237,61,525377.25,2016-08-25
193760,1107,64,536731.65,2016-08-26
180631,992,41,494030.3,2016-08-27
163292,1038,54,435324.0,2016-08-28
166532,975,55,443694.85,2016-08-29
157148,975,44,424077.066667,2016-08-30
150783,892,48,408718.133333,2016-08-31
150534,876,41,407083.066667,2016-09-01
159894,789,37,431140.366667,2016-09-02
158311,920,50,423808.7,2016-09-03
144666,794,41,383837.566667,2016-09-04
134147,803,36,357695.466667,2016-09-05
124656,746,26,337806.25,2016-09-06
128272,726,25,347003.433333,2016-09-07
129292,675,36,348481.7,2016-09-08
143139,688,35,384032.6,2016-09-09
145074,733,34,387633.05,2016-09-10
119058,743,30,318476.016667,2016-09-11
117629,653,22,320951.2,2016-09-12
119579,643,27,325368.05,2016-09-13
120738,682,28,325726.416667,2016-09-14
126286,760,45,338868.766667,2016-09-15
138573,689,30,370231.666667,2016-09-16
139464,667,36,369897.033333,2016-09-17
116023,695,31,306520.016667,2016-09-18
111751,667,30,303646.166667,2016-09-19
112365,634,31,306771.233333,2016-09-20
109880,594,32,297701.933333,2016-09-21
121038,658,38,323692.833333,2016-09-22
148484,740,34,385103.116667,2016-09-23
158551,767,49,406020.566667,2016-09-24
133051,776,43,340654.25,2016-09-25
128097,782,33,337089.65,2016-09-26
133393,821,36,351844.6,2016-09-27
136125,694,43,360128.683333,2016-09-28
154549,835,41,407397.233333,2016-09-29
165261,778,42,435843.616667,2016-09-30
162047,698,44,426632.416667,2016-10-01
137552,746,47,361132.916667,2016-10-02
132237,671,42,350047.2,2016-10-03
134789,669,43,358756.433333,2016-10-04
142222,710,36,376842.516667,2016-10-05
146840,703,33,390851.433333,2016-10-06
158035,619,37,425047.666667,2016-10-07
160257,663,33,426672.283333,2016-10-08
143018,699,43,376500.85,2016-10-09
149874,646,40,399928.95,2016-10-10
161400,677,41,432993.25,2016-10-11
168356,699,24,456758.8,2016-10-12
157037,592,48,426719.933333,2016-10-13
167784,607,34,447259.533333,2016-10-14
187281,659,32,491808.416667,2016-10-15
157004,690,33,410730.466667,2016-10-16
157632,659,37,416297.3,2016-10-17
190706,639,43,512219.05,2016-10-18
198317,745,43,533847.25,2016-10-19
175977,677,29,470737.283333,2016-10-20
203470,635,46,545682.75,2016-10-21
200951,621,32,536701.533333,2016-10-22
178700,641,26,478827.883333,2016-10-23
193185,680,30,518897.016667,2016-10-24
206628,670,54,555509.35,2016-10-25
219423,690,40,589819.733333,2016-10-26
227542,691,38,608030.95,2016-10-27
239493,653,30,638959.933333,2016-10-28
252528,598,37,667570.233333,2016-10-29
200667,685,43,531805.633333,2016-10-30
211365,614,41,571138.983333,2016-10-31
216267,729,51,576605.516667,2016-11-01
250804,824,37,666575.8,2016-11-02
299324,898,61,784883.25,2016-11-03
359029,937,66,931702.566667,2016-11-04
426111,1198,79,1084582.9,2016-11-05
380275,1375,59,957986.283333,2016-11-06
406799,1335,87,1024400.68333,2016-11-07
408120,1310,82,1040711.86667,2016-11-08
428966,1319,88,1091511.71667,2016-11-09
527056,1483,127,1334911.26667,2016-11-10
600186,1578,130,1505988.8,2016-11-11
608694,1592,123,1534504.88333,2016-11-12
502755,1644,129,1266376.11667,2016-11-13
544717,1524,143,1385627.83333,2016-11-14
587119,1609,142,1488762.65,2016-11-15
605452,1739,178,1521315.96667,2016-11-16
642975,1960,165,1619635.85,2016-11-17
718465,1826,158,1835561.88333,2016-11-18
737142,1755,157,1876729.66667,2016-11-19
619318,1964,173,1565921.41667,2016-11-20
627817,1771,158,1614027.21667,2016-11-21
632616,1692,170,1634432.71667,2016-11-22
698544,1681,151,1817988.2,2016-11-23
681382,1702,139,1764066.16667,2016-11-24
639275,1607,163,1646982.2,2016-11-25
683838,1802,191,1739762.38333,2016-11-26
551053,1735,179,1406951.75,2016-11-27
570102,1635,172,1477906.93333,2016-11-28
579915,1596,156,1512853.95,2016-11-29
585206,1665,155,1523198.38333,2016-11-30
574292,1576,183,1499147.6,2016-12-01
579476,1536,164,1519406.7,2016-12-02
587837,1528,136,1536350.78333,2016-12-03
505790,1566,119,1316696.36667,2016-12-04
502930,1507,143,1323547.35,2016-12-05
502103,1521,120,1321544.66667,2016-12-06
469218,1425,115,1267014.98333,2016-12-07
440164,1285,106,1189238.43333,2016-12-08
479576,1272,72,1309124.5,2016-12-09
467745,1264,84,1276814.06667,2016-12-10
382585,1327,88,1038785.86667,2016-12-11
379654,1226,90,1037159.65,2016-12-12
384252,1144,95,1055416.11667,2016-12-13
374441,1175,84,1033581.85,2016-12-14
368073,1070,88,1017937.75,2016-12-15
381809,1052,73,1047498.93333,2016-12-16
375427,1079,64,1018680.51667,2016-12-17
304632,995,74,827794.3,2016-12-18
328466,1050,79,897252.666667,2016-12-19
322199,1036,54,884412.45,2016-12-20
337476,976,71,920983.05,2016-12-21
357729,1268,58,977914.8,2016-12-22
368909,1015,53,1008644.65,2016-12-23
359931,948,54,977951.55,2016-12-24
322898,1084,52,871835.45,2016-12-25
342378,1150,57,931034.916667,2016-12-26
346015,1208,62,949227.166667,2016-12-27
294810,1019,51,813192.166667,2016-12-28
292520,1039,51,805899.383333,2016-12-29
297044,920,61,825408.866667,2016-12-30
350546,893,52,974213.383333,2016-12-31
224422,801,33,610169.4,2017-01-01
229943,911,43,621908.1,2017-01-02
224781,879,40,611858.183333,2017-01-03
