dailyViewcount,numShare,numSubscriber,watchTime,date
1579,21,1,2844.76666667,2016-11-10
3055,22,2,6486.11666667,2016-11-11
1379,7,1,3081.6,2016-11-12
1119,8,0,2747.43333333,2016-11-13
916,6,2,2092.01666667,2016-11-14
920,1,0,2239.85,2016-11-15
861,6,1,2429.9,2016-11-16
991,3,1,2638.8,2016-11-17
866,2,0,2211.91666667,2016-11-18
870,5,0,2385.81666667,2016-11-19
736,6,1,2085.68333333,2016-11-20
579,2,0,1649.98333333,2016-11-21
757,5,2,2042.8,2016-11-22
679,4,0,2308.41666667,2016-11-23
907,4,0,2518.5,2016-11-24
771,6,1,2246.95,2016-11-25
866,10,0,2404.43333333,2016-11-26
701,9,1,1879.65,2016-11-27
708,6,0,1944.76666667,2016-11-28
650,4,0,1776.33333333,2016-11-29
630,4,0,1688.66666667,2016-11-30
718,6,1,1956.85,2016-12-01
742,7,0,2109.4,2016-12-02
820,6,0,2171.41666667,2016-12-03
695,8,0,1875.98333333,2016-12-04
635,3,0,1687.4,2016-12-05
665,2,1,1732.33333333,2016-12-06
665,9,2,1747.31666667,2016-12-07
703,13,0,1936.16666667,2016-12-08
798,7,0,2267.46666667,2016-12-09
766,6,0,2121.66666667,2016-12-10
647,8,0,1802.2,2016-12-11
607,9,0,1689.11666667,2016-12-12
684,8,1,1982.36666667,2016-12-13
726,8,1,1986.38333333,2016-12-14
703,6,0,1975.71666667,2016-12-15
825,3,1,2362.18333333,2016-12-16
803,3,0,2365.01666667,2016-12-17
741,2,1,1934.3,2016-12-18
806,5,0,2038.88333333,2016-12-19
748,11,0,1983.75,2016-12-20
752,2,0,2074.73333333,2016-12-21
813,2,1,2308.95,2016-12-22
832,2,0,2418.31666667,2016-12-23
943,4,0,2829.45,2016-12-24
1227,7,0,3698.51666667,2016-12-25
795,9,0,2373.15,2016-12-26
763,8,0,2174.93333333,2016-12-27
696,5,0,1845.65,2016-12-28
705,0,2,1948.88333333,2016-12-29
770,6,1,2136.85,2016-12-30
908,4,1,2535.98333333,2016-12-31
798,3,0,2299.26666667,2017-01-01
653,6,0,1755.3,2017-01-02
667,2,1,1741.55,2017-01-03
611,0,0,1669.53333333,2017-01-04
692,3,0,1839.3,2017-01-05
782,6,0,2300.73333333,2017-01-06
770,4,1,2068.31666667,2017-01-07
654,7,1,1721.65,2017-01-08
536,4,0,1410.76666667,2017-01-09
571,5,1,1555.4,2017-01-10
608,7,0,1523.06666667,2017-01-11
607,6,0,1733.05,2017-01-12
698,9,0,1922.05,2017-01-13
694,6,0,1916.31666667,2017-01-14
748,2,0,2019.83333333,2017-01-15
676,2,0,1796.26666667,2017-01-16
