dailyViewcount,numShare,numSubscriber,watchTime,date
17331,786,71,38463.2,2016-04-28
61315,1392,149,144051.616667,2016-04-29
53894,951,113,127109.033333,2016-04-30
49322,919,78,115726.533333,2016-05-01
50682,825,74,124950.183333,2016-05-02
52797,683,66,128431.966667,2016-05-03
49617,610,60,123376.1,2016-05-04
46432,517,52,120176.566667,2016-05-05
48296,467,25,127472.366667,2016-05-06
54021,496,42,141980.4,2016-05-07
51112,463,47,131247.233333,2016-05-08
40389,429,34,106812.733333,2016-05-09
41406,446,25,110459.316667,2016-05-10
39019,394,23,104086.716667,2016-05-11
41772,437,23,110198.333333,2016-05-12
49243,510,23,129363.8,2016-05-13
50848,474,22,132889.766667,2016-05-14
42300,436,22,108167.666667,2016-05-15
43846,421,19,114657.2,2016-05-16
44189,422,13,117142.066667,2016-05-17
47030,455,19,123129.433333,2016-05-18
50222,427,28,132622.983333,2016-05-19
59758,509,34,156739.466667,2016-05-20
57931,500,15,148857.1,2016-05-21
56757,558,32,144053.533333,2016-05-22
58344,518,27,150319.866667,2016-05-23
45186,473,22,117956.366667,2016-05-24
46912,460,28,122729.316667,2016-05-25
50177,501,20,130236.1,2016-05-26
53301,455,26,137617.1,2016-05-27
56597,502,19,145117.966667,2016-05-28
58167,534,21,145745.266667,2016-05-29
59700,561,21,152797.416667,2016-05-30
61603,561,31,158904.0,2016-05-31
66950,535,30,172140.65,2016-06-01
70710,583,28,181550.7,2016-06-02
79133,603,38,203257.383333,2016-06-03
81174,560,20,207257.066667,2016-06-04
62883,541,13,157493.1,2016-06-05
58237,498,29,151140.616667,2016-06-06
58597,510,15,153474.45,2016-06-07
58910,465,19,153115.533333,2016-06-08
65318,524,25,169004.683333,2016-06-09
70563,545,19,183528.916667,2016-06-10
76320,564,30,191923.7,2016-06-11
68797,556,21,169944.833333,2016-06-12
65294,526,22,166714.766667,2016-06-13
66822,506,19,171466.2,2016-06-14
66198,517,21,170958.916667,2016-06-15
65082,468,25,166174.15,2016-06-16
69990,578,19,180653.033333,2016-06-17
71213,504,19,180667.083333,2016-06-18
58648,403,18,146198.916667,2016-06-19
55140,401,12,139685.033333,2016-06-20
55953,418,18,145131.883333,2016-06-21
57056,421,13,147867.866667,2016-06-22
58120,454,16,149082.5,2016-06-23
65750,435,12,170848.533333,2016-06-24
66514,518,17,170736.35,2016-06-25
53780,388,12,136820.15,2016-06-26
54963,421,14,140506.716667,2016-06-27
51700,386,17,131069.5,2016-06-28
55179,409,14,140382.65,2016-06-29
54918,381,21,141140.633333,2016-06-30
58717,405,19,150118.233333,2016-07-01
60276,402,14,154751.75,2016-07-02
53594,401,11,134650.483333,2016-07-03
53493,391,16,136066.6,2016-07-04
53026,399,14,134962.216667,2016-07-05
54940,448,9,137100.866667,2016-07-06
53882,386,26,134407.016667,2016-07-07
60947,450,22,153358.7,2016-07-08
