dailyViewcount,numShare,numSubscriber,watchTime,date
75824,281,122,281566.666667,2014-11-06
231629,713,260,783596.083333,2014-11-07
204530,412,123,646315.216667,2014-11-08
186023,298,101,574835.35,2014-11-09
148497,255,94,479976.783333,2014-11-10
136584,239,73,448163.716667,2014-11-11
193089,283,165,564806.783333,2014-11-12
188121,231,106,549899.333333,2014-11-13
98209,180,57,330630.516667,2014-11-14
160100,186,97,472513.866667,2014-11-15
149433,176,90,443965.35,2014-11-16
145482,181,89,435492.183333,2014-11-17
148637,219,65,449664.533333,2014-11-18
147997,235,80,463842.5,2014-11-19
149968,250,92,476812.6,2014-11-20
143021,171,68,433581.8,2014-11-21
163729,168,64,454670.033333,2014-11-22
164260,184,84,445398.616667,2014-11-23
137487,209,84,425963.133333,2014-11-24
139282,190,64,430956.2,2014-11-25
148650,190,78,465149.916667,2014-11-26
142227,213,65,440283.6,2014-11-27
141337,176,64,440171.65,2014-11-28
146844,185,87,453618.283333,2014-11-29
139399,154,79,421581.416667,2014-11-30
140638,167,64,439275.4,2014-12-01
139323,183,90,437383.4,2014-12-02
139880,202,72,446691.683333,2014-12-03
160570,162,84,475248.483333,2014-12-04
163998,161,62,491452.833333,2014-12-05
168257,168,71,499082.9,2014-12-06
147825,168,62,441615.683333,2014-12-07
137678,192,75,425963.45,2014-12-08
137744,178,72,421885.983333,2014-12-09
137009,160,82,421416.516667,2014-12-10
144111,161,87,443339.35,2014-12-11
152969,149,76,470422.7,2014-12-12
156803,142,70,479218.116667,2014-12-13
134923,150,50,405967.85,2014-12-14
131603,153,71,403840.866667,2014-12-15
135361,150,61,412406.15,2014-12-16
138078,152,68,419696.183333,2014-12-17
142862,117,63,434744.75,2014-12-18
149114,157,58,451894.766667,2014-12-19
151823,144,77,458516.583333,2014-12-20
128922,136,44,389060.583333,2014-12-21
130870,154,64,396602.25,2014-12-22
135637,132,61,413867.65,2014-12-23
137795,117,56,423770.416667,2014-12-24
122867,81,47,362455.266667,2014-12-25
125629,107,54,376187.783333,2014-12-26
132186,107,43,396740.6,2014-12-27
124471,118,66,370846.05,2014-12-28
129359,109,47,393555.0,2014-12-29
135542,113,44,409315.333333,2014-12-30
155247,108,39,472314.6,2014-12-31
117329,101,31,345011.9,2015-01-01
129251,122,53,393820.316667,2015-01-02
127935,111,56,385150.416667,2015-01-03
120148,104,32,361569.45,2015-01-04
118701,95,44,366786.283333,2015-01-05
119866,130,51,369152.666667,2015-01-06
116946,106,54,366298.233333,2015-01-07
122973,134,49,381308.683333,2015-01-08
137087,151,50,422191.116667,2015-01-09
140089,134,54,422581.933333,2015-01-10
121753,104,48,366898.05,2015-01-11
116490,96,53,357941.683333,2015-01-12
118077,111,54,362132.683333,2015-01-13
123635,28,10,379014.3,2015-01-14
126657,89,40,388542.233333,2015-01-15
136070,119,54,417829.883333,2015-01-16
144272,97,53,436828.716667,2015-01-17
127994,113,50,382568.533333,2015-01-18
124740,121,59,381702.383333,2015-01-19
116719,89,53,359946.016667,2015-01-20
112798,120,45,351360.25,2015-01-21
117516,116,40,362241.116667,2015-01-22
126941,173,55,390840.1,2015-01-23
135330,177,45,407988.0,2015-01-24
116093,184,52,349078.533333,2015-01-25
112596,195,49,344652.916667,2015-01-26
115734,236,48,353598.8,2015-01-27
115624,223,67,354165.1,2015-01-28
120025,210,64,367675.383333,2015-01-29
125946,243,47,387894.766667,2015-01-30
132619,225,58,398458.216667,2015-01-31
110763,178,52,331265.983333,2015-02-01
103996,175,43,321745.483333,2015-02-02
107210,172,45,333671.766667,2015-02-03
112818,211,39,348882.483333,2015-02-04
117098,213,59,363172.466667,2015-02-05
118427,195,40,365755.566667,2015-02-06
125477,146,38,383088.583333,2015-02-07
107701,169,48,329453.0,2015-02-08
104489,158,46,326650.4,2015-02-09
106851,204,41,333585.866667,2015-02-10
103318,159,44,322108.95,2015-02-11
106288,169,43,332568.216667,2015-02-12
107013,188,44,332135.833333,2015-02-13
119837,174,37,360695.8,2015-02-14
100199,142,34,298017.533333,2015-02-15
99778,154,34,298973.533333,2015-02-16
93126,146,31,282326.783333,2015-02-17
93135,174,38,282402.733333,2015-02-18
91916,160,25,281585.3,2015-02-19
102408,185,40,310078.816667,2015-02-20
108104,158,44,323767.4,2015-02-21
93483,173,39,280713.133333,2015-02-22
88314,171,50,270952.516667,2015-02-23
85896,158,37,264342.8,2015-02-24
86761,130,30,268622.266667,2015-02-25
87514,132,33,269221.316667,2015-02-26
94669,164,37,290100.1,2015-02-27
99394,148,43,300675.366667,2015-02-28
87777,116,33,264649.883333,2015-03-01
88035,141,31,268657.816667,2015-03-02
85427,195,26,259927.433333,2015-03-03
88615,210,32,270785.55,2015-03-04
89988,199,31,276602.516667,2015-03-05
92508,200,30,284027.083333,2015-03-06
97237,205,39,296097.283333,2015-03-07
82338,188,33,248864.883333,2015-03-08
81315,174,29,249435.916667,2015-03-09
80533,173,26,249423.0,2015-03-10
77496,190,25,237178.566667,2015-03-11
81083,185,39,248140.6,2015-03-12
85036,187,27,259873.833333,2015-03-13
91598,189,41,274515.666667,2015-03-14
77774,169,27,231801.716667,2015-03-15
71542,189,29,218502.266667,2015-03-16
71245,172,31,217023.816667,2015-03-17
70733,168,25,214845.283333,2015-03-18
74073,188,22,226116.933333,2015-03-19
79028,170,30,239511.883333,2015-03-20
86945,170,23,258275.433333,2015-03-21
75346,164,13,223360.816667,2015-03-22
74028,168,31,224612.116667,2015-03-23
71127,165,23,215354.683333,2015-03-24
73999,192,28,223893.6,2015-03-25
75197,160,34,229549.416667,2015-03-26
80364,165,24,243822.483333,2015-03-27
82842,128,22,247547.15,2015-03-28
69491,134,18,205098.433333,2015-03-29
68998,107,23,207473.433333,2015-03-30
69611,131,22,209864.366667,2015-03-31
70214,153,21,212113.8,2015-04-01
73268,125,16,219415.666667,2015-04-02
76911,136,20,228273.9,2015-04-03
75397,118,26,223612.916667,2015-04-04
69305,104,28,204874.25,2015-04-05
68732,115,26,206155.033333,2015-04-06
67542,105,16,203258.05,2015-04-07
69842,126,20,211276.816667,2015-04-08
70975,153,22,214096.183333,2015-04-09
76903,159,20,236936.216667,2015-04-10
85638,160,29,263209.916667,2015-04-11
89489,161,36,265676.2,2015-04-12
97580,218,39,281724.166667,2015-04-13
98603,224,30,291252.883333,2015-04-14
101579,198,40,304588.9,2015-04-15
84797,185,24,253272.016667,2015-04-16
79774,193,25,239760.55,2015-04-17
84580,144,27,251403.533333,2015-04-18
74298,159,37,218930.833333,2015-04-19
70425,154,29,211978.6,2015-04-20
70448,177,29,212411.55,2015-04-21
70558,166,31,212581.1,2015-04-22
69794,173,25,210963.683333,2015-04-23
73219,158,26,219346.416667,2015-04-24
77350,177,23,228263.9,2015-04-25
68147,160,20,199570.216667,2015-04-26
61600,166,18,185350.55,2015-04-27
61948,135,26,185695.416667,2015-04-28
63934,179,25,192363.6,2015-04-29
66392,177,27,201527.0,2015-04-30
73523,148,32,218576.066667,2015-05-01
70941,134,32,210154.466667,2015-05-02
63310,147,22,185274.966667,2015-05-03
62521,152,23,185706.783333,2015-05-04
62341,140,39,185798.35,2015-05-05
65133,120,30,191918.95,2015-05-06
68297,139,23,203502.75,2015-05-07
74066,158,33,218860.033333,2015-05-08
76981,141,22,226230.8,2015-05-09
65838,138,26,189625.766667,2015-05-10
62267,142,28,183265.583333,2015-05-11
60857,151,26,181810.733333,2015-05-12
62371,223,21,185339.016667,2015-05-13
70368,206,23,205299.3,2015-05-14
69351,186,24,205595.133333,2015-05-15
71915,197,17,210794.683333,2015-05-16
62177,197,16,181687.266667,2015-05-17
59138,216,21,174100.5,2015-05-18
59028,208,20,173686.15,2015-05-19
59056,167,12,175114.516667,2015-05-20
60107,212,22,178902.033333,2015-05-21
62048,164,17,184123.3,2015-05-22
62059,188,16,182677.916667,2015-05-23
57360,166,11,166482.666667,2015-05-24
55592,194,20,161553.666667,2015-05-25
54701,168,16,159968.6,2015-05-26
52216,175,11,154329.75,2015-05-27
54784,198,22,162309.333333,2015-05-28
56465,191,16,166126.883333,2015-05-29
60199,189,17,174003.533333,2015-05-30
52121,135,16,148341.183333,2015-05-31
50494,193,18,147037.233333,2015-06-01
51267,174,18,149362.683333,2015-06-02
54001,198,28,157094.366667,2015-06-03
50306,175,16,148100.516667,2015-06-04
52111,159,15,154250.6,2015-06-05
58958,169,19,169936.15,2015-06-06
54675,209,19,154709.95,2015-06-07
53435,172,20,154604.066667,2015-06-08
52472,190,22,153074.133333,2015-06-09
52664,196,20,153409.6,2015-06-10
51810,217,10,151435.9,2015-06-11
55458,187,18,162701.283333,2015-06-12
57042,172,12,163789.516667,2015-06-13
49960,171,17,141723.15,2015-06-14
50856,212,15,145857.066667,2015-06-15
50576,219,20,145944.6,2015-06-16
52797,209,18,153271.833333,2015-06-17
56679,224,25,165674.433333,2015-06-18
58496,209,19,170893.016667,2015-06-19
60994,187,21,176093.533333,2015-06-20
55499,197,16,157800.633333,2015-06-21
57297,222,24,166193.533333,2015-06-22
54798,189,17,160204.016667,2015-06-23
53732,219,18,156032.15,2015-06-24
52508,183,17,152121.7,2015-06-25
49899,164,11,147345.033333,2015-06-26
50263,172,12,146296.8,2015-06-27
45021,199,14,126798.133333,2015-06-28
45438,215,16,129198.683333,2015-06-29
47641,194,11,135675.233333,2015-06-30
47692,165,18,136612.583333,2015-07-01
52848,182,26,154951.016667,2015-07-02
54986,186,8,159198.416667,2015-07-03
51359,162,15,150563.916667,2015-07-04
47631,164,12,132539.65,2015-07-05
48292,177,15,137672.716667,2015-07-06
49855,191,17,142316.066667,2015-07-07
49534,180,26,142003.566667,2015-07-08
51064,190,10,146746.85,2015-07-09
52600,188,23,150565.65,2015-07-10
51906,157,13,146665.3,2015-07-11
46582,161,15,129436.666667,2015-07-12
47911,196,15,135643.166667,2015-07-13
48703,153,7,139278.916667,2015-07-14
49339,206,22,138034.8,2015-07-15
46812,173,13,132000.2,2015-07-16
49063,192,13,138698.033333,2015-07-17
48530,136,7,137733.5,2015-07-18
44044,160,14,123519.783333,2015-07-19
44874,161,14,126676.166667,2015-07-20
43667,149,17,125603.483333,2015-07-21
42921,155,19,123205.883333,2015-07-22
45704,184,15,130729.8,2015-07-23
48394,195,23,139168.816667,2015-07-24
46620,159,15,133042.45,2015-07-25
39866,161,27,111272.8,2015-07-26
40857,164,21,115302.466667,2015-07-27
42674,179,11,120449.9,2015-07-28
44349,187,17,125211.283333,2015-07-29
41894,189,15,118593.95,2015-07-30
43626,188,14,124381.8,2015-07-31
42693,146,14,119722.566667,2015-08-01
39408,154,21,109946.55,2015-08-02
38669,183,14,110185.016667,2015-08-03
38420,189,14,111060.066667,2015-08-04
37068,182,16,108822.15,2015-08-05
37255,156,12,108342.316667,2015-08-06
39170,153,11,115438.166667,2015-08-07
40995,154,11,118595.283333,2015-08-08
37866,148,15,108106.383333,2015-08-09
38805,164,12,112334.266667,2015-08-10
38709,153,12,112882.716667,2015-08-11
37324,175,11,108486.55,2015-08-12
37588,217,24,109313.516667,2015-08-13
39533,189,17,115719.133333,2015-08-14
41244,156,17,118688.133333,2015-08-15
37619,166,15,108434.55,2015-08-16
36948,183,14,105668.766667,2015-08-17
37243,188,16,107174.5,2015-08-18
36507,154,9,106854.416667,2015-08-19
36539,196,12,105954.2,2015-08-20
40032,239,17,115456.233333,2015-08-21
40949,161,11,118341.983333,2015-08-22
39248,193,9,112368.866667,2015-08-23
28776,167,8,84827.2166667,2015-08-24
35044,203,18,102860.4,2015-08-25
35576,169,17,104786.183333,2015-08-26
35712,157,12,106203.783333,2015-08-27
36858,142,11,108727.1,2015-08-28
36787,137,12,108099.566667,2015-08-29
31626,150,3,92575.2666667,2015-08-30
30118,177,13,83532.5333333,2015-08-31
32353,162,7,94776.6,2015-09-01
32395,162,12,95217.3833333,2015-09-02
32674,161,16,96802.7666667,2015-09-03
35026,153,12,103616.083333,2015-09-04
37028,148,9,108007.666667,2015-09-05
34232,169,6,98710.4166667,2015-09-06
33000,155,15,95348.7666667,2015-09-07
29941,136,11,87030.2333333,2015-09-08
31057,152,16,91146.9833333,2015-09-09
32660,170,15,96998.6333333,2015-09-10
36013,161,7,106550.816667,2015-09-11
37258,128,9,109680.616667,2015-09-12
33773,155,8,95780.5333333,2015-09-13
32185,166,12,93742.5333333,2015-09-14
30194,158,9,88530.5166667,2015-09-15
31439,174,12,91485.4,2015-09-16
32084,184,12,93965.5666667,2015-09-17
36910,137,8,108571.65,2015-09-18
38552,149,12,111838.35,2015-09-19
42263,200,20,114077.75,2015-09-20
45098,228,11,125645.65,2015-09-21
40503,193,11,115003.4,2015-09-22
40273,184,12,114768.733333,2015-09-23
41635,219,10,118495.75,2015-09-24
43989,181,20,123992.75,2015-09-25
43767,212,10,123474.016667,2015-09-26
35966,179,9,101384.95,2015-09-27
35459,168,10,100005.066667,2015-09-28
34536,175,7,98848.9333333,2015-09-29
37273,175,13,108659.55,2015-09-30
38252,198,16,110255.05,2015-10-01
40991,198,11,119003.6,2015-10-02
43535,164,16,124202.716667,2015-10-03
38478,156,6,108070.983333,2015-10-04
36702,129,14,104987.783333,2015-10-05
37345,170,9,108355.95,2015-10-06
37510,176,13,107494.8,2015-10-07
40096,195,12,117449.55,2015-10-08
42136,180,15,124885.7,2015-10-09
44086,203,7,128912.483333,2015-10-10
40347,165,15,117235.183333,2015-10-11
39663,169,15,117207.666667,2015-10-12
39311,188,18,117398.95,2015-10-13
40140,149,11,120643.016667,2015-10-14
39314,184,14,117526.133333,2015-10-15
41033,148,18,121392.0,2015-10-16
42370,179,18,123765.883333,2015-10-17
37817,167,15,110588.266667,2015-10-18
38326,172,10,113549.25,2015-10-19
38802,194,25,114327.116667,2015-10-20
38833,141,13,112935.116667,2015-10-21
39998,187,17,116129.216667,2015-10-22
40283,174,14,120543.883333,2015-10-23
43617,171,18,126089.25,2015-10-24
36716,167,9,106638.95,2015-10-25
36013,182,18,106456.333333,2015-10-26
35054,152,12,104885.35,2015-10-27
37528,148,13,111166.933333,2015-10-28
37817,162,6,113763.366667,2015-10-29
41341,175,15,124795.55,2015-10-30
42517,151,10,126204.983333,2015-10-31
38703,155,10,112635.216667,2015-11-01
37640,159,12,112659.516667,2015-11-02
36697,144,12,110553.583333,2015-11-03
37595,168,11,113418.25,2015-11-04
41144,183,18,124234.933333,2015-11-05
42749,190,15,129554.433333,2015-11-06
44132,197,16,132830.616667,2015-11-07
38717,191,8,116848.0,2015-11-08
38572,147,16,117116.833333,2015-11-09
39417,183,15,119641.05,2015-11-10
38014,169,16,118849.283333,2015-11-11
38533,187,8,120981.583333,2015-11-12
38855,159,19,120243.05,2015-11-13
36808,129,6,111494.083333,2015-11-14
33153,151,14,100022.716667,2015-11-15
31897,163,12,97208.4,2015-11-16
32444,179,13,98995.1666667,2015-11-17
34004,131,10,103961.483333,2015-11-18
34561,148,14,105177.5,2015-11-19
37387,129,5,114039.266667,2015-11-20
38953,156,3,118633.3,2015-11-21
35603,129,10,108619.633333,2015-11-22
35068,145,14,108311.716667,2015-11-23
35541,146,13,109975.116667,2015-11-24
37717,163,10,116712.733333,2015-11-25
35654,151,10,110541.883333,2015-11-26
35892,148,9,111067.966667,2015-11-27
38388,164,8,118521.583333,2015-11-28
35122,133,11,108106.25,2015-11-29
32890,138,11,103222.333333,2015-11-30
31499,136,8,97086.4,2015-12-01
30843,153,12,96050.9666667,2015-12-02
30136,116,12,93066.9166667,2015-12-03
33980,138,7,106047.716667,2015-12-04
36732,139,12,114778.6,2015-12-05
32667,136,8,101499.616667,2015-12-06
31234,141,9,98435.0333333,2015-12-07
31777,127,7,98944.2,2015-12-08
29671,138,4,93080.5666667,2015-12-09
31628,140,8,98914.8333333,2015-12-10
36160,131,10,115753.383333,2015-12-11
37106,90,13,119514.35,2015-12-12
31923,125,8,102667.45,2015-12-13
31471,128,13,100756.05,2015-12-14
31815,108,11,101652.7,2015-12-15
31698,152,11,101619.233333,2015-12-16
32377,123,12,103697.9,2015-12-17
31715,127,11,100146.4,2015-12-18
32795,115,5,104356.033333,2015-12-19
29325,100,12,93009.5166667,2015-12-20
32296,134,7,102688.816667,2015-12-21
33898,124,9,108241.85,2015-12-22
34857,115,9,111888.133333,2015-12-23
35365,123,10,112951.533333,2015-12-24
30414,96,7,95789.3333333,2015-12-25
32812,134,9,105350.3,2015-12-26
31194,172,9,98462.5666667,2015-12-27
33366,138,6,106505.583333,2015-12-28
33917,136,6,108346.683333,2015-12-29
33636,117,7,106754.733333,2015-12-30
40141,137,6,126722.15,2015-12-31
30474,104,6,93310.15,2016-01-01
32507,128,7,99672.35,2016-01-02
29119,137,9,88232.7,2016-01-03
29672,128,8,93314.1,2016-01-04
26146,122,5,79950.6833333,2016-01-05
27756,132,8,86005.5833333,2016-01-06
28323,130,6,88226.4666667,2016-01-07
30545,137,9,95815.1166667,2016-01-08
34177,152,10,105876.966667,2016-01-09
29143,140,7,89111.7833333,2016-01-10
27770,112,9,85108.6,2016-01-11
28000,117,8,86454.7333333,2016-01-12
29773,120,7,92814.9666667,2016-01-13
30886,146,12,97215.0166667,2016-01-14
33228,144,9,106336.75,2016-01-15
35824,128,8,112207.383333,2016-01-16
31607,137,11,97292.4666667,2016-01-17
29924,157,12,93186.5666667,2016-01-18
28599,148,10,88637.75,2016-01-19
29208,134,12,91014.4166667,2016-01-20
30533,127,12,95716.2166667,2016-01-21
32272,121,9,101038.716667,2016-01-22
35570,151,7,113556.266667,2016-01-23
