dailyViewcount,numShare,numSubscriber,watchTime,date
2617242,43783,2692,7411179.31667,2016-05-17
2570279,34400,1835,7227126.16667,2016-05-18
2212886,28598,1659,6117488.15,2016-05-19
2209437,28457,1561,5991229.38333,2016-05-20
2153693,23920,1578,5764303.96667,2016-05-21
1972177,22202,1440,5219155.2,2016-05-22
1814641,20224,1215,4995032.31667,2016-05-23
1599171,17994,990,4500442.78333,2016-05-24
1550417,17013,938,4432713.15,2016-05-25
1696761,18022,1065,4866588.75,2016-05-26
1811356,18841,904,5204533.85,2016-05-27
1784141,17650,908,5077571.6,2016-05-28
1659693,17091,821,4693108.86667,2016-05-29
1565354,16529,816,4548854.28333,2016-05-30
1649148,16253,809,4798015.2,2016-05-31
1825840,17168,943,5320553.83333,2016-06-01
1775740,17230,814,5166261.78333,2016-06-02
1920799,17924,841,5563190.33333,2016-06-03
1980746,17961,809,5698964.58333,2016-06-04
1723226,17370,825,4953778.16667,2016-06-05
1608370,15713,717,4775564.55,2016-06-06
1655516,15587,772,4914026.05,2016-06-07
1747304,16548,809,5196927.8,2016-06-08
1822048,17428,819,5422652.03333,2016-06-09
1931326,17661,855,5733326.13333,2016-06-10
2067067,18207,846,6018626.55,2016-06-11
1808372,17711,796,5188742.15,2016-06-12
1721685,16643,758,5091870.43333,2016-06-13
1796676,16861,780,5332738.0,2016-06-14
1864816,16878,833,5522457.55,2016-06-15
1899669,17383,841,5586139.8,2016-06-16
2038057,17851,893,5974933.86667,2016-06-17
2110597,17821,860,6158569.23333,2016-06-18
1775547,16811,771,5157510.76667,2016-06-19
1778009,16057,796,5309799.86667,2016-06-20
1855920,17093,764,5519674.66667,2016-06-21
1820241,16767,721,5453147.78333,2016-06-22
1960115,17504,806,5787350.23333,2016-06-23
2078554,18132,818,6137773.51667,2016-06-24
2042293,17295,751,5973418.58333,2016-06-25
1790300,16675,734,5132067.9,2016-06-26
1795064,16415,840,5261163.43333,2016-06-27
1859169,16694,738,5486702.75,2016-06-28
1924666,17440,817,5702922.95,2016-06-29
1996698,18257,807,5888925.25,2016-06-30
2136195,18767,878,6258867.05,2016-07-01
2151565,18408,863,6221489.6,2016-07-02
1918604,18106,743,5444544.68333,2016-07-03
1899326,16906,824,5514574.53333,2016-07-04
1946879,17117,803,5635865.88333,2016-07-05
1984729,17423,821,5784325.11667,2016-07-06
2034041,17609,807,5954987.03333,2016-07-07
2194725,19197,915,6417143.96667,2016-07-08
2270153,18828,914,6576162.61667,2016-07-09
1912598,17720,754,5461315.83333,2016-07-10
1980899,17789,859,5800296.71667,2016-07-11
2025597,17912,946,5944065.45,2016-07-12
2075562,18261,918,6117420.91667,2016-07-13
2168249,19198,883,6383105.18333,2016-07-14
2253430,18930,951,6627756.61667,2016-07-15
2240601,18467,860,6532539.68333,2016-07-16
