dailyViewcount,numShare,numSubscriber,watchTime,date
7732,178,1,18390.1666667,2016-12-21
8820,138,2,26901.8833333,2016-12-22
5859,88,1,18861.9333333,2016-12-23
5285,35,0,16215.8833333,2016-12-24
5867,54,0,17141.85,2016-12-25
6388,61,2,19654.65,2016-12-26
7510,56,1,22498.4666667,2016-12-27
7101,63,2,22270.0333333,2016-12-28
6198,54,1,21748.1833333,2016-12-29
7264,63,0,23527.6166667,2016-12-30
8018,78,3,26176.4166667,2016-12-31
6598,59,1,20636.5,2017-01-01
7601,79,2,24978.0666667,2017-01-02
6417,52,2,21126.7833333,2017-01-03
5943,52,1,19673.6166667,2017-01-04
6338,55,5,19946.85,2017-01-05
5892,53,1,18997.2666667,2017-01-06
6186,47,2,20061.2166667,2017-01-07
6304,52,1,20062.3166667,2017-01-08
6196,55,1,19220.2166667,2017-01-09
6052,53,1,18771.2,2017-01-10
5754,35,1,18513.8333333,2017-01-11
6194,47,3,19762.75,2017-01-12
6686,44,1,21789.7833333,2017-01-13
7852,48,0,25559.3333333,2017-01-14
7014,55,1,22999.0833333,2017-01-15
5864,33,0,19547.2833333,2017-01-16
6563,35,0,21374.1,2017-01-17
6868,44,0,21775.9,2017-01-18
7611,42,0,23830.4333333,2017-01-19
7342,37,0,23115.7,2017-01-20
8638,39,0,28440.9166667,2017-01-21
8139,53,0,25833.7666667,2017-01-22
6893,33,0,22057.8666667,2017-01-23
6600,46,0,20899.1666667,2017-01-24
6721,35,0,21274.4333333,2017-01-25
6860,24,0,22028.8,2017-01-26
8560,52,0,25437.0666667,2017-01-27
10197,46,1,31171.4333333,2017-01-28
9602,57,1,29048.0333333,2017-01-29
7685,44,6,23833.5,2017-01-30
8474,45,3,25685.2833333,2017-01-31
8947,50,2,26961.15,2017-02-01
9049,63,1,28004.4333333,2017-02-02
10304,49,3,31333.8333333,2017-02-03
12132,70,4,38109.5333333,2017-02-04
10916,60,2,34554.6666667,2017-02-05
9176,55,1,29661.2333333,2017-02-06
9194,47,1,29186.0666667,2017-02-07
9666,40,1,30432.2,2017-02-08
9644,50,0,29973.3333333,2017-02-09
10064,35,0,30655.7333333,2017-02-10
11618,59,1,36063.4,2017-02-11
10294,47,2,32198.2333333,2017-02-12
10736,52,1,34204.7,2017-02-13
10781,35,3,34553.1666667,2017-02-14
11218,53,1,35472.9666667,2017-02-15
11636,38,1,36414.2,2017-02-16
11984,27,1,37313.5833333,2017-02-17
12267,41,3,37506.75,2017-02-18
11659,78,1,35097.4166667,2017-02-19
12630,53,0,37126.7666667,2017-02-20
13283,53,3,37938.45,2017-02-21
11572,57,2,34356.6666667,2017-02-22
13168,49,2,39337.2333333,2017-02-23
13842,46,5,40918.5666667,2017-02-24
15499,58,1,46359.3166667,2017-02-25
14599,68,3,43690.1666667,2017-02-26
13075,47,0,39413.2666667,2017-02-27
13190,52,2,40412.7833333,2017-02-28
12842,55,4,38769.15,2017-03-01
13087,52,2,39971.3833333,2017-03-02
14621,54,2,42869.3166667,2017-03-03
17695,71,4,53554.5833333,2017-03-04
15356,50,4,46788.0833333,2017-03-05
13363,130,2,40960.9,2017-03-06
12538,49,4,37810.7333333,2017-03-07
12470,36,5,37824.6333333,2017-03-08
14630,41,3,44084.3166667,2017-03-09
16466,59,1,48423.75,2017-03-10
20372,58,4,60593.6666667,2017-03-11
16556,64,4,49212.3833333,2017-03-12
13418,44,2,40962.5833333,2017-03-13
13375,47,3,39555.1166667,2017-03-14
14491,64,3,43140.6166667,2017-03-15
14186,59,2,42437.4833333,2017-03-16
16393,53,2,48672.7833333,2017-03-17
19812,61,1,58203.3666667,2017-03-18
14717,53,3,42971.15,2017-03-19
12451,60,2,37577.1666667,2017-03-20
12925,49,5,38235.7333333,2017-03-21
11968,52,4,35925.5666667,2017-03-22
12235,36,3,36443.8666667,2017-03-23
13358,51,4,39579.6,2017-03-24
15516,44,3,45795.8166667,2017-03-25
12682,42,2,38185.8666667,2017-03-26
11655,41,1,34651.2333333,2017-03-27
12122,58,4,35425.9666667,2017-03-28
12852,39,3,37538.7666667,2017-03-29
13779,43,3,40987.45,2017-03-30
15120,45,3,44660.4333333,2017-03-31
17747,45,2,51891.6666667,2017-04-01
16578,53,2,48262.35,2017-04-02
16900,63,1,49759.8333333,2017-04-03
16080,67,3,47235.4166667,2017-04-04
15848,71,4,46871.5,2017-04-05
15306,43,1,45092.0166667,2017-04-06
16152,53,1,47972.9333333,2017-04-07
16302,49,4,47983.1833333,2017-04-08
13752,45,2,40019.65,2017-04-09
13037,42,2,38312.4333333,2017-04-10
13144,51,0,38897.2833333,2017-04-11
13442,38,2,39289.9833333,2017-04-12
14022,54,1,41953.2833333,2017-04-13
14729,37,1,43321.6666667,2017-04-14
14401,49,3,42434.1166667,2017-04-15
13614,42,1,39105.4666667,2017-04-16
12541,51,3,36262.15,2017-04-17
12643,42,2,36398.05,2017-04-18
12023,51,1,34834.5166667,2017-04-19
12287,41,3,35543.1333333,2017-04-20
13094,35,4,37440.55,2017-04-21
14346,53,0,41549.6666667,2017-04-22
11998,54,2,34881.75,2017-04-23
11492,36,0,32807.95,2017-04-24
11854,58,1,34725.5,2017-04-25
11680,46,0,33931.15,2017-04-26
11716,22,2,33373.3166667,2017-04-27
12655,45,2,36413.3166667,2017-04-28
14122,34,2,40739.75,2017-04-29
13995,57,3,39914.0833333,2017-04-30
13945,45,0,41179.0,2017-05-01
11852,39,2,34210.25,2017-05-02
12273,49,0,35235.95,2017-05-03
12473,51,5,36298.75,2017-05-04
12094,47,1,34985.35,2017-05-05
14025,39,2,40139.7833333,2017-05-06
12848,57,1,37019.4166667,2017-05-07
10721,44,3,31559.3833333,2017-05-08
11196,29,1,32416.35,2017-05-09
10966,43,2,32291.85,2017-05-10
11562,30,0,33103.7833333,2017-05-11
13072,44,0,36235.75,2017-05-12
16541,51,3,46870.9,2017-05-13
14799,59,2,41386.8333333,2017-05-14
