dailyViewcount,numShare,numSubscriber,watchTime,date
6656963,105468,7843,15368151.9,2016-09-19
3872016,33034,4169,8440662.96667,2016-09-20
2280934,18522,1757,5416836.26667,2016-09-21
1977737,14354,1145,4783149.7,2016-09-22
1930685,12049,820,4713767.23333,2016-09-23
1930170,12351,1153,4680104.18333,2016-09-24
1494784,10188,865,3598586.98333,2016-09-25
1241125,7991,631,3029491.38333,2016-09-26
1204588,6960,551,2928182.75,2016-09-27
1139964,6794,524,2785345.61667,2016-09-28
1075919,6542,478,2635983.2,2016-09-29
1208934,6993,535,2829190.85,2016-09-30
1330344,7369,572,3121213.56667,2016-10-01
1120215,6836,521,2677031.75,2016-10-02
973036,5246,443,2371772.93333,2016-10-03
956616,5106,375,2334529.11667,2016-10-04
980359,5198,425,2367538.31667,2016-10-05
964194,4835,394,2353076.43333,2016-10-06
1094422,5423,447,2586029.86667,2016-10-07
1119481,5650,441,2667440.23333,2016-10-08
977243,5516,364,2344122.23333,2016-10-09
860234,4363,331,2137607.03333,2016-10-10
852754,4168,298,2116921.9,2016-10-11
883497,4271,379,2173906.31667,2016-10-12
841519,3999,335,2084682.11667,2016-10-13
883053,4203,335,2145604.86667,2016-10-14
973561,4625,367,2349248.45,2016-10-15
777532,4026,292,1937980.6,2016-10-16
672386,3316,243,1709406.68333,2016-10-17
667900,3372,207,1705390.03333,2016-10-18
671137,3363,252,1717944.0,2016-10-19
707294,3500,236,1789919.55,2016-10-20
787789,3940,303,1933111.11667,2016-10-21
914919,4192,332,2239179.06667,2016-10-22
778151,3817,291,1911218.21667,2016-10-23
706212,3226,234,1778355.41667,2016-10-24
697702,3296,245,1761602.76667,2016-10-25
687299,3228,217,1751786.85,2016-10-26
692437,3288,220,1750453.05,2016-10-27
721255,3519,282,1825911.26667,2016-10-28
765817,3586,280,1893810.38333,2016-10-29
659489,3334,238,1636039.25,2016-10-30
576491,2734,174,1483629.0,2016-10-31
607528,3094,181,1545704.51667,2016-11-01
640818,3452,236,1600459.96667,2016-11-02
601346,3345,210,1506714.41667,2016-11-03
624479,3496,243,1550965.73333,2016-11-04
694238,3734,269,1704002.8,2016-11-05
599702,3513,212,1487840.51667,2016-11-06
540253,2804,181,1384591.95,2016-11-07
