dailyViewcount,numShare,numSubscriber,watchTime,date
94357,1877,245,273667.866667,2016-06-28
72030,1240,196,219970.216667,2016-06-29
133739,1731,305,378922.6,2016-06-30
158282,1801,314,450804.8,2016-07-01
164368,1670,277,469083.05,2016-07-02
168524,1528,228,485316.983333,2016-07-03
180419,1462,252,505278.183333,2016-07-04
163763,1196,202,455007.283333,2016-07-05
168258,1253,140,466362.016667,2016-07-06
167294,1241,128,467217.683333,2016-07-07
166634,1241,133,487793.25,2016-07-08
162317,1105,90,483941.5,2016-07-09
146026,1015,95,429992.15,2016-07-10
153660,1084,105,457365.75,2016-07-11
146585,1004,101,441701.933333,2016-07-12
144944,1000,80,448284.883333,2016-07-13
162970,1134,128,503839.666667,2016-07-14
150831,903,97,487887.716667,2016-07-15
153312,893,100,499023.216667,2016-07-16
139150,841,82,445805.866667,2016-07-17
138538,833,90,453290.633333,2016-07-18
130738,784,74,429926.133333,2016-07-19
129545,775,69,431007.5,2016-07-20
127300,730,60,426983.516667,2016-07-21
140671,777,90,469860.5,2016-07-22
132056,694,58,444122.333333,2016-07-23
113578,725,62,377167.833333,2016-07-24
114964,747,71,382474.866667,2016-07-25
111303,706,69,376866.183333,2016-07-26
108539,656,48,368935.466667,2016-07-27
106005,656,46,361835.9,2016-07-28
116442,641,47,402776.15,2016-07-29
119310,658,38,410771.533333,2016-07-30
105625,611,38,356074.35,2016-07-31
105307,603,48,360646.683333,2016-08-01
101886,599,44,351164.616667,2016-08-02
100852,674,49,350428.5,2016-08-03
105431,624,43,367197.15,2016-08-04
115919,650,38,404450.966667,2016-08-05
109446,560,27,377799.016667,2016-08-06
98846,570,33,338320.85,2016-08-07
99262,597,55,338023.6,2016-08-08
102553,593,38,352955.233333,2016-08-09
102474,589,42,353405.683333,2016-08-10
105149,621,30,363227.5,2016-08-11
111398,584,40,384570.8,2016-08-12
113997,558,36,386927.783333,2016-08-13
96807,553,34,328728.133333,2016-08-14
98202,562,49,334952.916667,2016-08-15
94289,515,33,330219.35,2016-08-16
96405,550,36,339129.933333,2016-08-17
96043,537,25,334701.45,2016-08-18
107316,497,47,375401.166667,2016-08-19
108807,523,37,378912.433333,2016-08-20
93489,623,45,322810.416667,2016-08-21
95700,597,40,331537.383333,2016-08-22
97149,530,34,337950.5,2016-08-23
98335,535,47,337729.016667,2016-08-24
94618,552,41,325060.3,2016-08-25
101839,511,36,348770.2,2016-08-26
102423,516,36,348434.216667,2016-08-27
88481,480,35,299117.066667,2016-08-28
86346,509,37,293155.883333,2016-08-29
87435,518,40,302335.716667,2016-08-30
91268,545,35,315539.566667,2016-08-31
92858,506,41,323086.3,2016-09-01
102786,461,30,353195.233333,2016-09-02
103150,550,36,350717.55,2016-09-03
93706,534,39,317763.2,2016-09-04
90232,573,31,311175.6,2016-09-05
83888,520,23,289520.316667,2016-09-06
86360,461,41,300025.3,2016-09-07
87584,493,42,303729.816667,2016-09-08
96696,518,18,335605.8,2016-09-09
99359,495,36,342551.7,2016-09-10
82508,522,41,281574.466667,2016-09-11
80799,497,18,280884.716667,2016-09-12
84378,463,36,289913.966667,2016-09-13
82995,451,26,284826.3,2016-09-14
87261,472,39,299240.6,2016-09-15
94159,461,37,327619.566667,2016-09-16
97415,494,31,334712.3,2016-09-17
82099,524,33,279995.166667,2016-09-18
80741,428,32,278962.383333,2016-09-19
79243,447,26,273318.15,2016-09-20
78546,431,38,269537.75,2016-09-21
80348,411,33,277043.366667,2016-09-22
91145,395,29,318187.25,2016-09-23
92514,431,30,320190.55,2016-09-24
76273,457,34,262227.483333,2016-09-25
76405,458,34,263309.533333,2016-09-26
79598,461,27,275199.05,2016-09-27
76822,452,21,267697.933333,2016-09-28
79384,487,28,271127.933333,2016-09-29
91424,431,27,314977.283333,2016-09-30
95586,468,33,322854.55,2016-10-01
75733,495,26,256631.033333,2016-10-02
78665,465,32,268098.95,2016-10-03
78467,468,27,268840.65,2016-10-04
85786,474,40,296314.316667,2016-10-05
83802,421,26,293786.683333,2016-10-06
100532,479,19,354435.316667,2016-10-07
91414,409,34,322237.433333,2016-10-08
77750,442,27,268556.683333,2016-10-09
78879,421,26,276253.916667,2016-10-10
78597,436,31,275156.566667,2016-10-11
78266,421,33,272545.333333,2016-10-12
82400,415,26,290031.1,2016-10-13
91849,393,23,323514.883333,2016-10-14
92320,403,39,319271.5,2016-10-15
77239,408,27,263094.266667,2016-10-16
74358,357,31,258419.15,2016-10-17
75754,339,27,260240.45,2016-10-18
75230,325,39,262175.5,2016-10-19
82796,428,39,287148.55,2016-10-20
91630,387,27,321023.95,2016-10-21
92408,376,36,322454.816667,2016-10-22
75443,387,30,260973.683333,2016-10-23
74539,390,21,258302.716667,2016-10-24
72442,359,24,251558.65,2016-10-25
75812,409,25,263315.3,2016-10-26
79254,361,23,277365.466667,2016-10-27
87975,340,34,308643.183333,2016-10-28
87121,358,24,303142.85,2016-10-29
73072,348,32,253498.95,2016-10-30
106579,408,61,351083.183333,2016-10-31
102334,458,57,332341.433333,2016-11-01
96312,466,55,318584.966667,2016-11-02
93674,424,32,314743.55,2016-11-03
100617,376,39,345633.666667,2016-11-04
105918,420,28,359975.283333,2016-11-05
91669,418,38,308195.816667,2016-11-06
91633,404,29,310225.766667,2016-11-07
92094,397,36,313468.633333,2016-11-08
87740,400,32,300698.483333,2016-11-09
89742,372,27,309220.8,2016-11-10
104126,397,40,355123.416667,2016-11-11
98737,377,41,335422.783333,2016-11-12
81068,476,29,271257.316667,2016-11-13
82875,409,27,284563.35,2016-11-14
88194,426,40,299835.9,2016-11-15
88842,371,23,305442.183333,2016-11-16
90259,397,39,310526.266667,2016-11-17
104172,390,38,355444.166667,2016-11-18
101583,429,34,343815.05,2016-11-19
85328,419,41,285818.366667,2016-11-20
86221,450,28,293067.85,2016-11-21
90283,399,28,305750.916667,2016-11-22
99975,438,30,335316.566667,2016-11-23
98572,410,27,331495.083333,2016-11-24
102477,439,35,348686.966667,2016-11-25
105997,452,21,360523.183333,2016-11-26
82085,443,27,274616.35,2016-11-27
81138,433,25,277799.183333,2016-11-28
84438,419,24,286512.566667,2016-11-29
86415,435,31,294326.7,2016-11-30
91298,435,35,311073.816667,2016-12-01
99820,498,23,344514.733333,2016-12-02
104514,433,24,353559.433333,2016-12-03
89776,452,20,298768.85,2016-12-04
91836,461,35,307912.166667,2016-12-05
93719,447,34,310447.25,2016-12-06
100408,490,50,330325.3,2016-12-07
99318,470,31,332053.266667,2016-12-08
110421,520,35,369289.466667,2016-12-09
113629,473,37,378531.266667,2016-12-10
93721,477,37,314498.55,2016-12-11
92270,584,33,312780.05,2016-12-12
91676,481,42,313289.183333,2016-12-13
89402,507,33,303187.8,2016-12-14
87681,463,34,300065.8,2016-12-15
